eventId,choiceId,choiceTag,n,avgFinalScore,avgQualified,avgWon
media_fictional_editorial_support,editorial_support_meeting,RISQUÉ,738,68.32,0.542,0.417
campaign_factory_visit,factory_public_orders,CLIVANT,392,73.7,0.64,0.536
world_public_service_outage,outage_agents_support,PRUDENT,266,82.07,0.816,0.703
scandal_local_expenses,local_expenses_remove_official,OFFENSIF,415,69.65,0.581,0.47
party_lfi_electorate,lfi_electorate_legal_clinics,POPULAIRE,70,75.34,0.871,0.586
party_lfi_signature,lfi_signature_constituent,INSTITUTIONNEL,149,76.54,0.846,0.644
program_pensions,pensions_social_conference,RASSEMBLEUR,47,84.96,0.915,0.66
alliance_left_roundtable,left_roundtable_refuse,OFFENSIF,136,73.85,0.713,0.559
alliance_union_support,union_support_consultation,PRUDENT,102,79.82,0.775,0.647
debate_challenge_frontrunner,challenge_frontrunner_own_terms,OFFENSIF,425,77.98,0.715,0.595
rare_printer_slogan,printer_slogan_reprint,PRUDENT,50,82.62,0.86,0.62
internal_financial_review,financial_review_suspend,TRANSPARENT,265,87.21,0.898,0.774
party_lfi_alliance,lfi_alliance_urban,RASSEMBLEUR,57,69.6,0.667,0.526
media_prime_time_invite,prime_time_send_ally,RASSEMBLEUR,458,68.72,0.57,0.413
scandal_treasurer_invoices,treasurer_invoices_reimburse,PRUDENT,103,64.73,0.485,0.369
party_lfi_fronde,lfi_fronde_joint_platform,RASSEMBLEUR,58,81.66,0.966,0.793
internal_local_sections,local_sections_authorize,RASSEMBLEUR,1147,83.04,0.827,0.702
scandal_audit_conclusion,audit_conclusion_summary,PRUDENT,80,87.81,0.925,0.775
scandal_family_hire,family_hire_audit_value,PRUDENT,417,69.47,0.571,0.446
party_lfi_crisis_followup,lfi_crisis_exclude,OFFENSIF,77,63.52,0.61,0.416
program_secularism,secularism_reasonable_accommodation,OPPORTUNISTE,149,70.39,0.564,0.49
campaign_defend_unfairly_attacked_rival,defend_rival_stay_neutral,PRUDENT,35,76.8,0.714,0.6
program_institutions,institutions_presidential_power,PRUDENT,292,79.75,0.747,0.661
runoff_vote_transfers,vote_transfers_local_meetings,INSTITUTIONNEL,1315,88.62,0.982,0.837
party_lfi_runoff,lfi_runoff_common_left,OPPORTUNISTE,127,83.19,1,0.803
runoff_endorsement_wave,endorsement_wave_no_deals,LOYAL,863,89.45,0.987,0.846
runoff_favorite_pressure,favorite_pressure_attack,RISQUÉ,1257,85.33,0.971,0.761
runoff_final_debate,final_debate_governing_plan,PRÉSIDENTIEL,514,89.17,0.981,0.866
program_energy,energy_renewables_priority,CLIVANT,266,76.44,0.692,0.571
campaign_official_launch,launch_territorial_voices,RASSEMBLEUR,302,82.41,0.834,0.705
program_taxation,taxation_cut_spending,PRUDENT,272,79.65,0.761,0.654
program_end_of_life,end_of_life_referendum,INSTITUTIONNEL,53,86.09,0.887,0.774
internal_local_sections,local_sections_workshop,INSTITUTIONNEL,229,61.1,0.428,0.319
alliance_left_roundtable,left_roundtable_agreement,RASSEMBLEUR,72,83.38,0.889,0.764
program_institutions,institutions_proportional,INSTITUTIONNEL,186,83.73,0.828,0.694
internal_program_committee,program_committee_pilot,TECHNIQUE,98,75.49,0.724,0.592
program_school,school_teacher_pay,INSTITUTIONNEL,495,85.4,0.871,0.743
scandal_plagiarized_report,plagiarized_report_author,OFFENSIF,150,78.65,0.76,0.573
campaign_rally_security,security_follow_protocol,PRUDENT,559,83.43,0.832,0.717
party_lfi_electorate,lfi_electorate_registration,INSTITUTIONNEL,101,88.24,0.98,0.901
world_heatwave,heatwave_indoor_meeting,RISQUÉ,224,74.73,0.661,0.518
campaign_overseas_trip,overseas_price_observatory,TRANSPARENT,210,83.38,0.952,0.757
alliance_parliamentary_group,parliamentary_group_full_support,LOYAL,409,77.57,0.726,0.572
debate_expose_contradiction_centrist,expose_contradiction_offer_debate,RASSEMBLEUR,523,83.75,0.851,0.728
campaign_door_to_door,doors_listening_notebooks,RASSEMBLEUR,146,88.36,0.986,0.842
media_unflattering_photo,photo_ignore,PRUDENT,453,69.77,0.589,0.488
internal_strategy_leak,strategy_leak_adopt,OFFENSIF,335,77.94,0.734,0.594
campaign_defend_unfairly_attacked_rival,defend_rival_publicly,LOYAL,329,84.72,0.845,0.714
media_open_microphone,open_mic_restructure,OFFENSIF,62,77.92,0.79,0.581
debate_post_show_spin,post_show_allies,RASSEMBLEUR,374,80.91,0.813,0.668
runoff_last_hours,last_hours_field,POPULAIRE,871,84.7,0.969,0.754
runoff_vote_transfers,vote_transfers_rejection,OFFENSIF,489,81.8,0.971,0.689
party_lfi_runoff,lfi_runoff_full_program,LOYAL,137,87.68,1,0.869
runoff_endorsement_wave,endorsement_wave_bilateral,PRUDENT,1164,88.31,0.978,0.845
government_balance,government_balance_coalition,INSTITUTIONNEL,618,88.76,0.977,0.96
government_first_address,first_address_three,PRÉSIDENTIEL,940,90.58,0.987,0.966
campaign_bus_breakdown,bus_cafe_exchange,RISQUÉ,397,85.04,0.854,0.751
world_housing_protest,housing_protest_building_contract,INSTITUTIONNEL,105,82.69,0.848,0.743
media_front_page,front_page_embrace_business,OPPORTUNISTE,277,68.22,0.545,0.451
campaign_slogan_test,slogan_choose_govern,PRÉSIDENTIEL,633,86.97,0.888,0.798
campaign_poster_shortage,posters_local_printers,TRANSPARENT,693,85.61,0.877,0.736
