partyA,partyB,duels,aWinRate,aAvgSecondRoundScore,aAvgRejection,bAvgRejection,avgIdeologyDistance
ecologistes,horizons,173,0.717,52.23,45.45,47.49,73
ecologistes,lfi,11,0.909,57.19,42,60.07,47.36
ecologistes,nouvelle_energie,13,0.615,50.73,44.35,29.05,98.49
ecologistes,ps,55,0.691,52.15,45.04,72.32,20.2
ecologistes,rn,103,0.932,55.37,43.3,87.62,117.8
horizons,lfi,23,0.957,58.65,56.48,60.08,82.56
horizons,lr,13,1,57.6,50.54,63.45,35.08
horizons,nouvelle_energie,39,0.949,55.78,52.87,29.97,31.95
horizons,ps,130,0.954,56.11,55.77,72.14,54.9
horizons,renaissance,8,1,60.43,50.63,62.44,19.39
horizons,rn,244,0.975,57.26,55.25,87.52,67.85
lfi,horizons,228,0.671,51.78,68.24,47.55,82.16
lfi,nouvelle_energie,16,0.875,53.26,65.43,29.38,98.5
lfi,ps,41,0.78,52.96,66.62,71.76,42.26
lfi,rn,95,0.926,54.22,67.47,87.42,99.53
lr,horizons,150,0.807,53.14,68.83,47.63,32.79
lr,lfi,16,1,58.25,67.15,59.94,99.93
lr,nouvelle_energie,25,0.88,52.86,66.26,29.48,18.27
lr,ps,60,0.783,53.87,66.75,72.27,78.32
lr,renaissance,1,0,46.9,67,63.1,47.69
lr,rn,124,0.96,55.55,68.55,87.49,42.87
nouvelle_energie,horizons,183,0.678,52.74,39.21,47.56,25.68
nouvelle_energie,lfi,19,1,57.99,41.11,60.42,97.37
nouvelle_energie,lr,1,1,52.4,28,61.7,8.73
nouvelle_energie,ps,55,0.982,54.91,39.55,71.95,77.12
nouvelle_energie,renaissance,2,1,59.65,37,62,42.67
nouvelle_energie,rn,142,0.993,57.55,37.73,87.77,51.81
ps,horizons,240,0.792,53.31,79.01,47.36,57.53
ps,lfi,17,1,58.06,79.6,60.18,44.62
ps,lr,1,1,50.6,67,62.9,77.63
ps,nouvelle_energie,26,0.577,51.62,77.14,29.88,81.71
ps,renaissance,6,1,56.1,82.99,63.17,47.33
ps,rn,143,0.972,56.83,77.78,87.51,96.89
reconquete,horizons,8,0.375,46.64,80.44,47.15,73.29
reconquete,lfi,4,0.75,52.88,76.53,59.68,115.13
reconquete,nouvelle_energie,3,0.667,49.87,77.3,30.53,52.87
reconquete,ps,5,0.2,48.06,80.94,70.88,110.21
reconquete,rn,18,0.667,50.66,74.48,87.84,18.7
renaissance,horizons,156,0.744,52.81,68.33,47.45,18.81
renaissance,lfi,12,0.917,57.96,62.25,60.23,80.23
renaissance,lr,8,0.875,54.13,67.34,62.46,48.66
renaissance,nouvelle_energie,8,1,53.85,65.13,30.34,45.01
renaissance,ps,58,0.776,53.75,69.89,72.58,46.14
renaissance,rn,152,0.967,55.95,63.35,87.42,82.45
rn,horizons,222,0.779,52.73,87.71,47.61,69.06
rn,lfi,27,0.852,54.13,89.28,59.93,101.05
rn,lr,16,0.875,52.41,85.73,61.66,47.94
rn,nouvelle_energie,34,0.529,49.93,88.45,28.92,54.77
rn,ps,143,0.678,52.89,87.21,71.96,96.75
rn,renaissance,5,0.6,50.64,87.69,61.6,80.47
rn,rn_dissidence_15,1,1,58.3,83.32,92.12,2.93
rn,rn_dissidence_18,1,1,50.4,93.11,88.43,7
rn,rn_dissidence_20,1,1,58.6,93.9,92.26,0
rn,rn_dissidence_21,1,0,49.8,85.7,91.06,3.29
rn,rn_dissidence_22,3,0.333,48.9,88.59,88.17,2.96
