runKey,partyId,agent,seedIndex,qualified,finalistA,finalistB,playerIsFinalist,won,r1LeaderId,r1LeaderScore,r1SecondId,r1SecondScore,r1ThirdId,r1ThirdScore,r1LastId,r1LastScore,r1SpreadTop1Top2,r1SpreadTop1Top3,r1SpreadTop1Top9,r1StdDev,countAbove20,countAbove18,countAbove15,countBelow10,countBelow7,concentrationTop2,concentrationTop3
lfi:aleatoire:0,lfi,aleatoire,0,true,ps,lfi,true,true,ps,15.4,lfi,14.6,horizons,14.3,reconquete,4.1,0.8,1.1,11.3,3.59,0,0,1,3,1,30,44.3
lfi:aleatoire:1,lfi,aleatoire,1,true,lfi,horizons,true,true,lfi,23,horizons,14,ps,12.1,reconquete,4.3,9,10.9,18.7,5.01,1,1,1,4,2,37,49.1
lfi:aleatoire:2,lfi,aleatoire,2,true,lfi,nouvelle_energie,true,true,lfi,15.6,nouvelle_energie,14,rn,13.3,reconquete,6,1.6,2.3,9.6,3,0,0,1,3,1,29.6,42.9
lfi:aleatoire:3,lfi,aleatoire,3,true,lfi,rn,true,true,lfi,17.7,rn,12.9,lr,11.9,reconquete,6.3,4.8,5.8,11.4,2.98,0,0,1,3,1,30.6,42.5
lfi:aleatoire:4,lfi,aleatoire,4,true,rn,lfi,true,false,rn,17.5,lfi,15.4,ecologistes,12.6,reconquete,2.6,2.1,4.9,14.9,4.08,0,0,2,3,1,32.9,45.5
lfi:aleatoire:5,lfi,aleatoire,5,false,renaissance,nouvelle_energie,false,,renaissance,13.8,nouvelle_energie,13.3,lr,13.2,reconquete,2,0.5,0.6,11.8,3.63,0,0,0,2,1,27.1,40.3
lfi:aleatoire:6,lfi,aleatoire,6,true,lfi,rn,true,true,lfi,22.3,rn,14.4,horizons,14.3,reconquete,2.2,7.9,8,20.1,5.87,1,1,1,3,2,36.7,51
lfi:aleatoire:7,lfi,aleatoire,7,true,lfi,rn,true,false,lfi,18.2,rn,15,nouvelle_energie,13.3,reconquete,2.5,3.2,4.9,15.7,4.31,0,1,1,3,1,33.2,46.5
lfi:aleatoire:8,lfi,aleatoire,8,true,lfi,rn,true,true,lfi,25.2,rn,14.1,ps,12.7,reconquete,3.5,11.1,12.5,21.7,5.73,1,1,1,5,1,39.3,52
lfi:aleatoire:9,lfi,aleatoire,9,true,lfi,rn,true,true,lfi,25.5,rn,13.4,nouvelle_energie,13.2,reconquete,5.7,12.1,12.3,19.8,5.62,1,1,1,6,1,38.9,52.1
lfi:aleatoire:10,lfi,aleatoire,10,true,lfi,rn,true,true,lfi,18.7,rn,15,horizons,12.5,reconquete,5,3.7,6.2,13.7,3.71,0,1,1,4,1,33.7,46.2
lfi:aleatoire:11,lfi,aleatoire,11,true,lfi,horizons,true,true,lfi,21.7,horizons,13.1,rn,12.9,ecologistes,6.3,8.6,8.8,15.4,4.38,1,1,1,4,2,34.8,47.7
lfi:aleatoire:12,lfi,aleatoire,12,true,rn,lfi,true,false,rn,18.3,lfi,17.9,renaissance,13.5,reconquete,1.4,0.4,4.8,16.9,4.99,0,1,2,3,2,36.2,49.7
lfi:aleatoire:13,lfi,aleatoire,13,true,lfi,rn,true,true,lfi,19.1,rn,16,renaissance,13.5,reconquete,2.4,3.1,5.6,16.7,4.72,0,1,2,4,1,35.1,48.6
lfi:aleatoire:14,lfi,aleatoire,14,true,lfi,rn,true,true,lfi,18.7,rn,15.2,ps,13.9,reconquete,0.8,3.5,4.8,17.9,4.85,0,1,2,3,1,33.9,47.8
lfi:aleatoire:15,lfi,aleatoire,15,true,lfi,rn,true,true,lfi,21.7,rn,17.1,horizons,13.1,reconquete,4,4.6,8.6,17.7,5.16,1,1,2,5,1,38.8,51.9
lfi:aleatoire:16,lfi,aleatoire,16,true,lfi,rn,true,true,lfi,20.7,rn,17.7,nouvelle_energie,12.8,reconquete,0.9,3,7.9,19.8,5.56,1,1,2,4,2,38.4,51.2
