runKey,partyId,archetype,initialScore,initialRank,rank75,r1Score,r1Rank,qualified
lfi:aleatoire:0,lfi,course_fragmentee,11.2,6,1,14.6,2,true
lfi:aleatoire:1,lfi,favori_dominant,15.4,1,1,23,1,true
lfi:aleatoire:2,lfi,course_fragmentee,11.8,5,1,15.6,1,true
lfi:aleatoire:3,lfi,course_fragmentee,11.8,5,1,17.7,1,true
lfi:aleatoire:4,lfi,course_fragmentee,11.9,4,1,15.4,2,true
lfi:aleatoire:5,lfi,course_fragmentee,12.8,2,6,13.1,4,false
lfi:aleatoire:6,lfi,favori_dominant,9.4,8,1,22.3,1,true
lfi:aleatoire:7,lfi,course_fragmentee,9.8,7,1,18.2,1,true
lfi:aleatoire:8,lfi,favori_dominant,10.3,7,1,25.2,1,true
lfi:aleatoire:9,lfi,favori_dominant,9.1,8,1,25.5,1,true
lfi:aleatoire:10,lfi,course_fragmentee,15.2,1,2,18.7,1,true
lfi:aleatoire:11,lfi,qualification_confortable,10,7,1,21.7,1,true
lfi:aleatoire:12,lfi,qualification_confortable,10.8,6,2,17.9,2,true
lfi:aleatoire:13,lfi,course_fragmentee,14.5,2,1,19.1,1,true
lfi:aleatoire:14,lfi,course_fragmentee,10.2,7,1,18.7,1,true
lfi:aleatoire:15,lfi,qualification_confortable,14.7,2,2,21.7,1,true
lfi:aleatoire:16,lfi,qualification_confortable,12,4,1,20.7,1,true
lfi:aleatoire:17,lfi,qualification_confortable,9,8,1,18.3,1,true
lfi:aleatoire:18,lfi,qualification_confortable,8.8,8,1,16.5,2,true
lfi:aleatoire:19,lfi,course_fragmentee,11.7,5,1,16.8,1,true
lfi:aleatoire:20,lfi,favori_dominant,13.7,2,1,22.6,1,true
lfi:aleatoire:21,lfi,qualification_confortable,11.6,6,1,18.2,1,true
lfi:aleatoire:22,lfi,course_fragmentee,13.2,2,1,17.9,1,true
lfi:aleatoire:23,lfi,tripartite,8.9,8,1,15.3,3,false
lfi:aleatoire:24,lfi,course_fragmentee,14.2,2,1,20.9,1,true
lfi:aleatoire:25,lfi,course_fragmentee,15.2,1,2,17.6,1,true
lfi:aleatoire:26,lfi,course_fragmentee,10.5,7,8,8.9,7,false
lfi:aleatoire:27,lfi,course_fragmentee,10.3,7,1,17.9,1,true
lfi:aleatoire:28,lfi,favori_dominant,10.2,7,1,22.4,1,true
lfi:aleatoire:29,lfi,course_fragmentee,12,4,1,16,1,true
lfi:aleatoire:30,lfi,qualification_confortable,7.8,8,2,18.9,1,true
lfi:aleatoire:31,lfi,course_fragmentee,13.2,2,1,20.6,1,true
lfi:aleatoire:32,lfi,qualification_confortable,12.7,2,1,21.9,1,true
lfi:aleatoire:33,lfi,favori_dominant,15.3,1,1,23,1,true
lfi:aleatoire:34,lfi,course_fragmentee,11,6,1,17.7,1,true
lfi:aleatoire:35,lfi,course_fragmentee,9.2,8,1,18.2,1,true
lfi:aleatoire:36,lfi,favori_dominant,9,8,1,23.3,1,true
lfi:aleatoire:37,lfi,course_fragmentee,12.3,4,1,19.6,1,true
lfi:aleatoire:38,lfi,course_fragmentee,10.2,7,1,16.2,1,true
lfi:aleatoire:39,lfi,course_fragmentee,13.2,2,2,18.5,1,true
lfi:aleatoire:40,lfi,course_fragmentee,11.8,5,2,15.9,1,true
lfi:aleatoire:41,lfi,tripartite,9,8,1,17.4,1,true
lfi:aleatoire:42,lfi,favori_dominant,9.9,7,1,23.7,1,true
lfi:aleatoire:43,lfi,qualification_confortable,14,2,1,19.6,1,true
lfi:aleatoire:44,lfi,course_fragmentee,12.5,4,1,19.7,1,true
lfi:aleatoire:45,lfi,course_fragmentee,12.4,4,1,20,1,true
lfi:aleatoire:46,lfi,remontee_tardive,12.6,3,6,14.7,2,true
lfi:aleatoire:47,lfi,course_fragmentee,12.6,4,2,18.8,1,true
lfi:aleatoire:48,lfi,favori_dominant,9.1,8,1,22.5,1,true
lfi:aleatoire:49,lfi,qualification_confortable,12.6,3,1,19.9,1,true
lfi:aleatoire:50,lfi,favori_dominant,15.3,1,1,26.2,1,true
lfi:aleatoire:51,lfi,qualification_confortable,9.8,7,1,17.9,1,true
lfi:aleatoire:52,lfi,qualification_confortable,13.6,2,1,17.8,1,true
lfi:aleatoire:53,lfi,course_fragmentee,9.7,7,1,15.1,2,true
lfi:aleatoire:54,lfi,qualification_confortable,12.1,4,1,16.6,1,true
lfi:aleatoire:55,lfi,course_fragmentee,12,4,2,13.3,3,false
lfi:aleatoire:56,lfi,course_fragmentee,16.8,1,2,17.5,1,true
lfi:aleatoire:57,lfi,course_fragmentee,14.3,2,1,20.2,1,true
lfi:aleatoire:58,lfi,favori_dominant,13.3,2,1,22.8,1,true
lfi:aleatoire:59,lfi,course_fragmentee,11.8,5,1,18.8,1,true
lfi:aleatoire:60,lfi,remontee_tardive,9.3,8,4,13.4,2,true
lfi:aleatoire:61,lfi,qualification_confortable,9.3,8,1,21,1,true
lfi:aleatoire:62,lfi,qualification_confortable,12.8,2,1,19.5,1,true
lfi:aleatoire:63,lfi,favori_dominant,8.9,8,1,22.6,1,true
lfi:aleatoire:64,lfi,qualification_confortable,8.7,8,1,21.8,1,true
lfi:aleatoire:65,lfi,qualification_confortable,8.5,8,2,17.7,1,true
lfi:aleatoire:66,lfi,qualification_confortable,13.7,2,1,16.2,2,true
lfi:aleatoire:67,lfi,course_fragmentee,8.8,8,1,14.4,2,true
lfi:aleatoire:68,lfi,course_fragmentee,10.9,6,2,13.5,2,true
lfi:aleatoire:69,lfi,qualification_confortable,13.7,2,1,22.7,1,true
lfi:aleatoire:70,lfi,course_fragmentee,10.9,6,1,15.3,1,true
lfi:aleatoire:71,lfi,course_fragmentee,9.4,8,1,17.9,1,true
lfi:aleatoire:72,lfi,course_fragmentee,14.3,2,1,19.1,1,true
lfi:aleatoire:73,lfi,course_fragmentee,13.5,2,2,16.7,1,true
lfi:aleatoire:74,lfi,qualification_confortable,10.4,7,1,18,1,true
lfi:aleatoire:75,lfi,course_fragmentee,11,6,2,21.3,1,true
lfi:aleatoire:76,lfi,tripartite,9.4,8,1,17.2,1,true
lfi:aleatoire:77,lfi,qualification_confortable,14.4,2,1,18.6,1,true
lfi:aleatoire:78,lfi,qualification_confortable,14,2,1,22,1,true
lfi:aleatoire:79,lfi,course_fragmentee,14.3,2,1,20.2,1,true
lfi:aleatoire:80,lfi,course_fragmentee,17.5,1,1,21.9,1,true
lfi:aleatoire:81,lfi,qualification_confortable,12.5,4,1,17.9,1,true
lfi:aleatoire:82,lfi,course_fragmentee,14.4,2,1,14.7,2,true
lfi:aleatoire:83,lfi,qualification_confortable,10.2,7,1,19.2,1,true
lfi:aleatoire:84,lfi,course_fragmentee,16.7,1,1,17.1,1,true
lfi:aleatoire:85,lfi,course_fragmentee,10.1,7,1,18.7,1,true
lfi:aleatoire:86,lfi,course_fragmentee,9.9,7,1,16.1,1,true
lfi:aleatoire:87,lfi,course_fragmentee,13.7,2,1,16.9,1,true
lfi:aleatoire:88,lfi,course_fragmentee,10.3,7,1,14.1,2,true
lfi:aleatoire:89,lfi,course_fragmentee,10.3,7,1,20.1,1,true
lfi:aleatoire:90,lfi,qualification_confortable,11.1,6,1,21,1,true
lfi:aleatoire:91,lfi,course_fragmentee,15.2,1,1,14.2,2,true
lfi:aleatoire:92,lfi,tripartite,10.9,6,1,15,3,false
lfi:aleatoire:93,lfi,qualification_confortable,10.6,7,1,19,1,true
lfi:aleatoire:94,lfi,course_fragmentee,10.9,6,1,15.1,2,true
lfi:aleatoire:95,lfi,qualification_confortable,9.9,7,1,19.5,1,true
lfi:aleatoire:96,lfi,qualification_confortable,9.7,7,1,21.1,1,true
lfi:aleatoire:97,lfi,course_fragmentee,9.6,8,1,15.3,1,true
lfi:aleatoire:98,lfi,course_fragmentee,14.3,2,1,21.2,1,true
lfi:aleatoire:99,lfi,qualification_confortable,14,2,1,20,1,true
lfi:aleatoire:100,lfi,favori_dominant,14.4,2,1,24.7,1,true
lfi:aleatoire:101,lfi,course_fragmentee,15.2,1,1,20.5,1,true
lfi:aleatoire:102,lfi,course_fragmentee,15,2,1,16,1,true
lfi:aleatoire:103,lfi,favori_dominant,13.2,2,1,24.4,1,true
lfi:aleatoire:104,lfi,favori_dominant,13.4,2,1,22.7,1,true
lfi:aleatoire:105,lfi,course_fragmentee,10.5,7,1,18.2,1,true
lfi:aleatoire:106,lfi,qualification_confortable,9.3,8,1,17.7,1,true
lfi:aleatoire:107,lfi,favori_dominant,11.5,6,1,24.6,1,true
lfi:aleatoire:108,lfi,remontee_tardive,11.2,6,5,15.3,1,true
lfi:aleatoire:109,lfi,course_fragmentee,10.5,7,1,16.1,1,true
lfi:aleatoire:110,lfi,qualification_confortable,13.9,2,1,21.8,1,true
lfi:aleatoire:111,lfi,remontee_tardive,15.5,1,3,19.2,1,true
lfi:aleatoire:112,lfi,remontee_tardive,13.7,2,4,16,1,true
lfi:aleatoire:113,lfi,qualification_confortable,10.9,6,1,19.4,1,true
lfi:aleatoire:114,lfi,course_fragmentee,8.3,8,1,17.7,1,true
lfi:aleatoire:115,lfi,favori_dominant,10.1,7,1,22.9,1,true
lfi:aleatoire:116,lfi,favori_dominant,10.9,6,1,22.8,1,true
lfi:aleatoire:117,lfi,qualification_confortable,14.9,2,1,18.9,1,true
lfi:aleatoire:118,lfi,qualification_confortable,12.6,4,1,21.4,1,true
lfi:aleatoire:119,lfi,course_fragmentee,12.4,4,1,15.8,1,true
lfi:aleatoire:120,lfi,course_fragmentee,15.5,1,1,20.9,1,true
lfi:aleatoire:121,lfi,course_fragmentee,12.8,2,2,17.9,1,true
lfi:aleatoire:122,lfi,favori_dominant,14.9,2,1,23.6,1,true
lfi:aleatoire:123,lfi,qualification_confortable,11.3,6,2,17.2,2,true
lfi:aleatoire:124,lfi,course_fragmentee,11.8,5,1,17.5,1,true
lfi:aleatoire:125,lfi,qualification_confortable,13.9,2,1,20.1,1,true
lfi:aleatoire:126,lfi,course_fragmentee,10.5,7,1,14.2,2,true
lfi:aleatoire:127,lfi,qualification_confortable,10.8,6,2,16.8,1,true
lfi:aleatoire:128,lfi,remontee_tardive,14.2,2,5,16.3,1,true
lfi:aleatoire:129,lfi,qualification_confortable,13.3,2,1,18.6,1,true
lfi:aleatoire:130,lfi,favori_dominant,10.1,7,1,23.4,1,true
lfi:aleatoire:131,lfi,course_fragmentee,10.4,7,1,21.3,1,true
lfi:aleatoire:132,lfi,qualification_confortable,11.7,6,1,19.7,1,true
lfi:aleatoire:133,lfi,course_fragmentee,14.3,2,2,18.2,1,true
