variant,partyId,profile,seedIndex,decisions,finalScore,qualified,won,firstRoundScore,eventIdSetSize,eventIdSetHash,rankVolatility,pollStdev,rareOrChainOrConflictMoments,ideologyMoveTotal,actorMemoryEntries
A_baseline,lfi,strategist,0,29,68,true,false,14,29,ea4b95a,0.207,1.38,3,11.14,3
B1_no_opportunistic_randomness,lfi,strategist,0,29,70,true,false,14.8,29,fb664946,0.276,2.25,2,17.08,2
B2_no_rare_events,lfi,strategist,0,29,73,true,false,16.3,29,7afcb285,0.207,1.28,1,16.89,0
C_no_narrative_memory,lfi,strategist,0,29,72,true,false,15.2,29,c7925dc0,0.207,1.98,2,23.41,0
E_no_ideology_effects,lfi,strategist,0,31,78,true,true,18.5,31,adfb83bd,0.161,1.34,0,0,1
F_no_delayed_consequences,lfi,strategist,0,31,79,true,true,16.1,31,89388495,0.065,1.33,1,22.19,2
A_baseline,lfi,strategist,1,31,77,true,true,15.4,31,eece1e80,0.258,0.9,6,13.94,3
B1_no_opportunistic_randomness,lfi,strategist,1,29,73,true,false,17.4,29,1ea03172,0.172,2.12,3,7.63,3
B2_no_rare_events,lfi,strategist,1,29,68,true,false,14.7,29,6fe04be,0.448,1.27,3,10,5
C_no_narrative_memory,lfi,strategist,1,29,69,true,false,14,29,208fb9d8,0.241,1.65,2,15.89,0
E_no_ideology_effects,lfi,strategist,1,29,66,true,false,13.7,29,79a4511b,0.345,1.12,0,0,0
F_no_delayed_consequences,lfi,strategist,1,29,76,true,false,17.3,29,9b725dd2,0.31,2.04,2,12.38,4
A_baseline,lfi,strategist,2,31,85,true,true,19.4,31,94fe0df9,0.29,1.63,0,16.52,1
B1_no_opportunistic_randomness,lfi,strategist,2,29,67,true,false,13.1,29,836b4d97,0.241,1.54,2,14.87,3
B2_no_rare_events,lfi,strategist,2,29,68,true,false,14,29,e097ee0c,0.172,1.54,1,12.2,2
C_no_narrative_memory,lfi,strategist,2,31,74,true,true,13.8,31,82e19caa,0.161,1.28,2,11.69,0
E_no_ideology_effects,lfi,strategist,2,31,71,true,true,13.7,31,9dc629e8,0.323,1.35,0,0,2
F_no_delayed_consequences,lfi,strategist,2,25,49,false,false,12.9,25,60439283,0.44,1.28,0,12.2,1
A_baseline,lfi,strategist,3,31,77,true,true,14.5,31,d874317f,0.29,1.77,2,19.39,3
B1_no_opportunistic_randomness,lfi,strategist,3,31,74,true,true,13.3,31,ac4ed1b4,0.29,1.15,2,19.87,1
B2_no_rare_events,lfi,strategist,3,25,53,false,false,12.5,25,9ccbdecd,0.48,0.92,3,13.28,4
C_no_narrative_memory,lfi,strategist,3,25,56,false,false,13.6,25,d8480772,0.24,1.53,1,13.23,0
E_no_ideology_effects,lfi,strategist,3,29,66,true,false,14.7,29,9ad89b25,0.31,1.45,1,0,2
F_no_delayed_consequences,lfi,strategist,3,31,80,true,true,17.1,31,b9017cde,0.194,1.48,3,7.41,4
A_baseline,lfi,strategist,4,31,81,true,true,18.1,31,f723649e,0.194,1.92,3,14.08,2
B1_no_opportunistic_randomness,lfi,strategist,4,25,57,false,false,13.6,25,73601515,0.52,1.17,0,15.9,0
B2_no_rare_events,lfi,strategist,4,31,80,true,true,17.1,31,f48f39f0,0.387,1.35,2,14.74,1
C_no_narrative_memory,lfi,strategist,4,31,73,true,true,14.3,31,c9106e3f,0.516,1.7,1,24.82,0
E_no_ideology_effects,lfi,strategist,4,25,51,false,false,13.1,25,cc595c04,0.2,0.74,2,0,1
F_no_delayed_consequences,lfi,strategist,4,31,72,true,true,15,31,53f07ba0,0.355,0.97,1,9.93,2
A_baseline,lfi,strategist,5,31,81,true,true,17.4,31,9e4ff186,0.419,1.04,1,13.58,1
B1_no_opportunistic_randomness,lfi,strategist,5,29,69,true,false,14.2,29,f0ead0e0,0.207,1.36,3,15.46,2
B2_no_rare_events,lfi,strategist,5,31,73,true,true,13.4,31,84e42b68,0.452,1.03,1,10.58,2
C_no_narrative_memory,lfi,strategist,5,25,56,false,false,14.4,25,7a9c971b,0.4,1.14,2,11.45,0
E_no_ideology_effects,lfi,strategist,5,29,70,true,false,17.7,29,635b551b,0.379,1.46,1,0,0
F_no_delayed_consequences,lfi,strategist,5,31,80,true,true,17.4,31,a79aa95d,0.419,1.23,1,19.48,1
A_baseline,lfi,strategist,6,25,53,false,false,12.9,25,b1f5a4c1,0.4,1.6,7,14.58,6
B1_no_opportunistic_randomness,lfi,strategist,6,31,80,true,true,16.4,31,915b0795,0.226,1.96,3,20.48,2
B2_no_rare_events,lfi,strategist,6,29,74,true,false,18.3,29,e705eeaa,0.31,1.31,3,13.95,3
C_no_narrative_memory,lfi,strategist,6,31,75,true,true,15.1,31,2a4111ee,0.161,0.89,2,7.14,0
E_no_ideology_effects,lfi,strategist,6,31,76,true,true,16.7,31,57a3ff6a,0.323,1.07,3,0,1
F_no_delayed_consequences,lfi,strategist,6,29,70,true,false,15.6,29,390f46ed,0.172,1.21,2,14.64,0
A_baseline,lfi,strategist,7,31,83,true,true,18.4,31,52b3cbf0,0.258,1.58,1,17.27,3
B1_no_opportunistic_randomness,lfi,strategist,7,29,69,true,false,15,29,8f20c6ae,0.138,1.63,2,16.21,1
B2_no_rare_events,lfi,strategist,7,29,69,true,false,15.8,29,c9dfe27f,0.31,1.38,1,9.53,2
C_no_narrative_memory,lfi,strategist,7,31,81,true,true,19.2,31,e6c6653e,0.226,1.03,2,11.58,0
E_no_ideology_effects,lfi,strategist,7,25,50,false,false,12.8,25,4a9aa32a,0.4,1.07,1,0,2
F_no_delayed_consequences,lfi,strategist,7,31,80,true,true,15.5,31,7a21cc69,0.29,1.86,0,25.4,0
A_baseline,lfi,cautious,0,31,76,true,true,15.3,31,a9751dc7,0.097,1.35,2,18.3,4
B1_no_opportunistic_randomness,lfi,cautious,0,29,69,true,false,14,29,481d9a15,0.276,2.07,3,15.21,2
B2_no_rare_events,lfi,cautious,0,29,72,true,false,16.3,29,68c66e8a,0.138,1.34,0,14.46,0
C_no_narrative_memory,lfi,cautious,0,31,79,true,true,14.7,31,d3717114,0.258,1.92,3,17.26,0
E_no_ideology_effects,lfi,cautious,0,31,83,true,true,19.6,31,b73f5634,0.161,1.74,0,0,0
F_no_delayed_consequences,lfi,cautious,0,31,80,true,true,15.8,31,5482648b,0.161,1.42,2,9.64,3
A_baseline,lfi,cautious,1,31,84,true,true,18.3,31,6a4a6a02,0.032,1.37,2,18.42,1
B1_no_opportunistic_randomness,lfi,cautious,1,29,77,true,false,17.6,29,ec2f2d0b,0.172,2.23,3,20.3,1
B2_no_rare_events,lfi,cautious,1,31,85,true,true,19.2,31,a66ee50c,0.226,1.65,2,16.66,3
C_no_narrative_memory,lfi,cautious,1,31,76,true,true,14.2,31,e44511bf,0.194,1.77,1,19.35,0
E_no_ideology_effects,lfi,cautious,1,29,66,true,false,13.9,29,71641127,0.172,1.22,1,0,0
F_no_delayed_consequences,lfi,cautious,1,29,78,true,false,17.7,29,c70ed3ec,0.31,2.19,2,13.3,3
A_baseline,lfi,cautious,2,31,89,true,true,20.5,31,7c24d0a,0.226,1.98,1,11.79,1
B1_no_opportunistic_randomness,lfi,cautious,2,29,66,true,false,13.1,29,bbf7305d,0.241,1.56,3,14.82,3
B2_no_rare_events,lfi,cautious,2,29,71,true,false,15.2,29,edbf3588,0.103,1.81,3,23.99,2
C_no_narrative_memory,lfi,cautious,2,29,74,true,false,15.1,29,7e359daf,0.103,1.58,2,18.17,0
E_no_ideology_effects,lfi,cautious,2,31,74,true,true,14.6,31,9dc629e8,0.226,1.59,0,0,2
F_no_delayed_consequences,lfi,cautious,2,29,72,true,false,15.4,29,c50a3a8f,0.276,1.89,1,15.07,1
A_baseline,lfi,cautious,3,31,75,true,true,14.3,31,a506968f,0.226,1.69,2,13.86,2
B1_no_opportunistic_randomness,lfi,cautious,3,31,84,true,true,18.3,31,dad8a2b0,0.129,1.78,4,15.54,2
B2_no_rare_events,lfi,cautious,3,31,72,true,true,13.9,31,9765a4af,0.161,1.17,6,18.82,4
C_no_narrative_memory,lfi,cautious,3,31,78,true,true,15.5,31,d1b9844f,0.194,1.46,2,14.59,0
