partyA,partyB,crossPartyGameJaccard,intraPartyGameJaccardA,intraPartyGameJaccardB,strategyCosine
lfi,ps,0.2104,0.1817,0.1715,0.9941
lfi,renaissance,0.1658,0.1817,0.156,0.9839
lfi,lr,0.1505,0.1817,0.1474,0.9877
lfi,rn,0.1761,0.1817,0.1929,0.9827
lfi,reconquete,0.1365,0.1817,0.1582,0.9904
lfi,nouvelle_energie,0.1618,0.1817,0.1642,0.9842
ps,renaissance,0.2116,0.1715,0.156,0.9959
ps,rn,0.1748,0.1715,0.1929,0.9872
ps,reconquete,0.1246,0.1715,0.1582,0.9941
ecologistes,lfi,0.1865,0.1691,0.1817,0.9874
ecologistes,ps,0.2327,0.1691,0.1715,0.9962
ecologistes,renaissance,0.1785,0.1691,0.156,0.9964
ecologistes,horizons,0.1597,0.1691,0.1625,0.9887
ecologistes,lr,0.1501,0.1691,0.1474,0.9892
ecologistes,rn,0.1553,0.1691,0.1929,0.9878
ecologistes,reconquete,0.1441,0.1691,0.1582,0.9941
ecologistes,nouvelle_energie,0.1502,0.1691,0.1642,0.9889
renaissance,rn,0.1501,0.156,0.1929,0.9844
horizons,lfi,0.1765,0.1625,0.1817,0.9847
horizons,ps,0.1515,0.1625,0.1715,0.9907
horizons,renaissance,0.1771,0.1625,0.156,0.9893
horizons,lr,0.1832,0.1625,0.1474,0.9853
horizons,rn,0.17,0.1625,0.1929,0.9876
horizons,reconquete,0.1265,0.1625,0.1582,0.9823
horizons,nouvelle_energie,0.1715,0.1625,0.1642,0.9978
lr,ps,0.1669,0.1474,0.1715,0.9935
lr,renaissance,0.1663,0.1474,0.156,0.9917
lr,rn,0.1927,0.1474,0.1929,0.9843
lr,reconquete,0.1376,0.1474,0.1582,0.9843
lr,nouvelle_energie,0.1636,0.1474,0.1642,0.9817
reconquete,renaissance,0.1281,0.1582,0.156,0.9898
reconquete,rn,0.1431,0.1582,0.1929,0.9813
nouvelle_energie,ps,0.151,0.1642,0.1715,0.9909
nouvelle_energie,renaissance,0.1519,0.1642,0.156,0.9883
nouvelle_energie,rn,0.1881,0.1642,0.1929,0.9835
nouvelle_energie,reconquete,0.1452,0.1642,0.1582,0.9816
