partyId,gamesPlayed,cumulativeUniqueEvents,pctOfAccessibleCatalog,newContentShareThisGame
lfi,1,25,16.8,1
lfi,2,42,28.2,0.68
lfi,3,64,43,0.71
lfi,5,82,55,0.24
lfi,10,108,72.5,0.097
lfi,20,124,83.2,0
ps,1,31,20.8,1
ps,2,49,32.9,0.72
ps,3,66,44.3,0.68
ps,5,87,58.4,0.28
ps,10,112,75.2,0.097
ps,20,125,83.9,0
ecologistes,1,31,20.8,1
ecologistes,2,51,34.2,0.8
ecologistes,3,69,46.3,0.581
ecologistes,5,94,63.1,0.323
ecologistes,10,114,76.5,0.12
ecologistes,20,127,85.2,0
renaissance,1,31,20.9,1
renaissance,2,49,33.1,0.72
renaissance,3,64,43.2,0.484
renaissance,5,85,57.4,0.36
renaissance,10,107,72.3,0.065
renaissance,20,123,83.1,0
horizons,1,25,16.7,1
horizons,2,44,29.3,0.76
horizons,3,57,38,0.52
horizons,5,85,56.7,0.387
horizons,10,111,74,0.129
horizons,20,119,79.3,0.032
lr,1,25,16.4,1
lr,2,44,28.9,0.76
lr,3,58,38.2,0.56
lr,5,78,51.3,0.24
lr,10,110,72.4,0.12
lr,20,126,82.9,0
rn,1,31,20.9,1
rn,2,50,33.8,0.655
rn,3,61,41.2,0.379
rn,5,86,58.1,0.387
rn,10,111,75,0.097
rn,20,122,82.4,0.034
reconquete,1,25,16.9,1
reconquete,2,40,27,0.6
reconquete,3,56,37.8,0.64
reconquete,5,77,52,0.483
reconquete,10,100,67.6,0.08
reconquete,20,116,78.4,0.12
nouvelle_energie,1,31,20.5,1
nouvelle_energie,2,51,33.8,0.645
nouvelle_energie,3,64,42.4,0.448
nouvelle_energie,5,87,57.6,0.52
nouvelle_energie,10,107,70.9,0
nouvelle_energie,20,124,82.1,0
