runKey,partyId,partyProfile,partyKind,profile,agent,seedIndex,seed,methodId,decisions,qualified,won,endingId,finalScore,firstRoundScore,secondRoundScore,progressionNormalized,startingPolling,playerRank,rivalPartyId,minPolling,maxPolling,minRank,maxRank,qualificationZoneCrossings,marginToNextCandidateFirstRound,achievementsCount,alliancesFormed,candidateReplacementsObserved,actorMemoryEntries,statementCount,contradictionCount,abruptReversalCount,narrativeThreadsStarted,narrativeThreadsResolved,narrativeThreadsFailed,ideologyMoveEconomy,ideologyMoveSociety,ideologyMoveEurope,ideologyMoveEcology,ideologyMoveAuthority,ideologyMoveImmigration,ideologyMoveTotal,rareEventEncountered,rareEventCount,chainEventCount,secondRoundReached,ownRejectionAtSecondRound,opponentRejectionAtSecondRound,hasOpponentConflict,isComeback,isCollapse,resultCategory,weakCardCount,maxWeakCardStreak,memorableSignalCount,opponentActionsTotal,opponentActionsStrategy,opponentActionsCrisis,opponentActionsAlliance,opponentActionsEndorsement,opponentActionsReplacement,opponentActionsOther,totalNarrativeChars,bestDecisionIndex,costliestDecisionIndex
lfi:strategist:0,lfi,lfi,existing,strategist,parti_dabord,0,fun-audit-0,field_first,25,false,false,kingmaker,53,12.4,,-0.046,13.9,4,rn,9.1,14.9,1,8,6,0.1,11,0,0,0,7,0,0,2,0,0,3.16,1.68,0,0,3.01,4.3,12.15,false,0,2,false,,,true,false,false,elimination_precoce,1,1,1,63,54,5,1,3,0,0,12392,16,14
lfi:strategist:1,lfi,lfi,existing,strategist,parti_dabord,1,fun-audit-1,presidential,25,false,false,kingmaker,52,12.8,,-0.015,8,3,nouvelle_energie,8,14.18,1,8,5,0.9,11,0,0,2,6,1,0,1,0,0,0.58,2.4,0.35,0,0.7,4.3,8.33,false,0,2,false,,,true,false,false,elimination_precoce,2,1,3,58,49,4,2,3,0,0,12723,18,
lfi:strategist:2,lfi,lfi,existing,strategist,parti_dabord,2,fun-audit-2,rupture,31,true,true,president,86,18.8,53.6,0.387,14.2,1,horizons,10.2,16.69,1,7,8,5.7,19,0,0,3,10,0,0,1,1,0,2.72,3.98,3.4,2.13,2.7,3.6,18.53,true,1,2,true,77.89727212406538,47.1,true,false,false,victoire_serree,2,1,5,72,63,6,2,1,0,0,15643,22,
lfi:strategist:3,lfi,lfi,existing,strategist,parti_dabord,3,fun-audit-3,digital,25,false,false,kingmaker,53,11.7,,-0.1,9.9,4,rn,9.9,15.8,1,8,3,1.8,12,0,0,1,9,0,0,0,0,0,1.96,2.55,3.83,2.13,2.2,5.01,17.68,false,0,0,false,,,true,false,false,elimination_precoce,3,1,2,61,57,2,0,2,0,0,12565,5,
lfi:strategist:4,lfi,lfi,existing,strategist,parti_dabord,4,fun-audit-4,union,31,true,true,president,78,16.2,54.2,0.213,11.9,1,rn,9,16.8,1,8,5,2.8,18,0,0,0,10,0,0,0,0,0,1.7,2.02,3.4,4.41,5.23,3.6,20.36,true,1,0,true,72,86.80000000000003,true,false,false,victoire_serree,2,1,2,76,69,4,1,2,0,0,15765,17,28
lfi:strategist:5,lfi,lfi,existing,strategist,parti_dabord,5,fun-audit-5,field_first,29,true,false,runoff_defeat,74,18.3,49.7,0.353,7.6,1,horizons,7.6,18.1,1,8,3,4.3,12,0,0,3,6,0,0,1,1,0,1.88,1.68,3.05,0,0.35,6.29,13.25,false,0,2,true,67,48.699999999999996,true,true,false,remontee_spectaculaire,4,1,5,77,66,7,0,3,0,1,14458,11,8
lfi:strategist:6,lfi,lfi,existing,strategist,parti_dabord,6,fun-audit-6,presidential,31,true,true,president,76,15,54.4,0.133,7.7,1,ps,7.6,15.8,1,8,5,2.8,16,0,0,3,8,0,0,2,1,0,0.24,1.68,0.35,4.41,2.84,4.3,13.82,false,0,3,true,74,71.20000000000002,true,false,false,victoire_serree,1,1,4,80,73,5,2,0,0,0,15668,18,28
lfi:strategist:7,lfi,lfi,existing,strategist,parti_dabord,7,fun-audit-7,rupture,29,true,false,runoff_defeat,72,15.7,48,0.18,9.6,1,nouvelle_energie,9.6,17.5,1,8,3,3.6,14,0,1,1,11,0,0,0,0,0,5.8,1.68,0.35,4.41,0.35,6.29,18.88,true,2,0,true,78.74810342963193,28.599999999999998,true,false,false,defaite_serree,5,1,5,67,57,5,1,3,1,0,14354,17,21
lfi:strategist:8,lfi,lfi,existing,strategist,parti_dabord,8,fun-audit-8,digital,31,true,true,president,78,15.6,56.2,0.173,14.7,1,rn,9,15.06,1,8,8,3.3,17,0,0,0,6,0,0,0,0,0,0.26,2.55,0,2.13,2.7,3.6,11.24,true,1,0,true,62,87.00000000000003,true,false,false,victoire_confortable,0,0,2,68,60,6,1,1,0,0,15841,17,27
lfi:strategist:9,lfi,lfi,existing,strategist,parti_dabord,9,fun-audit-9,union,31,true,true,president,77,16,56.2,0.2,7.9,1,rn,7.9,16.6,1,8,7,4.5,18,0,0,2,7,0,0,0,0,0,0.76,2.17,0.35,2.48,3.01,8.18,16.95,false,0,0,true,74,87.3,true,true,false,remontee_spectaculaire,3,1,4,80,71,7,2,0,0,0,15470,13,
lfi:strategist:10,lfi,lfi,existing,strategist,parti_dabord,10,fun-audit-10,field_first,31,true,true,president,77,15.9,53.9,0.193,12,1,rn,11.66,14.2,1,4,6,3,15,0,0,3,5,0,0,1,1,0,1.3,1.44,3.4,0,2.84,0,8.98,false,0,2,true,76.94831496260039,88.29999999999998,true,false,false,victoire_serree,3,1,4,80,73,3,3,1,0,0,15737,22,29
lfi:strategist:11,lfi,lfi,existing,strategist,parti_dabord,11,fun-audit-11,presidential,31,true,true,president,77,15.5,53.4,0.167,14.8,1,rn,10.4,16.5,1,6,6,1.4,17,0,1,3,6,0,0,1,0,0,1.97,2.55,0,2.48,2.13,5.01,14.14,false,0,1,true,73,85,true,false,false,victoire_serree,2,1,4,72,65,4,2,0,1,0,16045,20,14
lfi:strategist:12,lfi,lfi,existing,strategist,parti_dabord,12,fun-audit-12,rupture,29,true,false,runoff_defeat,66,13.2,48.5,0.013,11.5,1,rn,11.5,18.9,1,6,1,0.9,14,0,0,2,6,0,0,0,0,0,1,1.68,0.35,2.13,0,8.18,13.34,false,0,0,true,76,87.10000000000001,true,false,false,defaite_serree,3,1,3,73,69,3,1,0,0,0,14533,9,23
lfi:strategist:13,lfi,lfi,existing,strategist,parti_dabord,13,fun-audit-13,digital,31,true,true,president,79,16.5,56.7,0.233,12.1,1,rn,11.64,18.7,1,5,6,4.1,15,0,0,0,9,0,0,0,0,0,0.83,7.13,0,2.13,2.2,0,12.29,false,0,0,true,70,85,true,false,false,victoire_confortable,4,1,1,74,69,3,2,0,0,0,15712,3,29
lfi:strategist:14,lfi,lfi,existing,strategist,parti_dabord,14,fun-audit-14,union,29,true,false,runoff_defeat,70,15.6,46.4,0.173,13,1,horizons,9.3,13.89,1,8,10,3.2,11,0,0,2,7,0,0,0,0,0,4.61,3.78,2.34,2.13,1.4,0,14.26,false,0,0,true,74,46.2,true,false,false,defaite_serree,1,1,3,67,61,1,3,2,0,0,14629,10,11
lfi:strategist:15,lfi,lfi,existing,strategist,parti_dabord,15,fun-audit-15,field_first,29,true,false,runoff_defeat,75,18.1,48,0.34,13.8,1,ps,11.6,17.4,1,4,8,5.3,11,0,0,3,5,0,0,1,1,0,0.7,2.55,3.4,2.13,2.66,3.6,15.04,false,0,3,true,69,72.6,true,false,false,defaite_serree,2,2,4,68,63,3,1,1,0,0,14379,23,27
lfi:strategist:16,lfi,lfi,existing,strategist,parti_dabord,16,fun-audit-16,presidential,31,true,true,president,80,16.7,54,0.247,11.3,1,ps,10.5,15.4,1,7,5,4.7,19,0,0,6,6,0,0,2,2,0,0.84,3.78,0,2.48,2.31,0,9.41,false,0,5,true,67,73.69999999999999,true,false,false,victoire_serree,0,0,4,76,69,1,4,2,0,0,16039,22,24
lfi:strategist:17,lfi,lfi,existing,strategist,parti_dabord,17,fun-audit-17,rupture,31,true,true,president,77,15.2,52.4,0.147,12.8,1,nouvelle_energie,9,15.15,1,8,8,2.5,17,0,0,0,10,0,0,0,0,0,1.98,4.07,3.48,0,0.7,8.81,19.04,false,0,0,true,71,29.900000000000002,true,false,false,victoire_serree,3,2,2,80,70,2,2,6,0,0,15753,10,27
lfi:strategist:18,lfi,lfi,existing,strategist,parti_dabord,18,fun-audit-18,digital,29,true,false,runoff_defeat,72,16.1,43.2,0.207,10.7,1,ps,10.4,19.1,1,8,3,3.9,12,0,0,3,6,0,0,2,0,0,2.63,0,0.35,0,2.66,6.08,11.72,true,1,2,true,65,70.4,true,false,false,defaite_lourde,3,2,3,68,62,3,2,1,0,0,14633,14,13
lfi:strategist:19,lfi,lfi,existing,strategist,parti_dabord,19,fun-audit-19,union,31,true,true,president,73,13.9,57.1,0.06,10,1,rn,10,17,1,8,5,1.8,17,0,1,3,5,0,0,0,0,0,4.74,2.55,0,0,0.35,2.2,9.84,false,0,0,true,68,89.6,true,false,false,victoire_confortable,4,1,3,80,70,7,1,1,1,0,15368,10,19
lfi:roleplayer:0,lfi,lfi,existing,roleplayer,ideologiquement_coherent,0,fun-audit-0,field_first,31,true,true,president,80,14.8,51.6,0.12,13.9,2,rn,10.1,20.9,1,8,4,1.6,18,0,0,0,11,0,0,0,0,0,6.13,0.8,0,1.96,0.35,2.93,12.17,false,0,0,true,63,86.40000000000002,true,false,false,victoire_serree,3,1,2,76,67,6,1,2,0,0,15278,3,
lfi:roleplayer:1,lfi,lfi,existing,roleplayer,ideologiquement_coherent,1,fun-audit-1,presidential,31,true,true,president,77,14.2,51.6,0.08,8,1,nouvelle_energie,8,16.4,1,8,3,0.7,16,0,0,2,10,0,0,1,0,0,2.55,0.07,0,0,0,1.15,3.77,true,2,1,true,67,28,true,false,false,victoire_serree,4,1,5,76,64,5,2,5,0,0,15606,11,8
lfi:roleplayer:2,lfi,lfi,existing,roleplayer,ideologiquement_coherent,2,fun-audit-2,rupture,31,true,true,president,87,19,56.5,0.353,14.2,1,renaissance,10,16.94,1,8,8,6,18,0,0,3,10,0,0,1,1,0,6.19,0.95,1.3,1.26,1.08,0.06,10.84,false,0,2,true,60,63.2,true,false,false,victoire_confortable,2,1,3,75,63,6,2,4,0,0,15448,7,28
lfi:roleplayer:3,lfi,lfi,existing,roleplayer,ideologiquement_coherent,3,fun-audit-3,digital,29,true,false,runoff_defeat,71,13.7,46.8,0.047,9.9,2,rn,9.9,18.1,1,8,3,0.4,13,0,0,3,10,0,0,2,1,0,2.3,1.65,1.94,1.96,0.04,2.34,10.23,false,0,2,true,63,86.5,true,false,false,defaite_serree,2,1,4,68,63,3,1,1,0,0,14826,22,25
