partyA,partyB,crossPartyGameJaccard,intraPartyGameJaccardA,intraPartyGameJaccardB,strategyCosine
lfi,ps,0.2072,0.1822,0.177,0.9897
lfi,renaissance,0.1898,0.1822,0.1614,0.981
lfi,lr,0.1461,0.1822,0.1454,0.9868
lfi,rn,0.18,0.1822,0.1966,0.9807
lfi,reconquete,0.1352,0.1822,0.153,0.9895
lfi,nouvelle_energie,0.1584,0.1822,0.168,0.9835
ps,renaissance,0.2408,0.177,0.1614,0.9964
ps,rn,0.1674,0.177,0.1966,0.9815
ps,reconquete,0.1177,0.177,0.153,0.9929
ecologistes,lfi,0.1826,0.1642,0.1822,0.9829
ecologistes,ps,0.2334,0.1642,0.177,0.9939
ecologistes,renaissance,0.1955,0.1642,0.1614,0.9949
ecologistes,horizons,0.1959,0.1642,0.1864,0.991
ecologistes,lr,0.1511,0.1642,0.1454,0.9874
ecologistes,rn,0.148,0.1642,0.1966,0.9838
ecologistes,reconquete,0.1434,0.1642,0.153,0.9912
ecologistes,nouvelle_energie,0.1465,0.1642,0.168,0.9885
renaissance,rn,0.1574,0.1614,0.1966,0.9795
horizons,lfi,0.196,0.1864,0.1822,0.9889
horizons,ps,0.1894,0.1864,0.177,0.9933
horizons,renaissance,0.2152,0.1864,0.1614,0.9923
horizons,lr,0.2118,0.1864,0.1454,0.9911
horizons,rn,0.1949,0.1864,0.1966,0.9888
horizons,reconquete,0.1396,0.1864,0.153,0.9855
horizons,nouvelle_energie,0.1908,0.1864,0.168,0.9955
lr,ps,0.1617,0.1454,0.177,0.9936
lr,renaissance,0.185,0.1454,0.1614,0.9921
lr,rn,0.1968,0.1454,0.1966,0.9803
lr,reconquete,0.1393,0.1454,0.153,0.9871
lr,nouvelle_energie,0.1623,0.1454,0.168,0.9823
reconquete,renaissance,0.1347,0.153,0.1614,0.9865
reconquete,rn,0.1425,0.153,0.1966,0.9801
nouvelle_energie,ps,0.1563,0.168,0.177,0.99
nouvelle_energie,renaissance,0.1709,0.168,0.1614,0.9916
nouvelle_energie,rn,0.1902,0.168,0.1966,0.9808
nouvelle_energie,reconquete,0.1406,0.168,0.153,0.9792
