eventId,title,category,rarity,occurrences,meanIntensity,meanAbsPollDelta,choiceEntropyNormalized,dominantChoiceShare,isChain,isRare,compositeScore,grade
rare_national_union,Une coalition de crise est proposée,rare,legendary,23,6,2.14,0.999,0.522,true,true,79.6,S
rare_fragmented_congress,Neuf groupes rendent la majorité incertaine,rare,rare,90,6,0.84,0.926,0.433,true,true,75.2,S
rare_debate_blackout,Le studio plonge dans le noir,rare,rare,35,6,0.59,0.964,0.457,true,true,74.6,S
party_ps_crisis_followup,La contribution fiscale revient devant le parti,party,uncommon,43,5,1.84,0.99,0.558,true,false,74.2,S
rare_exceptional_powers,Le débat sur les pouvoirs exceptionnels,rare,rare,60,6,1.03,0.883,0.533,true,true,74,S
party_nouvelle_energie_fronde,Raphaël Ternois pousse à la fusion,party,common,61,5,1.66,0.99,0.557,true,false,73.5,S
party_reconquete_fronde,Hélène Saint-Cyr refuse l’élargissement,party,common,68,5,1.64,0.977,0.588,true,false,72.8,S
party_lr_crisis_followup,Les fédérations exigent un vote de ligne,party,uncommon,50,5,1.08,0.999,0.52,true,false,71.5,S
party_nouvelle_energie_crisis_followup,La négociation de fusion arrive au vote,party,uncommon,41,5,1.09,0.989,0.561,true,false,71,S
internal_strategy_leak,La note sur le vote utile fuite,internal,common,209,5,0.9,0.993,0.383,true,false,70.5,S
party_ecologistes_crisis_followup,La ligne énergétique revient au congrès,party,uncommon,46,5,0.98,0.988,0.565,true,false,70.5,S
party_reconquete_crisis_followup,Les comités de Saint-Cyr se coordonnent,party,uncommon,40,5,0.88,0.993,0.55,true,false,70.3,S
media_economic_morning,Le chiffrage de la matinale,media,common,122,5,0.84,0.992,0.393,true,false,70.1,S
party_renaissance_crisis_followup,Les élus du bilan demandent réparation,party,uncommon,53,5,0.87,0.987,0.566,true,false,70,S
party_ps_fronde,Élise Marceau conteste la synthèse,party,common,62,5,1.34,0.938,0.645,true,false,69.8,A
party_lfi_fronde,Nassim Courbet réclame une ligne plus sociale,party,common,58,5,0.94,0.973,0.448,true,false,69.7,A
debate_economy_round,Le duel sur les huit milliards,debate,common,161,6,0.89,0.975,0.323,true,false,69.6,A
media_documentary_access,La caméra derrière la porte,media,common,139,3.04,0.99,0.96,0.468,true,false,69.4,A
party_renaissance_legacy_test,Le bilan face aux chiffres,party,common,45,6,0.74,0.982,0.4,true,false,69.2,A
party_horizons_crisis_followup,Le mandat de négociation arrive à échéance,party,uncommon,36,5,0.82,0.991,0.556,true,false,69,A
party_horizons_founder_challenge,Paul Auriac demande qui décide vraiment,party,common,72,5,0.87,0.955,0.486,true,false,68.6,A
party_rn_crisis_followup,Le courant Ferran teste la discipline,party,uncommon,54,5,0.62,0.975,0.593,true,false,68.5,A
party_ecologistes_fronde,Maud Lestang rouvre le débat nucléaire,party,common,66,5,0.64,0.957,0.621,true,false,67.7,A
alliance_udr_autonomy,Un allié du RN revendique sa marque,alliance,common,37,5,1.1,0.928,0.459,true,false,67.6,A
rare_congress_partners_respond,Deux partis répondent aux cinq conditions,rare,uncommon,35,6,1,0.928,0.657,true,false,66.7,A
rare_national_union_expires,Les six mois d’union nationale s’achèvent,rare,uncommon,10,6,1.75,0.991,0.4,true,false,66.4,A
party_lfi_crisis_followup,La fronde sociale exige un vote,party,common,51,6,1.3,0.861,0.451,true,false,66.2,A
rare_hologram_revolt,Le double numérique refuse de démarrer,rare,rare,82,5,0.97,0.982,0.39,false,true,66.2,A
party_lr_fronde,Diane Mérande veut négocier à droite,party,common,83,5,1.56,0.834,0.735,true,false,66,A
scandal_treasurer_invoices,Les factures sans pièce ressortent,scandal,common,240,6,0.91,0.89,0.45,true,false,65.9,A
rare_civil_suspension,Votre voix ne tient plus,rare,rare,52,6,0.88,0.983,0.404,false,true,65.9,A
party_horizons_fronde,Théo Lagrive réclame un accord central,party,common,56,5,0.81,0.886,0.696,true,false,65.2,A
party_renaissance_fronde,Salomé Varenne défend le bilan,party,common,66,5,0.39,0.918,0.667,true,false,64.9,A
internal_financial_review,Le contrôle interne signale trois factures,internal,common,310,5,0.4,0.908,0.513,true,false,64.5,A
party_rn_fronde,Louis Ferran refuse la modération,party,common,79,5,1.18,0.835,0.734,true,false,64.5,A
scandal_audit_conclusion,L’audit clôt le dossier des factures,scandal,common,192,5,0.86,0.859,0.536,true,false,64.2,A
media_fact_check_followup,Le coût passe au crible,media,common,45,5,0.38,0.904,0.444,true,false,64.2,A
rare_powers_guardrails_tested,Les garde-fous promis sont pris au mot,rare,uncommon,13,5,1.19,0.961,0.615,true,false,63.5,A
party_renaissance_legacy_confronted,Les deux écarts reviennent en boucle,party,uncommon,9,5,1.9,0.918,0.667,true,false,63.5,A
alliance_strategic_withdrawal,Nouvelle Énergie propose un retrait,alliance,common,58,6,1.88,0.992,0.552,false,false,62.5,A
rare_congress_isolation,Les partis voisins organisent leur propre socle,rare,uncommon,30,5,1.17,0.837,0.733,true,false,62,A
media_past_words,Une promesse revient au montage,media,uncommon,70,5,1.13,0.783,0.671,true,false,62,A
party_lr_signature,La sécurité du quotidien exige des moyens,party,common,67,5,1.82,0.98,0.582,false,false,61.7,A
