partyA,partyB,crossPartyGameJaccard,intraPartyGameJaccardA,intraPartyGameJaccardB,strategyCosine
lfi,ps,0.2164,0.1816,0.1766,0.9924
lfi,renaissance,0.1729,0.1816,0.1673,0.9809
lfi,lr,0.1459,0.1816,0.147,0.9853
lfi,rn,0.1847,0.1816,0.1953,0.9831
lfi,reconquete,0.1359,0.1816,0.1562,0.9906
lfi,nouvelle_energie,0.1626,0.1816,0.1698,0.9828
ps,renaissance,0.2116,0.1766,0.1673,0.9953
ps,rn,0.1734,0.1766,0.1953,0.9858
ps,reconquete,0.1219,0.1766,0.1562,0.995
ecologistes,lfi,0.1837,0.1643,0.1816,0.9864
ecologistes,ps,0.2322,0.1643,0.1766,0.9949
ecologistes,renaissance,0.1774,0.1643,0.1673,0.994
ecologistes,horizons,0.1552,0.1643,0.174,0.991
ecologistes,lr,0.1487,0.1643,0.147,0.9878
ecologistes,rn,0.1499,0.1643,0.1953,0.9876
ecologistes,reconquete,0.1462,0.1643,0.1562,0.9936
ecologistes,nouvelle_energie,0.1524,0.1643,0.1698,0.9908
renaissance,rn,0.1513,0.1673,0.1953,0.9831
horizons,lfi,0.1772,0.174,0.1816,0.988
horizons,ps,0.1597,0.174,0.1766,0.9918
horizons,renaissance,0.1995,0.174,0.1673,0.9877
horizons,lr,0.1992,0.174,0.147,0.987
horizons,rn,0.1743,0.174,0.1953,0.99
horizons,reconquete,0.132,0.174,0.1562,0.9857
horizons,nouvelle_energie,0.1802,0.174,0.1698,0.9965
lr,ps,0.1625,0.147,0.1766,0.9922
lr,renaissance,0.1746,0.147,0.1673,0.9888
lr,rn,0.1947,0.147,0.1953,0.981
lr,reconquete,0.1379,0.147,0.1562,0.9841
lr,nouvelle_energie,0.1609,0.147,0.1698,0.9814
reconquete,renaissance,0.1253,0.1562,0.1673,0.9891
reconquete,rn,0.1425,0.1562,0.1953,0.9816
nouvelle_energie,ps,0.162,0.1698,0.1766,0.9904
nouvelle_energie,renaissance,0.1651,0.1698,0.1673,0.9886
nouvelle_energie,rn,0.1896,0.1698,0.1953,0.9822
nouvelle_energie,reconquete,0.1456,0.1698,0.1562,0.9829
