partyId,gamesPlayed,cumulativeUniqueEvents,pctOfAccessibleCatalog,newContentShareThisGame
lfi,1,25,16.1,1
lfi,2,42,27.1,0.68
lfi,3,64,41.3,0.71
lfi,5,82,52.9,0.24
lfi,10,105,67.7,0.097
lfi,20,124,80,0.034
ps,1,25,16.1,1
ps,2,42,27.1,0.68
ps,3,59,38.1,0.68
ps,5,85,54.8,0.24
ps,10,114,73.5,0.097
ps,20,127,81.9,0
ecologistes,1,31,20,1
ecologistes,2,51,32.9,0.8
ecologistes,3,68,43.9,0.586
ecologistes,5,91,58.7,0.323
ecologistes,10,112,72.3,0.2
ecologistes,20,126,81.3,0
renaissance,1,25,15.7,1
renaissance,2,50,31.4,0.806
renaissance,3,62,39,0.48
renaissance,5,80,50.3,0.24
renaissance,10,107,67.3,0.194
renaissance,20,123,77.4,0.032
horizons,1,25,15.4,1
horizons,2,47,29,0.71
horizons,3,61,37.7,0.483
horizons,5,84,51.9,0.323
horizons,10,107,66,0.161
horizons,20,121,74.7,0
lr,1,25,15.8,1
lr,2,48,30.4,0.793
lr,3,63,39.9,0.6
lr,5,83,52.5,0.36
lr,10,113,71.5,0.24
lr,20,128,81,0
rn,1,31,20.1,1
rn,2,50,32.5,0.655
rn,3,61,39.6,0.379
rn,5,86,55.8,0.387
rn,10,112,72.7,0.097
rn,20,122,79.2,0.034
reconquete,1,25,16.2,1
reconquete,2,42,27.3,0.68
reconquete,3,57,37,0.6
reconquete,5,77,50,0.483
reconquete,10,99,64.3,0.08
reconquete,20,114,74,0.12
nouvelle_energie,1,31,19.7,1
nouvelle_energie,2,51,32.5,0.645
nouvelle_energie,3,66,42,0.484
nouvelle_energie,5,89,56.7,0.52
nouvelle_energie,10,109,69.4,0.065
nouvelle_energie,20,124,79,0
