runKey,startDecisionIndex,length,phase
lfi:aleatoire:2,13,3,campaign
lfi:ideologiquement_coherent:0,5,3,pre_campaign
lfi:ideologiquement_coherent:2,13,3,campaign
lfi:opportuniste_electoral:0,5,3,pre_campaign
lfi:opportuniste_electoral:1,5,3,pre_campaign
ps:prudent:2,13,3,campaign
ps:risque:2,13,3,campaign
ps:ideologiquement_coherent:0,5,3,pre_campaign
ps:opportuniste_electoral:2,13,3,campaign
ps:parti_dabord:2,13,3,campaign
ps:mediatique:2,13,3,campaign
ps:contrarien:2,13,3,campaign
ecologistes:ideologiquement_coherent:0,5,3,pre_campaign
rn:ideologiquement_coherent:2,13,3,campaign
rn:opportuniste_electoral:2,13,3,campaign
rn:parti_dabord:2,13,3,campaign
rn:mediatique:2,13,3,campaign
coherent_left_green:prudent:0,16,4,official_campaign
coherent_conservative:prudent:0,8,3,pre_campaign
coherent_conservative:ideologiquement_coherent:0,8,3,pre_campaign
centrist_technocratic:aleatoire:2,17,3,official_campaign
extreme_gauche:prudent:1,5,3,pre_campaign
extreme_droite:prudent:1,2,3,pre_campaign
extreme_droite:ideologiquement_coherent:1,2,3,pre_campaign
libertarien:prudent:0,23,3,official_campaign
libertarien:ideologiquement_coherent:0,23,3,official_campaign
libertarien:risque:0,23,3,official_campaign
