grouping,key,n,mean,stddev,min,max
resultCategory,victoire_serree,112,85.4,5.7,68,96
resultCategory,defaite_serree,70,77.4,5.7,62,88
resultCategory,remontee_spectaculaire,22,86.7,3.2,81,94
resultCategory,defaite_lourde,28,71.1,5.2,59,83
resultCategory,elimination_precoce,142,57.5,8.1,35,69
resultCategory,victoire_confortable,21,87.6,3.7,79,93
resultCategory,effondrement,3,39.3,2.1,37,41
partyProfile,lfi,32,68.8,14.2,35,86
partyProfile,ps,33,80.4,14.1,40,96
partyProfile,ecologistes,33,67,15.6,37,95
partyProfile,renaissance,32,62,14.9,37,84
partyProfile,horizons,32,79.6,14.8,41,93
partyProfile,lr,32,76.1,12.6,46,94
partyProfile,rn,32,71.8,5.6,59,85
partyProfile,reconquete,32,60,11.3,43,86
partyProfile,nouvelle_energie,32,84.6,10.9,57,96
partyProfile,coherent_left_green,12,62.8,3.8,56,68
partyProfile,coherent_conservative,12,72.5,11.7,57,88
partyProfile,contradictory_hybrid,12,80,10,60,90
partyProfile,centrist_technocratic,12,76.6,10.9,60,89
partyProfile,extreme_gauche,12,75.7,11.6,58,87
partyProfile,extreme_droite,12,81.8,6.2,66,90
partyProfile,libertarien,12,65,12.3,44,87
partyProfile,ecologiste_radical,12,75,12.3,60,88
partyProfile,souverainiste,12,81.1,8.6,67,88
