partyProfile,engineId,partyKind,runsCount,avgFinalScore,avgIdeologyMovement,avgAlliancesFormed,avgContradictions,qualificationRate,opponentConflictShare,topEventCategory,topChoiceStrategy,topChoiceTag
lfi,lfi,existing,32,68.8,16.3,0.81,0.22,0.781,1,campaign (18%),policy_commitment,INSTITUTIONNEL
ps,ps,existing,33,80.4,11.3,1.3,0.06,0.727,0.939,party (15%),policy_commitment,RASSEMBLEUR
ecologistes,ecologistes,existing,33,67,18.5,0.91,0.33,0.485,1,campaign (16%),policy_commitment,PRUDENT
renaissance,renaissance,existing,32,62,14.4,0.47,0.13,0.469,0,campaign (15%),policy_commitment,PRUDENT
horizons,horizons,existing,32,79.6,14.6,0.63,0.31,0.781,0.031,party (16%),policy_commitment,PRUDENT
lr,lr,existing,32,76.1,17.8,0.72,0.25,0.813,0.375,program (17%),policy_commitment,PRUDENT
rn,rn,existing,32,71.8,11,0.09,0.31,1,1,campaign (17%),policy_commitment,PRUDENT
reconquete,reconquete,existing,32,60,18.3,0.31,0.31,0.156,1,campaign (19%),policy_commitment,PRUDENT
nouvelle_energie,nouvelle_energie,existing,32,84.6,19.8,1.06,0.44,0.875,0.031,party (14%),policy_commitment,PRUDENT
coherent_left_green,custom_party,custom,12,62.8,19.1,0,0.33,0,1,program (21%),policy_commitment,PRUDENT
coherent_conservative,custom_party,custom,12,72.5,15.8,0,0.17,0.5,0.917,campaign (20%),policy_commitment,PRUDENT
contradictory_hybrid,custom_party,custom,12,80,16.7,0,0,0.75,0,campaign (21%),policy_commitment,TRANSPARENT
centrist_technocratic,custom_party,custom,12,76.6,11.1,0,0.08,0.583,0,campaign (20%),policy_commitment,PRUDENT
extreme_gauche,custom_party,custom,12,75.7,22.2,0,0.17,0.5,1,campaign (19%),policy_commitment,TRANSPARENT
extreme_droite,custom_party,custom,12,81.8,15.6,0,0,0.917,1,campaign (18%),policy_commitment,PRUDENT
libertarien,custom_party,custom,12,65,17.1,0,0.17,0.167,0.167,program (23%),long_term_strategy,PRUDENT
ecologiste_radical,custom_party,custom,12,75,19.6,0,0.08,0.583,1,campaign (19%),policy_commitment,PRUDENT
souverainiste,custom_party,custom,12,81.1,8.6,0,0.17,0.75,0,campaign (24%),policy_commitment,PRUDENT
