runKey,decisionIndex,playerPolling,playerRank
ecologistes:contrarien:1055,1,10.817,8
ecologistes:contrarien:1055,2,10.992,7
ecologistes:contrarien:1055,3,11.035,7
ecologistes:contrarien:1055,4,10.8,7
ecologistes:contrarien:1055,5,11.141,7
ecologistes:contrarien:1055,6,11.201,7
ecologistes:contrarien:1055,7,11.236,6
ecologistes:contrarien:1055,8,9.9,8
ecologistes:contrarien:1055,9,10.516,8
ecologistes:contrarien:1055,10,10.457,8
ecologistes:contrarien:1055,11,10.61,8
ecologistes:contrarien:1055,12,9.2,8
ecologistes:contrarien:1055,13,10.901,8
ecologistes:contrarien:1055,14,10.154,8
ecologistes:contrarien:1055,15,9.842,8
ecologistes:contrarien:1055,16,11,8
ecologistes:contrarien:1055,17,9.601,8
ecologistes:contrarien:1055,18,9.602,8
ecologistes:contrarien:1055,19,9.621,8
ecologistes:contrarien:1055,20,8.1,8
ecologistes:contrarien:1055,21,9.673,8
ecologistes:contrarien:1055,22,9.263,8
ecologistes:contrarien:1055,23,9.107,8
ecologistes:contrarien:1055,24,9.175,8
ecologistes:contrarien:1055,25,9.185,8
ecologistes:opportuniste_electoral:0,1,10.514,8
ecologistes:opportuniste_electoral:0,2,10.731,8
ecologistes:opportuniste_electoral:0,3,11.337,5
ecologistes:opportuniste_electoral:0,4,7.9,8
ecologistes:opportuniste_electoral:0,5,11.942,3
ecologistes:opportuniste_electoral:0,6,12.111,2
ecologistes:opportuniste_electoral:0,7,12.216,2
ecologistes:opportuniste_electoral:0,8,12.3,2
ecologistes:opportuniste_electoral:0,9,12.199,2
ecologistes:opportuniste_electoral:0,10,12.194,2
ecologistes:opportuniste_electoral:0,11,12.379,2
ecologistes:opportuniste_electoral:0,12,9.4,8
ecologistes:opportuniste_electoral:0,13,12.386,2
ecologistes:opportuniste_electoral:0,14,12.701,2
ecologistes:opportuniste_electoral:0,15,12.803,2
ecologistes:opportuniste_electoral:0,16,11,8
ecologistes:opportuniste_electoral:0,17,13.055,1
ecologistes:opportuniste_electoral:0,18,12.511,1
ecologistes:opportuniste_electoral:0,19,12.472,1
ecologistes:opportuniste_electoral:0,20,9.4,8
ecologistes:opportuniste_electoral:0,21,12.345,1
ecologistes:opportuniste_electoral:0,22,12.806,1
ecologistes:opportuniste_electoral:0,23,13.214,1
ecologistes:opportuniste_electoral:0,24,13.593,1
ecologistes:opportuniste_electoral:0,25,13.808,1
ecologistes:opportuniste_electoral:0,26,14.159,1
ecologistes:opportuniste_electoral:0,27,14.351,1
ecologistes:opportuniste_electoral:0,28,10.8,3
ecologistes:opportuniste_electoral:0,29,14.177,1
ecologistes:opportuniste_electoral:0,30,14.13,1
ecologistes:opportuniste_electoral:0,31,14.213,1
ecologistes:risque:0,1,10.514,8
ecologistes:risque:0,2,10.731,8
ecologistes:risque:0,3,11.337,5
ecologistes:risque:0,4,7.9,8
ecologistes:risque:0,5,11.817,3
ecologistes:risque:0,6,12.024,2
ecologistes:risque:0,7,12.142,2
ecologistes:risque:0,8,12.2,2
ecologistes:risque:0,9,12.417,2
ecologistes:risque:0,10,12.525,2
ecologistes:risque:0,11,12.748,2
ecologistes:risque:0,12,9.8,8
ecologistes:risque:0,13,13.048,1
ecologistes:risque:0,14,13.383,1
ecologistes:risque:0,15,13.492,1
ecologistes:risque:0,16,11.7,3
ecologistes:risque:0,17,13.859,1
ecologistes:risque:0,18,13.329,1
ecologistes:risque:0,19,13.078,1
ecologistes:risque:0,20,10.4,4
ecologistes:risque:0,21,13.435,1
ecologistes:risque:0,22,13.743,1
ecologistes:risque:0,23,13.859,1
ecologistes:risque:0,24,14.207,1
ecologistes:risque:0,25,14.338,1
ecologistes:risque:0,26,13.796,1
ecologistes:risque:0,27,13.805,1
ecologistes:risque:0,28,10.9,2
ecologistes:risque:0,29,14.45,1
ecologistes:risque:0,30,14.408,1
ecologistes:risque:0,31,14.5,1
horizons:contrarien:0,1,12.917,2
horizons:contrarien:0,2,13.1,2
horizons:contrarien:0,3,13.202,1
horizons:contrarien:0,4,10.4,7
horizons:contrarien:0,5,13.078,2
horizons:contrarien:0,6,13.174,2
horizons:contrarien:0,7,12.527,2
horizons:contrarien:0,8,10.2,8
horizons:contrarien:0,9,12.473,2
horizons:contrarien:0,10,12.507,2
horizons:contrarien:0,11,12.481,2
horizons:contrarien:0,12,15.4,1
horizons:contrarien:0,13,12.592,2
horizons:contrarien:0,14,12.49,2
horizons:contrarien:0,15,11.743,4
horizons:contrarien:0,16,10.1,8
horizons:contrarien:0,17,11.66,4
horizons:contrarien:0,18,11.719,4
horizons:contrarien:0,19,11.829,4
horizons:contrarien:0,20,11.1,5
horizons:contrarien:0,21,11.749,4
horizons:contrarien:0,22,11.344,4
horizons:contrarien:0,23,10.398,7
horizons:contrarien:0,24,9.983,8
horizons:contrarien:0,25,9.975,8
lfi:aleatoire:0,1,11.614,5
lfi:aleatoire:0,2,11.602,5
lfi:aleatoire:0,3,11.515,5
lfi:aleatoire:0,4,11.5,5
lfi:aleatoire:0,5,11.581,5
lfi:aleatoire:0,6,11.716,5
lfi:aleatoire:0,7,11.824,4
lfi:aleatoire:0,8,15.7,1
lfi:aleatoire:0,9,12.295,2
lfi:aleatoire:0,10,12.589,2
lfi:aleatoire:0,11,12.696,2
lfi:aleatoire:0,12,14.7,1
lfi:aleatoire:0,13,12.986,1
lfi:aleatoire:0,14,13.072,1
lfi:aleatoire:0,15,13.024,1
lfi:aleatoire:0,16,16.7,1
lfi:aleatoire:0,17,13.092,1
lfi:aleatoire:0,18,13.436,1
lfi:aleatoire:0,19,13.648,1
lfi:aleatoire:0,20,14.7,1
lfi:aleatoire:0,21,14.194,1
lfi:aleatoire:0,22,14.285,1
lfi:aleatoire:0,23,13.62,1
lfi:aleatoire:0,24,13.501,1
lfi:aleatoire:0,25,13.653,1
lfi:aleatoire:0,26,13.947,1
lfi:aleatoire:0,27,14.14,1
lfi:aleatoire:0,28,11.8,3
lfi:aleatoire:0,29,14.437,1
lfi:aleatoire:0,30,14.407,1
lfi:aleatoire:0,31,14.437,1
lfi:aleatoire:1,1,12.028,3
