runKey,decisionIndex,date,playerPolling,playerRank,playerTrend
lfi:aleatoire:0,1,2026-04-18,11.614,5,-2.09
lfi:aleatoire:0,2,2026-05-02,11.602,5,-0.01
lfi:aleatoire:0,3,2026-05-16,11.515,5,-0.09
lfi:aleatoire:0,4,2026-06-03,11.5,5,-0.02
lfi:aleatoire:0,5,2026-06-15,11.581,5,0.08
lfi:aleatoire:0,6,2026-07-01,11.716,5,0.13
lfi:aleatoire:0,7,2026-07-14,11.824,4,0.11
lfi:aleatoire:0,8,2026-07-27,15.7,1,3.88
lfi:aleatoire:0,9,2026-08-11,12.295,2,-3.4
lfi:aleatoire:0,10,2026-08-24,12.589,2,0.29
lfi:aleatoire:0,11,2026-09-06,12.696,2,0.11
lfi:aleatoire:0,12,2026-09-24,14.7,1,2
lfi:aleatoire:0,13,2026-10-12,12.986,1,-1.71
lfi:aleatoire:0,14,2026-10-27,13.072,1,0.09
lfi:aleatoire:0,15,2026-11-11,13.024,1,-0.05
lfi:aleatoire:0,16,2026-11-25,16.7,1,3.68
lfi:aleatoire:0,17,2026-12-11,13.092,1,-3.61
lfi:aleatoire:0,18,2027-01-01,13.436,1,0.34
lfi:aleatoire:0,19,2027-01-17,13.648,1,0.21
lfi:aleatoire:0,20,2027-02-02,14.7,1,1.05
lfi:aleatoire:0,21,2027-02-23,14.194,1,-0.51
lfi:aleatoire:0,22,2027-03-16,14.285,1,0.09
lfi:aleatoire:0,23,2027-03-31,13.62,1,-0.67
lfi:aleatoire:0,24,2027-04-17,13.501,1,-0.12
lfi:aleatoire:0,25,2027-04-18,13.653,1,0.15
lfi:aleatoire:0,26,2027-04-20,13.947,1,0.29
lfi:aleatoire:0,27,2027-04-22,14.14,1,0.19
lfi:aleatoire:0,28,2027-04-24,11.8,3,-2.34
lfi:aleatoire:0,29,2027-04-26,14.437,1,2.64
lfi:aleatoire:0,30,2027-05-02,14.407,1,-0.03
lfi:aleatoire:0,31,2027-05-03,14.437,1,0.03
lfi:aleatoire:1,1,2026-04-18,12.028,3,2.53
lfi:aleatoire:1,2,2026-04-30,12.265,3,0.24
lfi:aleatoire:1,3,2026-05-18,12.531,2,0.27
lfi:aleatoire:1,4,2026-06-03,13.1,1,0.57
lfi:aleatoire:1,5,2026-06-20,12.875,2,-0.22
lfi:aleatoire:1,6,2026-07-02,12.914,2,0.04
lfi:aleatoire:1,7,2026-07-18,12.987,2,0.07
lfi:aleatoire:1,8,2026-08-03,13.9,1,0.91
lfi:aleatoire:1,9,2026-08-16,13.312,1,-0.59
lfi:aleatoire:1,10,2026-08-30,13.316,1,0
lfi:aleatoire:1,11,2026-09-13,13.476,1,0.16
lfi:aleatoire:1,12,2026-09-29,11,5,-2.48
lfi:aleatoire:1,13,2026-10-13,13.816,1,2.82
lfi:aleatoire:1,14,2026-11-02,13.922,1,0.11
lfi:aleatoire:1,15,2026-11-20,14.127,1,0.21
lfi:aleatoire:1,16,2026-12-07,11.6,3,-2.53
lfi:aleatoire:1,17,2026-12-20,14.524,1,2.92
lfi:aleatoire:1,18,2027-01-08,14.464,1,-0.06
lfi:aleatoire:1,19,2027-01-26,14.397,1,-0.07
lfi:aleatoire:1,20,2027-02-12,11.2,3,-3.2
lfi:aleatoire:1,21,2027-03-02,14.618,1,3.42
lfi:aleatoire:1,22,2027-03-15,14.567,1,-0.05
lfi:aleatoire:1,23,2027-03-30,14.604,1,0.04
lfi:aleatoire:1,24,2027-04-17,14.816,1,0.21
lfi:aleatoire:1,25,2027-04-18,14.891,1,0.07
lfi:aleatoire:1,26,2027-04-20,14.915,1,0.02
lfi:aleatoire:1,27,2027-04-22,15.034,1,0.12
lfi:aleatoire:1,28,2027-04-24,16.5,1,1.47
lfi:aleatoire:1,29,2027-04-26,15.212,1,-1.29
lfi:aleatoire:1,30,2027-05-02,14.975,1,-0.24
lfi:aleatoire:1,31,2027-05-03,15.007,1,0.03
lfi:aleatoire:2,1,2026-04-18,11.63,5,2.73
lfi:aleatoire:2,2,2026-05-03,11.678,5,0.05
lfi:aleatoire:2,3,2026-05-16,11.727,5,0.05
lfi:aleatoire:2,4,2026-06-01,12,3,0.27
lfi:aleatoire:2,5,2026-06-20,12.17,3,0.17
lfi:aleatoire:2,6,2026-07-06,12.353,2,0.18
lfi:aleatoire:2,7,2026-07-23,12.316,2,-0.04
lfi:aleatoire:2,8,2026-08-08,12,4,-0.32
lfi:aleatoire:2,9,2026-08-23,12.466,2,0.47
lfi:aleatoire:2,10,2026-09-09,12.443,2,-0.02
lfi:aleatoire:2,11,2026-09-25,12.428,2,-0.01
lfi:aleatoire:2,12,2026-10-07,12.2,2,-0.23
lfi:aleatoire:2,13,2026-10-20,12.543,2,0.34
lfi:aleatoire:2,14,2026-11-06,12.682,2,0.14
lfi:aleatoire:2,15,2026-11-25,12.739,2,0.06
lfi:aleatoire:2,16,2026-12-13,13.8,1,1.06
lfi:aleatoire:2,17,2026-12-29,13.087,1,-0.71
lfi:aleatoire:2,18,2027-01-16,12.941,2,-0.15
lfi:aleatoire:2,19,2027-02-01,12.872,2,-0.07
lfi:aleatoire:2,20,2027-02-18,11.5,3,-1.37
lfi:aleatoire:2,21,2027-03-02,12.971,2,1.47
lfi:aleatoire:2,22,2027-03-18,13.012,2,0.04
lfi:aleatoire:2,23,2027-04-05,13.179,2,0.17
lfi:aleatoire:2,24,2027-04-17,13.263,1,0.08
lfi:aleatoire:2,25,2027-04-18,13.501,1,0.24
lfi:aleatoire:2,26,2027-04-20,13.475,1,-0.03
lfi:aleatoire:2,27,2027-04-22,13.57,1,0.1
lfi:aleatoire:2,28,2027-04-24,12.3,3,-1.27
lfi:aleatoire:2,29,2027-04-26,14.346,1,2.05
lfi:aleatoire:3,1,2026-04-18,11.574,4,0.97
lfi:aleatoire:3,2,2026-05-04,11.627,4,0.05
lfi:aleatoire:3,3,2026-05-17,11.768,4,0.14
lfi:aleatoire:3,4,2026-05-31,11.5,5,-0.27
lfi:aleatoire:3,5,2026-06-16,11.767,3,0.27
lfi:aleatoire:3,6,2026-07-02,12.029,3,0.26
lfi:aleatoire:3,7,2026-07-15,12.351,3,0.32
lfi:aleatoire:3,8,2026-07-31,10.2,8,-2.15
lfi:aleatoire:3,9,2026-08-15,12.339,2,2.14
lfi:aleatoire:3,10,2026-08-28,12.404,2,0.06
lfi:aleatoire:3,11,2026-09-11,12.631,2,0.23
lfi:aleatoire:3,12,2026-09-27,12.2,2,-0.43
lfi:aleatoire:3,13,2026-10-11,12.937,1,0.74
lfi:aleatoire:3,14,2026-10-30,12.887,2,-0.05
lfi:aleatoire:3,15,2026-11-16,12.971,1,0.08
lfi:aleatoire:3,16,2026-12-01,15.9,1,2.93
lfi:aleatoire:3,17,2026-12-19,13.435,1,-2.46
lfi:aleatoire:3,18,2027-01-05,13.869,1,0.43
lfi:aleatoire:3,19,2027-01-25,14.104,1,0.23
lfi:aleatoire:3,20,2027-02-13,12.3,2,-1.8
lfi:aleatoire:3,21,2027-03-03,14.479,1,2.18
lfi:aleatoire:3,22,2027-03-17,14.554,1,0.08
lfi:aleatoire:3,23,2027-04-02,14.694,1,0.14
lfi:aleatoire:3,24,2027-04-17,14.863,1,0.17
lfi:aleatoire:3,25,2027-04-18,14.998,1,0.13
lfi:aleatoire:3,26,2027-04-20,14.976,1,-0.02
lfi:aleatoire:3,27,2027-04-22,15.014,1,0.04
lfi:aleatoire:3,28,2027-04-24,19.7,1,4.69
lfi:aleatoire:3,29,2027-04-26,15.252,1,-4.45
lfi:prudent:0,1,2026-04-18,11.83,3,-1.87
lfi:prudent:0,2,2026-05-02,12.068,3,0.24
lfi:prudent:0,3,2026-05-16,12.436,2,0.37
lfi:prudent:0,4,2026-06-03,12.3,2,-0.14
lfi:prudent:0,5,2026-06-15,12.959,1,0.66
lfi:prudent:0,6,2026-07-01,13.169,1,0.21
lfi:prudent:0,7,2026-07-14,13.398,1,0.23
lfi:prudent:0,8,2026-07-27,16.5,1,3.1
lfi:prudent:0,9,2026-08-11,12.861,1,-3.64
lfi:prudent:0,10,2026-08-24,13.259,1,0.4
lfi:prudent:0,11,2026-09-06,13.394,1,0.13
lfi:prudent:0,12,2026-09-24,15.5,1,2.11
lfi:prudent:0,13,2026-10-12,13.565,1,-1.94
lfi:prudent:0,14,2026-10-27,13.624,1,0.06
lfi:prudent:0,15,2026-11-11,13.728,1,0.1
lfi:prudent:0,16,2026-11-25,17.5,1,3.77
lfi:prudent:0,17,2026-12-11,13.916,1,-3.58
lfi:prudent:0,18,2027-01-01,14.162,1,0.25
lfi:prudent:0,19,2027-01-17,14.416,1,0.25
lfi:prudent:0,20,2027-02-02,15.4,1,0.98
lfi:prudent:0,21,2027-02-23,14.691,1,-0.71
lfi:prudent:0,22,2027-03-16,14.671,1,-0.02
lfi:prudent:0,23,2027-03-31,14.827,1,0.16
lfi:prudent:0,24,2027-04-17,14.943,1,0.12
lfi:prudent:0,25,2027-04-18,15.034,1,0.09
lfi:prudent:0,26,2027-04-20,15.242,1,0.21
lfi:prudent:0,27,2027-04-22,15.386,1,0.14
lfi:prudent:0,28,2027-04-24,13,1,-2.39
lfi:prudent:0,29,2027-04-26,15.504,1,2.5
lfi:prudent:0,30,2027-05-02,15.289,1,-0.21
lfi:prudent:0,31,2027-05-03,15.221,1,-0.07
lfi:prudent:1,1,2026-04-18,12.028,3,2.53
lfi:prudent:1,2,2026-04-30,12.347,3,0.32
lfi:prudent:1,3,2026-05-18,12.648,2,0.3
lfi:prudent:1,4,2026-06-03,13.2,1,0.55
lfi:prudent:1,5,2026-06-20,12.925,2,-0.27
lfi:prudent:1,6,2026-07-02,12.969,2,0.04
lfi:prudent:1,7,2026-07-18,13.191,1,0.22
lfi:prudent:1,8,2026-08-03,14.1,1,0.91
lfi:prudent:1,9,2026-08-16,13.485,1,-0.62
lfi:prudent:1,10,2026-08-30,13.682,1,0.2
lfi:prudent:1,11,2026-09-13,13.818,1,0.14
lfi:prudent:1,12,2026-09-29,11.3,4,-2.52
lfi:prudent:1,13,2026-10-13,14.146,1,2.85
lfi:prudent:1,14,2026-11-02,14.406,1,0.26
lfi:prudent:1,15,2026-11-20,14.654,1,0.25
lfi:prudent:1,16,2026-12-07,12.2,2,-2.45
lfi:prudent:1,17,2026-12-20,15.079,1,2.88
lfi:prudent:1,18,2027-01-08,15.368,1,0.29
lfi:prudent:1,19,2027-01-26,15.642,1,0.27
lfi:prudent:1,20,2027-02-12,12.5,2,-3.14
lfi:prudent:1,21,2027-03-02,15.988,1,3.49
lfi:prudent:1,22,2027-03-15,16.133,1,0.14
lfi:prudent:1,23,2027-03-30,16.246,1,0.11
lfi:prudent:1,24,2027-04-17,16.313,1,0.07
lfi:prudent:1,25,2027-04-18,16.375,1,0.06
lfi:prudent:1,26,2027-04-20,16.479,1,0.1
lfi:prudent:1,27,2027-04-22,16.574,1,0.1
lfi:prudent:1,28,2027-04-24,14.2,1,-2.37
lfi:prudent:1,29,2027-04-26,16.6,1,2.4
lfi:prudent:1,30,2027-05-02,16.317,1,-0.28
lfi:prudent:1,31,2027-05-03,16.277,1,-0.04
lfi:prudent:2,1,2026-04-18,11.821,3,2.92
lfi:prudent:2,2,2026-05-03,12.024,3,0.2
lfi:prudent:2,3,2026-05-16,11.979,3,-0.04
lfi:prudent:2,4,2026-06-01,12.2,3,0.22
lfi:prudent:2,5,2026-06-20,12.484,2,0.28
lfi:prudent:2,6,2026-07-06,12.678,2,0.19
lfi:prudent:2,7,2026-07-23,12.774,1,0.1
