partyProfile,pairsCompared,meanEventJaccard,medianEventJaccard,minEventJaccard,maxEventJaccard
libertarien,66,0.328,0.22,0.064,1
contradictory_hybrid,66,0.311,0.216,0.091,1
extreme_droite,66,0.296,0.2,0.077,1
centrist_technocratic,66,0.288,0.2,0.087,1
coherent_left_green,66,0.282,0.163,0.087,1
extreme_gauche,66,0.281,0.17,0.087,1
rn,496,0.277,0.208,0.074,1
lr,496,0.261,0.192,0.057,1
nouvelle_energie,496,0.26,0.192,0.037,1
ecologiste_radical,66,0.259,0.2,0.057,0.824
horizons,496,0.25,0.176,0.057,1
reconquete,496,0.241,0.167,0.059,1
souverainiste,66,0.238,0.192,0.037,0.771
ps,528,0.236,0.16,0.037,1
lfi,496,0.232,0.176,0.037,1
renaissance,496,0.222,0.143,0.037,1
ecologistes,528,0.218,0.149,0.038,1
coherent_conservative,66,0.211,0.12,0.037,0.852
