runKey,partyId,partyProfile,partyKind,agent,seedIndex,seed,methodId,decisions,phaseAtEnd,qualified,won,endingId,finalScore,firstRoundScore,secondRoundScore,progressionNormalized,startingPolling,playerRank,rivalPartyId,achievementsCount,alliancesFormed,candidateReplacements,actorMemoryEntries,statementCount,contradictionCount,narrativeThreadsStarted,narrativeThreadsResolved,narrativeThreadsFailed,ideologyMovementTotal,rareEventEncountered,secondRoundReached,hasChainEvent,hasOpponentConflict,isComeback,isCollapse,resultCategory,bestDecisionIndex,costliestDecisionIndex
lfi:aleatoire:0,lfi,lfi,existing,aleatoire,0,gameplay-audit-0,field_first,31,finished,true,true,president,75,14.3,50.6,0.087,13.7,2,rn,17,0,1,2,8,0,0,0,0,13.4,false,true,false,true,false,false,victoire_serree,18,29
lfi:aleatoire:1,lfi,lfi,existing,aleatoire,1,gameplay-audit-1,presidential,31,finished,true,true,president,82,17,51.5,0.267,9.5,1,rn,16,0,0,2,6,0,2,1,0,9.3,true,true,true,true,false,false,victoire_serree,3,
lfi:aleatoire:2,lfi,lfi,existing,aleatoire,2,gameplay-audit-2,rupture,29,finished,true,false,runoff_defeat,72,14.5,46.4,0.107,8.9,1,nouvelle_energie,12,2,0,3,10,0,0,0,0,15.1,false,true,false,true,false,false,defaite_serree,16,20
lfi:aleatoire:3,lfi,lfi,existing,aleatoire,3,gameplay-audit-3,digital,29,finished,true,false,runoff_defeat,69,13.8,46.3,0.047,10.6,1,lr,15,1,1,2,7,0,1,1,0,16.6,false,true,true,true,false,false,defaite_serree,11,14
lfi:prudent:0,lfi,lfi,existing,prudent,0,gameplay-audit-0,field_first,31,finished,true,true,president,79,15.9,52.4,0.193,13.7,2,rn,17,1,1,0,9,0,0,0,0,13.8,true,true,false,true,false,false,victoire_serree,1,8
lfi:prudent:1,lfi,lfi,existing,prudent,1,gameplay-audit-1,presidential,31,finished,true,true,president,86,18.4,50,0.318,9.5,1,rn,19,0,0,3,10,0,2,0,0,18.5,true,true,true,true,true,false,remontee_spectaculaire,3,6
lfi:prudent:2,lfi,lfi,existing,prudent,2,gameplay-audit-2,rupture,29,finished,true,false,runoff_defeat,72,16.1,45.4,0.182,8.9,1,nouvelle_energie,12,0,0,2,8,0,1,0,0,15,false,true,true,true,false,false,defaite_lourde,1,16
lfi:prudent:3,lfi,lfi,existing,prudent,3,gameplay-audit-3,digital,29,finished,true,false,runoff_defeat,69,14.3,47.7,0.087,10.6,1,lr,13,1,1,2,5,0,1,1,0,9.9,false,true,true,true,false,false,defaite_serree,11,
lfi:risque:0,lfi,lfi,existing,risque,0,gameplay-audit-0,field_first,31,finished,true,true,president,80,16.6,53.8,0.24,13.7,2,rn,20,2,1,3,12,1,0,0,0,27,true,true,false,true,false,false,victoire_serree,1,8
lfi:risque:1,lfi,lfi,existing,risque,1,gameplay-audit-1,presidential,31,finished,true,true,president,85,18,50.2,0.333,9.5,1,rn,20,2,0,1,12,0,2,1,0,26.5,true,true,true,true,true,false,remontee_spectaculaire,3,24
lfi:risque:2,lfi,lfi,existing,risque,2,gameplay-audit-2,rupture,25,finished,false,false,retirement,58,13.7,,0.041,8.9,3,rn,12,1,0,6,7,0,3,2,0,15.7,false,false,true,true,false,false,elimination_precoce,1,16
lfi:risque:3,lfi,lfi,existing,risque,3,gameplay-audit-3,digital,31,finished,true,true,president,76,13.6,51.3,0.035,10.6,2,lr,22,2,1,2,8,0,1,1,0,19.3,false,true,true,true,false,false,victoire_serree,11,17
lfi:ideologiquement_coherent:0,lfi,lfi,existing,ideologiquement_coherent,0,gameplay-audit-0,field_first,31,finished,true,true,president,83,17.5,53.2,0.3,13.7,1,rn,16,0,1,1,12,0,0,0,0,11.2,true,true,false,true,false,false,victoire_serree,16,29
lfi:ideologiquement_coherent:1,lfi,lfi,existing,ideologiquement_coherent,1,gameplay-audit-1,presidential,31,finished,true,true,president,83,17.4,51.9,0.259,9.5,1,rn,16,0,0,1,11,0,1,1,0,12.6,true,true,true,true,false,false,victoire_serree,3,17
