runKey,partyId,agent,seedIndex,axis,startTrue,endTrue,startPerceived,endPerceived,deltaTrue,deltaPerceived
lfi:aleatoire:0,lfi,aleatoire,0,economy,-78,-67.58055949999999,-78,-48.23017,10.419440500000007,29.76983
lfi:aleatoire:0,lfi,aleatoire,0,society,-58,-58,-58,-58,0,0
lfi:aleatoire:0,lfi,aleatoire,0,europe,-48,-46.6,-48,-44,1.3999999999999986,4
lfi:aleatoire:0,lfi,aleatoire,0,ecology,66,63.34,66,58.4,-2.6599999999999966,-7.600000000000001
lfi:aleatoire:0,lfi,aleatoire,0,authority,-54,-54,-54,-54,0,0
lfi:aleatoire:0,lfi,aleatoire,0,immigration,-38,-36.495,-38,-33.7,1.5050000000000026,4.299999999999997
lfi:aleatoire:1,lfi,aleatoire,1,economy,-78,-71.009905,-78,-58.0283,6.990094999999997,19.9717
lfi:aleatoire:1,lfi,aleatoire,1,society,-58,-58,-58,-58,0,0
lfi:aleatoire:1,lfi,aleatoire,1,europe,-48,-46.6,-48,-44,1.3999999999999986,4
lfi:aleatoire:1,lfi,aleatoire,1,ecology,66,66,66,66,0,0
lfi:aleatoire:1,lfi,aleatoire,1,authority,-54,-46.384,-54,-32.24,7.616,21.759999999999998
lfi:aleatoire:1,lfi,aleatoire,1,immigration,-38,-36.495,-38,-33.7,1.5050000000000026,4.299999999999997
lfi:aleatoire:2,lfi,aleatoire,2,economy,-78,-59.82333554999999,-78,-26.066672999999998,18.17666445000001,51.933327000000006
lfi:aleatoire:2,lfi,aleatoire,2,society,-58,-58,-58,-58,0,0
lfi:aleatoire:2,lfi,aleatoire,2,europe,-48,-43.37299999999999,-48,-34.78,4.6270000000000095,13.219999999999999
lfi:aleatoire:2,lfi,aleatoire,2,ecology,66,63.865,66,59.9,-2.134999999999998,-6.100000000000001
lfi:aleatoire:2,lfi,aleatoire,2,authority,-54,-55.89000000000001,-54,-59.4,-1.8900000000000077,-5.399999999999999
lfi:aleatoire:2,lfi,aleatoire,2,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:3,lfi,aleatoire,3,economy,-78,-75.795,-78,-71.7,2.2049999999999983,6.299999999999997
lfi:aleatoire:3,lfi,aleatoire,3,society,-58,-58,-58,-58,0,0
lfi:aleatoire:3,lfi,aleatoire,3,europe,-48,-48,-48,-48,0,0
lfi:aleatoire:3,lfi,aleatoire,3,ecology,66,62.101000000000006,66,54.86,-3.898999999999994,-11.14
lfi:aleatoire:3,lfi,aleatoire,3,authority,-54,-55.434999999999995,-54,-58.1,-1.4349999999999952,-4.100000000000001
lfi:aleatoire:3,lfi,aleatoire,3,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:4,lfi,aleatoire,4,economy,-78,-76.46175,-78,-73.605,1.538250000000005,4.394999999999996
lfi:aleatoire:4,lfi,aleatoire,4,society,-58,-58.7,-58,-60,-0.7000000000000028,-2
lfi:aleatoire:4,lfi,aleatoire,4,europe,-48,-49.295,-48,-51.7,-1.2950000000000017,-3.700000000000003
lfi:aleatoire:4,lfi,aleatoire,4,ecology,66,63.865,66,59.9,-2.134999999999998,-6.100000000000001
lfi:aleatoire:4,lfi,aleatoire,4,authority,-54,-54.035,-54,-54.1,-0.03499999999999659,-0.10000000000000142
lfi:aleatoire:4,lfi,aleatoire,4,immigration,-38,-40.345,-38,-44.7,-2.344999999999999,-6.700000000000003
lfi:aleatoire:5,lfi,aleatoire,5,economy,-78,-66.78032989500002,-78,-45.94379969999999,11.219670104999977,32.05620030000001
lfi:aleatoire:5,lfi,aleatoire,5,society,-58,-58,-58,-58,0,0
lfi:aleatoire:5,lfi,aleatoire,5,europe,-48,-48,-48,-48,0,0
lfi:aleatoire:5,lfi,aleatoire,5,ecology,66,66,66,66,0,0
lfi:aleatoire:5,lfi,aleatoire,5,authority,-54,-55.12,-54,-57.2,-1.1199999999999974,-3.200000000000003
lfi:aleatoire:5,lfi,aleatoire,5,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:6,lfi,aleatoire,6,economy,-78,-59.279551049999995,-78,-24.513003000000005,18.720448950000005,53.486996999999995
lfi:aleatoire:6,lfi,aleatoire,6,society,-58,-57.195,-58,-55.7,0.8049999999999997,2.299999999999997
lfi:aleatoire:6,lfi,aleatoire,6,europe,-48,-48,-48,-48,0,0
lfi:aleatoire:6,lfi,aleatoire,6,ecology,66,63.865,66,59.9,-2.134999999999998,-6.100000000000001
lfi:aleatoire:6,lfi,aleatoire,6,authority,-54,-54.49,-54,-55.4,-0.490000000000002,-1.3999999999999986
lfi:aleatoire:6,lfi,aleatoire,6,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:7,lfi,aleatoire,7,economy,-78,-74.01506450000001,-78,-66.61447000000001,3.9849354999999917,11.385529999999989
lfi:aleatoire:7,lfi,aleatoire,7,society,-58,-58.7,-58,-60,-0.7000000000000028,-2
lfi:aleatoire:7,lfi,aleatoire,7,europe,-48,-48,-48,-48,0,0
lfi:aleatoire:7,lfi,aleatoire,7,ecology,66,63.515,66,58.9,-2.4849999999999994,-7.100000000000001
lfi:aleatoire:7,lfi,aleatoire,7,authority,-54,-53.0515,-54,-51.29,0.9485000000000028,2.710000000000001
lfi:aleatoire:7,lfi,aleatoire,7,immigration,-38,-40.345,-38,-44.7,-2.344999999999999,-6.700000000000003
lfi:aleatoire:8,lfi,aleatoire,8,economy,-78,-64.859355,-78,-40.4553,13.140645000000006,37.5447
lfi:aleatoire:8,lfi,aleatoire,8,society,-58,-58,-58,-58,0,0
lfi:aleatoire:8,lfi,aleatoire,8,europe,-48,-41.419999999999995,-48,-29.200000000000003,6.580000000000005,18.799999999999997
lfi:aleatoire:8,lfi,aleatoire,8,ecology,66,62.101000000000006,66,54.86,-3.898999999999994,-11.14
lfi:aleatoire:8,lfi,aleatoire,8,authority,-54,-55.89000000000001,-54,-59.4,-1.8900000000000077,-5.399999999999999
lfi:aleatoire:8,lfi,aleatoire,8,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:9,lfi,aleatoire,9,economy,-78,-68.0978945,-78,-49.70827,9.902105500000005,28.29173
lfi:aleatoire:9,lfi,aleatoire,9,society,-58,-58.7,-58,-60,-0.7000000000000028,-2
lfi:aleatoire:9,lfi,aleatoire,9,europe,-48,-42.84799999999999,-48,-33.28,5.152000000000008,14.719999999999999
lfi:aleatoire:9,lfi,aleatoire,9,ecology,66,64.215,66,60.9,-1.7849999999999966,-5.100000000000001
lfi:aleatoire:9,lfi,aleatoire,9,authority,-54,-53.104000000000006,-54,-51.44,0.8959999999999937,2.5600000000000023
lfi:aleatoire:9,lfi,aleatoire,9,immigration,-38,-40.345,-38,-44.7,-2.344999999999999,-6.700000000000003
lfi:aleatoire:10,lfi,aleatoire,10,economy,-78,-68.97945,-78,-52.227000000000004,9.02055,25.772999999999996
lfi:aleatoire:10,lfi,aleatoire,10,society,-58,-57.195,-58,-55.7,0.8049999999999997,2.299999999999997
lfi:aleatoire:10,lfi,aleatoire,10,europe,-48,-48,-48,-48,0,0
lfi:aleatoire:10,lfi,aleatoire,10,ecology,66,66,66,66,0,0
lfi:aleatoire:10,lfi,aleatoire,10,authority,-54,-55.326499999999996,-54,-57.79,-1.3264999999999958,-3.789999999999999
lfi:aleatoire:10,lfi,aleatoire,10,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:11,lfi,aleatoire,11,economy,-78,-65.789950295,-78,-43.1141437,12.210049705000003,34.8858563
lfi:aleatoire:11,lfi,aleatoire,11,society,-58,-58,-58,-58,0,0
lfi:aleatoire:11,lfi,aleatoire,11,europe,-48,-40.4099,-48,-26.313999999999997,7.5901,21.686000000000003
lfi:aleatoire:11,lfi,aleatoire,11,ecology,66,61.94349999999999,66,54.41,-4.056500000000007,-11.590000000000003
lfi:aleatoire:11,lfi,aleatoire,11,authority,-54,-54.035,-54,-54.1,-0.03499999999999659,-0.10000000000000142
lfi:aleatoire:11,lfi,aleatoire,11,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:12,lfi,aleatoire,12,economy,-78,-74.26857999999999,-78,-67.3388,3.731420000000014,10.661199999999994
lfi:aleatoire:12,lfi,aleatoire,12,society,-58,-58,-58,-58,0,0
lfi:aleatoire:12,lfi,aleatoire,12,europe,-48,-48,-48,-48,0,0
lfi:aleatoire:12,lfi,aleatoire,12,ecology,66,66,66,66,0,0
lfi:aleatoire:12,lfi,aleatoire,12,authority,-54,-54,-54,-54,0,0
lfi:aleatoire:12,lfi,aleatoire,12,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:13,lfi,aleatoire,13,economy,-78,-69.36545450000001,-78,-53.32987,8.634545499999987,24.67013
lfi:aleatoire:13,lfi,aleatoire,13,society,-58,-56.32,-58,-53.2,1.6799999999999997,4.799999999999997
lfi:aleatoire:13,lfi,aleatoire,13,europe,-48,-51.395,-48,-57.7,-3.395000000000003,-9.700000000000003
lfi:aleatoire:13,lfi,aleatoire,13,ecology,66,62.101000000000006,66,54.86,-3.898999999999994,-11.14
lfi:aleatoire:13,lfi,aleatoire,13,authority,-54,-57.01,-54,-62.6,-3.009999999999998,-8.600000000000001
lfi:aleatoire:13,lfi,aleatoire,13,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:14,lfi,aleatoire,14,economy,-78,-74.7492,-78,-68.712,3.250799999999998,9.287999999999997
lfi:aleatoire:14,lfi,aleatoire,14,society,-58,-58,-58,-58,0,0
lfi:aleatoire:14,lfi,aleatoire,14,europe,-48,-44.658199999999994,-48,-38.452,3.3418000000000063,9.548000000000002
lfi:aleatoire:14,lfi,aleatoire,14,ecology,66,66,66,66,0,0
lfi:aleatoire:14,lfi,aleatoire,14,authority,-54,-57.01,-54,-62.6,-3.009999999999998,-8.600000000000001
lfi:aleatoire:14,lfi,aleatoire,14,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:15,lfi,aleatoire,15,economy,-78,-64.84651812,-78,-40.418623200000006,13.153481880000001,37.581376799999994
lfi:aleatoire:15,lfi,aleatoire,15,society,-58,-58.7,-58,-60,-0.7000000000000028,-2
lfi:aleatoire:15,lfi,aleatoire,15,europe,-48,-47.370000000000005,-48,-46.2,0.6299999999999955,1.7999999999999972
lfi:aleatoire:15,lfi,aleatoire,15,ecology,66,63.515,66,58.9,-2.4849999999999994,-7.100000000000001
lfi:aleatoire:15,lfi,aleatoire,15,authority,-54,-52.0855,-54,-48.53,1.9144999999999968,5.469999999999999
lfi:aleatoire:15,lfi,aleatoire,15,immigration,-38,-40.345,-38,-44.7,-2.344999999999999,-6.700000000000003
lfi:aleatoire:16,lfi,aleatoire,16,economy,-78,-72.26045499999998,-78,-61.6013,5.739545000000021,16.398699999999998
lfi:aleatoire:16,lfi,aleatoire,16,society,-58,-58,-58,-58,0,0
lfi:aleatoire:16,lfi,aleatoire,16,europe,-48,-43.47800000000001,-48,-35.08,4.521999999999991,12.920000000000002
lfi:aleatoire:16,lfi,aleatoire,16,ecology,66,62.80100000000001,66,56.86,-3.198999999999991,-9.14
lfi:aleatoire:16,lfi,aleatoire,16,authority,-54,-57.4265,-54,-63.78999999999999,-3.426499999999997,-9.789999999999992
lfi:aleatoire:16,lfi,aleatoire,16,immigration,-38,-32.995,-38,-23.7,5.005000000000003,14.3
lfi:aleatoire:17,lfi,aleatoire,17,economy,-78,-65.09923449999998,-78,-41.14067,12.90076550000002,36.85933
lfi:aleatoire:17,lfi,aleatoire,17,society,-58,-58,-58,-58,0,0
lfi:aleatoire:17,lfi,aleatoire,17,europe,-48,-51.405499999999996,-48,-57.730000000000004,-3.4054999999999964,-9.730000000000004
lfi:aleatoire:17,lfi,aleatoire,17,ecology,66,66,66,66,0,0
lfi:aleatoire:17,lfi,aleatoire,17,authority,-54,-53.335,-54,-52.1,0.6649999999999991,1.8999999999999986
lfi:aleatoire:17,lfi,aleatoire,17,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:18,lfi,aleatoire,18,economy,-78,-69.48000950000001,-78,-53.65717,8.519990499999992,24.34283
lfi:aleatoire:18,lfi,aleatoire,18,society,-58,-58,-58,-58,0,0
lfi:aleatoire:18,lfi,aleatoire,18,europe,-48,-46.92550000000001,-48,-44.93,1.0744999999999933,3.0700000000000003
lfi:aleatoire:18,lfi,aleatoire,18,ecology,66,63.69,66,59.4,-2.3100000000000023,-6.600000000000001
lfi:aleatoire:18,lfi,aleatoire,18,authority,-54,-56.205,-54,-60.3,-2.2049999999999983,-6.299999999999997
lfi:aleatoire:18,lfi,aleatoire,18,immigration,-38,-32.995,-38,-23.7,5.005000000000003,14.3
lfi:aleatoire:19,lfi,aleatoire,19,economy,-78,-69.38415499999998,-78,-53.383300000000006,8.615845000000022,24.616699999999994
lfi:aleatoire:19,lfi,aleatoire,19,society,-58,-58,-58,-58,0,0
lfi:aleatoire:19,lfi,aleatoire,19,europe,-48,-49.295,-48,-51.7,-1.2950000000000017,-3.700000000000003
lfi:aleatoire:19,lfi,aleatoire,19,ecology,66,60.288,66,49.68,-5.712000000000003,-16.32
lfi:aleatoire:19,lfi,aleatoire,19,authority,-54,-51.179,-54,-45.94,2.820999999999998,8.060000000000002
lfi:aleatoire:19,lfi,aleatoire,19,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:20,lfi,aleatoire,20,economy,-78,-70.832805,-78,-57.5223,7.167195000000007,20.4777
lfi:aleatoire:20,lfi,aleatoire,20,society,-58,-58,-58,-58,0,0
lfi:aleatoire:20,lfi,aleatoire,20,europe,-48,-41.686,-48,-29.959999999999997,6.314,18.040000000000003
lfi:aleatoire:20,lfi,aleatoire,20,ecology,66,62.136,66,54.96,-3.863999999999997,-11.04
lfi:aleatoire:20,lfi,aleatoire,20,authority,-54,-57.9865,-54,-65.39,-3.9864999999999995,-11.39
lfi:aleatoire:20,lfi,aleatoire,20,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:21,lfi,aleatoire,21,economy,-78,-66.443007,-78,-44.980019999999996,11.556993000000006,33.019980000000004
lfi:aleatoire:21,lfi,aleatoire,21,society,-58,-58,-58,-58,0,0
lfi:aleatoire:21,lfi,aleatoire,21,europe,-48,-47.370000000000005,-48,-46.2,0.6299999999999955,1.7999999999999972
lfi:aleatoire:21,lfi,aleatoire,21,ecology,66,62.29,66,55.4,-3.710000000000001,-10.600000000000001
lfi:aleatoire:21,lfi,aleatoire,21,authority,-54,-56.66,-54,-61.6,-2.6599999999999966,-7.600000000000001
lfi:aleatoire:21,lfi,aleatoire,21,immigration,-38,-37.370000000000005,-38,-36.2,0.6299999999999955,1.7999999999999972
lfi:aleatoire:22,lfi,aleatoire,22,economy,-78,-72.87495,-78,-63.357,5.125050000000002,14.643
lfi:aleatoire:22,lfi,aleatoire,22,society,-58,-58,-58,-58,0,0
lfi:aleatoire:22,lfi,aleatoire,22,europe,-48,-48.035,-48,-48.1,-0.03499999999999659,-0.10000000000000142
