partyA,partyB,duels,aWinRate,aAvgSecondRoundScore,aAvgRejection,bAvgRejection,avgIdeologyDistance
ecologistes,horizons,36,0.556,51.25,45.72,41.51,72.42
ecologistes,lfi,39,0.872,54.94,47.59,60.41,47.43
ecologistes,lr,36,0.75,51.66,43.08,61.49,101.42
ecologistes,nouvelle_energie,6,0.333,48.77,49.83,28.7,96.13
ecologistes,ps,69,0.536,51.01,45.17,71.46,21.19
ecologistes,renaissance,66,0.455,51.09,45.21,62.98,60.7
ecologistes,rn,77,0.974,57.15,44.97,87.2,116.65
horizons,ecologistes,4,1,57.58,48.25,39.6,74.3
horizons,lfi,36,1,57.09,54.28,60.49,83.36
horizons,lr,49,0.918,53.69,49.41,61.82,34.92
horizons,nouvelle_energie,15,0.667,51.34,53.93,29.2,30.37
horizons,ps,113,0.894,54.71,49.07,71.66,54.64
horizons,renaissance,71,0.901,55.61,50.28,62.73,19.04
horizons,rn,75,1,59.85,48.13,87.48,67.88
lfi,ecologistes,14,0.5,50.3,67.53,37.78,49.77
lfi,horizons,54,0.296,47.42,71.25,41.42,81.59
lfi,lr,55,0.4,49.15,68.3,61.65,97.94
lfi,nouvelle_energie,9,0.333,49.47,68.71,28.02,97.67
lfi,ps,117,0.556,50.75,69.14,71.82,42.61
lfi,renaissance,63,0.254,47.56,69.15,63.24,78.1
lfi,rn,102,0.902,55.08,69.42,87.4,98.78
lr,ecologistes,8,1,56.94,67.73,39.08,103.14
lr,horizons,41,0.415,49.73,70.54,41.18,32.52
lr,lfi,60,1,56.73,71.91,60.45,99.18
lr,nouvelle_energie,16,0.688,51.67,73.1,28.25,17.49
lr,ps,122,0.754,53.15,69.58,71.87,79.19
lr,renaissance,80,0.787,53.11,68.9,62.91,47.69
lr,rn,56,1,57.86,69.86,87.21,42.66
nouvelle_energie,ecologistes,9,1,55.16,39,38.34,97.75
nouvelle_energie,horizons,54,0.852,52.8,39.78,40.79,25.85
nouvelle_energie,lfi,20,1,58.02,36.85,60.45,97.7
nouvelle_energie,lr,32,0.906,53.29,40.16,61.77,11.26
nouvelle_energie,ps,92,0.913,56.11,38.23,72.06,77.05
nouvelle_energie,renaissance,47,0.936,53.79,39.74,62.81,41.51
nouvelle_energie,rn,42,0.976,59.02,38.79,87.08,50.71
ps,ecologistes,15,0.867,54.1,79.68,38.06,31.87
ps,horizons,68,0.75,51.6,79.24,41.46,58.08
ps,lfi,57,1,57.06,82.32,60.2,45.07
ps,lr,96,0.615,51.77,79.6,61.41,81.27
ps,nouvelle_energie,9,0.667,50.77,84.51,28.87,78.69
ps,renaissance,80,0.625,51.38,80.04,63.07,48.81
ps,rn,112,0.991,57.5,78.44,87.31,96.4
reconquete,horizons,3,0,42.73,85.61,41.6,73.05
reconquete,lfi,3,0.333,49.8,78.49,61.3,118.1
reconquete,lr,4,0.25,48.3,78.85,61.1,41.38
reconquete,nouvelle_energie,3,0,47.17,81.15,28.4,49.26
reconquete,ps,16,0.313,48.21,77.46,72.41,110.09
reconquete,renaissance,5,0.2,47.34,81.37,62.8,87.91
reconquete,rn,11,0.636,51.25,78.8,87.16,18.16
renaissance,ecologistes,4,1,62.63,68.45,38.65,68.12
renaissance,horizons,55,0.691,52.34,68.8,41.64,19.05
renaissance,lfi,47,1,58.07,68.77,60.01,81.19
renaissance,lr,51,0.804,52.91,64.43,61.62,49.27
renaissance,nouvelle_energie,36,0.611,51.81,68.98,29.21,46.11
renaissance,ps,106,0.774,53.8,66.64,71.6,46.35
renaissance,rn,80,1,58.7,66.22,87.06,81.71
rn,ecologistes,9,0.778,52.69,88.18,38.63,122.07
rn,horizons,48,0.458,48.58,87.13,41.39,69.85
rn,lfi,59,0.729,52.65,88.79,60.56,101.9
rn,lr,59,0.407,48.88,88.72,61.46,45.42
rn,nouvelle_energie,5,0.6,50.28,85.48,29.18,54.92
rn,ps,158,0.437,49.43,88.44,71.62,96.21
rn,renaissance,103,0.204,46.35,86.96,62.81,82.59
