partyA,partyB,duels,aWinRate,aAvgSecondRoundScore,aAvgRejection,bAvgRejection,avgIdeologyDistance
ecologistes,horizons,32,0.813,52.84,44.03,41.63,72.45
ecologistes,lfi,29,0.724,52.43,44.66,60.29,47.21
ecologistes,lr,17,0.765,50.98,44.41,61.82,101.6
ecologistes,nouvelle_energie,30,0.433,50.52,41.73,29.07,99.07
ecologistes,ps,39,0.564,50.94,44.41,71.52,21.75
ecologistes,renaissance,30,0.5,51.98,46.57,62.83,60.31
ecologistes,rn,108,0.907,54.73,43.19,86.99,117.48
horizons,ecologistes,14,1,57.77,47.64,38.66,73.97
horizons,lfi,37,0.973,54.39,50.62,60.11,82.59
horizons,lr,28,0.821,52.87,50.46,62.42,35.18
horizons,nouvelle_energie,24,0.5,50.53,51.88,29.22,30.42
horizons,ps,93,0.796,53.5,48.94,71.8,54.85
horizons,renaissance,33,0.697,54.45,50.52,63.03,19.05
horizons,rn,154,0.981,55.74,46.84,87.23,67.97
lfi,ecologistes,13,0.846,54.01,65.18,37.48,49.64
lfi,horizons,84,0.274,48.66,68.67,41.46,82.18
lfi,lr,17,0.588,51.52,68.56,62.01,97.43
lfi,nouvelle_energie,27,0.37,48.86,67.08,28.74,98.3
lfi,ps,84,0.476,50.01,68.77,71.79,42.99
lfi,renaissance,17,0.412,49.51,69.48,63.08,79.66
lfi,rn,142,0.754,53.55,68.44,86.94,98.87
lr,ecologistes,8,1,54.27,65.9,38.77,102.56
lr,horizons,49,0.49,50.37,67.79,41.13,33.23
lr,lfi,27,1,53.91,70.07,59.99,99.09
lr,nouvelle_energie,18,0.278,48.34,68.78,28.51,17.63
lr,ps,68,0.647,52.23,68.64,71.8,79.59
lr,renaissance,37,0.757,53.76,68.07,62.96,47.06
lr,rn,108,0.852,53.5,68.11,87.19,43.22
nouvelle_energie,ecologistes,6,0.667,51.4,40,38.27,99.07
nouvelle_energie,horizons,73,0.863,52.68,38.77,40.88,25.71
nouvelle_energie,lfi,29,1,54.95,38.28,60.05,97.94
nouvelle_energie,lr,10,0.9,52.76,39,62.26,12.65
nouvelle_energie,ps,64,0.75,53.56,37.66,71.81,77.8
nouvelle_energie,renaissance,39,0.846,52.82,38.9,62.78,41.78
nouvelle_energie,rn,127,0.969,55.54,37.31,87.19,50.62
ps,ecologistes,27,0.963,56.01,77.55,37.97,30.2
ps,horizons,70,0.743,52.04,78.85,41.28,58.01
ps,lfi,52,0.904,54.83,80.37,59.93,45.58
ps,lr,17,0.765,51.81,77.31,62.33,81.7
ps,nouvelle_energie,47,0.574,50.81,78.49,29.27,82.22
ps,renaissance,18,0.556,51.74,79.63,63.29,48.48
ps,rn,163,0.92,54.43,78.51,87.06,96.75
reconquete,horizons,10,0.1,46.28,81.24,41.18,73.86
reconquete,lfi,2,0,49.45,77.89,61.3,118.15
reconquete,nouvelle_energie,4,0.5,48.93,81.98,28.83,50.59
reconquete,ps,13,0.615,50.45,75.89,72.52,109.31
reconquete,renaissance,3,1,52.3,79.21,63.3,87.23
reconquete,rn,20,0.45,49.23,78.42,87.14,21.26
renaissance,ecologistes,10,1,55.98,64.78,38.86,65.92
renaissance,horizons,56,0.696,51.74,66.99,41.77,18.96
renaissance,lfi,34,0.912,54.42,66.42,59.73,80.91
renaissance,lr,16,0.938,53.34,63.19,62.24,49.66
renaissance,nouvelle_energie,37,0.432,50.56,67.95,29.21,46.79
renaissance,ps,55,0.836,54.58,64.54,71.57,46.99
renaissance,rn,116,0.897,54.14,64.88,87,82.02
rn,ecologistes,10,1,53.38,88.79,38.49,122.12
rn,horizons,103,0.427,49.25,87.04,41.22,69.69
rn,lfi,59,0.797,52.46,87.67,60.24,101.91
rn,lr,23,0.261,48.85,87.82,61.57,45.02
rn,nouvelle_energie,37,0.432,49.25,88.53,29.34,55.58
rn,ps,126,0.595,50.99,87.37,71.5,96.4
rn,renaissance,61,0.393,48.97,86.93,62.55,83.1
rn,rn_dissidence_15,2,1,55.1,90.83,91.12,8.15
rn,rn_dissidence_18,1,1,51.6,91.01,87.93,4.2
rn,rn_dissidence_20,2,1,58.3,81.66,86.24,4.79
