partyId,agent,seedIndex,sourcePartyId,share,abstentionRate,leftShare,rightShare
lfi,aleatoire,0,lfi,12.7,0.38735086720321565,0.3746561817051213,0.6253438182948787
lfi,aleatoire,0,ecologistes,7.5,0.3340538120233696,0.332240649400668,0.667759350599332
lfi,aleatoire,0,renaissance,11.4,0.41869544619197774,0.4323234246628409,0.5676765753371591
lfi,aleatoire,0,horizons,12.9,0.4508625158141757,0.46404844756244534,0.5359515524375547
lfi,aleatoire,0,lr,12.5,0.35357265660237985,0.5908705210085797,0.40912947899142027
lfi,aleatoire,0,reconquete,5.4,0.27382807153448613,0.6620622140328201,0.33793778596717994
lfi,aleatoire,0,nouvelle_energie,9.4,0.4391697076609171,0.5147931187016315,0.48520688129836853
lfi,aleatoire,1,ecologistes,6.8,0.2849538120233696,0.4530303179646843,0.5469696820353157
lfi,aleatoire,1,renaissance,9.3,0.4095954461919777,0.4717807187703188,0.5282192812296812
lfi,aleatoire,1,horizons,11.5,0.4417625158141757,0.47828993953140436,0.5217100604685956
lfi,aleatoire,1,lr,8.5,0.46,0.48498404453255867,0.5150159554674414
lfi,aleatoire,1,rn,12.4,0.46,0.5041281302187725,0.49587186978122755
lfi,aleatoire,1,reconquete,7.8,0.46,0.5032191104996439,0.49678088950035615
lfi,aleatoire,1,nouvelle_energie,13.7,0.46,0.4846069566944919,0.5153930433055081
lfi,aleatoire,2,lfi,12.1,0.3899716385423674,0.3761000759774082,0.6238999240225918
lfi,aleatoire,2,ecologistes,8,0.24515381202336958,0.2727657333764073,0.7272342666235927
lfi,aleatoire,2,renaissance,13,0.4197954461919777,0.4251323248154386,0.5748676751845614
lfi,aleatoire,2,horizons,12,0.4519625158141757,0.46149840848112067,0.5385015915188793
lfi,aleatoire,2,lr,12.4,0.40467265660237983,0.5235941350319596,0.4764058649680404
lfi,aleatoire,2,reconquete,3,0.32492807153448605,0.5991780524847637,0.40082194751523625
lfi,aleatoire,2,nouvelle_energie,12.6,0.4402697076609171,0.5103997054465086,0.4896002945534914
lfi,aleatoire,3,ecologistes,12.8,0.27755381202336965,0.5073533383927281,0.4926466616072719
lfi,aleatoire,3,renaissance,7.5,0.40219544619197767,0.484613794704587,0.515386205295413
lfi,aleatoire,3,horizons,13.9,0.43436251581417573,0.4876878433520978,0.5123121566479022
lfi,aleatoire,3,lr,10.8,0.46,0.49808786735311605,0.501912132646884
