runKey,partyId,agent,r1Leader,r1LeaderScore,r1RunnerUpScore,r1Gap,r1StdDev,withdrawals,replacements,primaries,dissidences,alliances,endorsements,rallyings,playerQualified,playerWon
lfi:aleatoire:0,lfi,aleatoire,lfi,20.3,14.6,5.7,4.359,0,0,0,0,2,2,0,true,true
lfi:aleatoire:1,lfi,aleatoire,lfi,21.1,14.9,6.2,4.307,0,0,0,0,1,1,0,true,true
lfi:aleatoire:2,lfi,aleatoire,rn,15.5,14.8,0.7,2.977,0,0,0,0,2,1,0,false,false
lfi:aleatoire:3,lfi,aleatoire,lfi,19.8,15.7,4.1,5.027,0,0,0,0,2,0,0,true,true
lfi:aleatoire:4,lfi,aleatoire,lfi,16,13,3,2.623,0,0,0,0,2,0,0,true,true
lfi:aleatoire:5,lfi,aleatoire,lfi,17.6,14.3,3.3,4.234,0,0,0,0,2,2,0,true,true
lfi:aleatoire:6,lfi,aleatoire,lfi,18.4,14.6,3.8,3.618,0,0,0,0,2,1,0,true,true
lfi:aleatoire:7,lfi,aleatoire,lfi,18.6,13.2,5.4,3.887,0,0,0,0,1,0,0,true,true
lfi:aleatoire:8,lfi,aleatoire,rn,16,13.9,2.1,2.812,0,0,0,0,0,0,0,false,false
lfi:aleatoire:9,lfi,aleatoire,lfi,19.7,14.4,5.3,3.864,0,0,0,0,1,0,0,true,true
lfi:aleatoire:10,lfi,aleatoire,ps,15.3,14.8,0.5,4.213,0,0,0,0,0,0,0,true,false
lfi:aleatoire:11,lfi,aleatoire,horizons,16.6,14.9,1.7,4.226,0,0,0,0,2,1,0,true,false
lfi:aleatoire:12,lfi,aleatoire,lfi,20.8,12.2,8.6,4.15,0,0,0,0,2,0,0,true,true
lfi:aleatoire:13,lfi,aleatoire,lfi,22.7,14,8.7,5.281,0,0,0,0,2,1,0,true,true
lfi:aleatoire:14,lfi,aleatoire,lfi,18.2,14,4.2,3.64,0,0,0,0,0,4,0,true,true
lfi:aleatoire:15,lfi,aleatoire,lfi,19.1,15.6,3.5,4.698,0,0,0,0,2,1,0,true,true
lfi:aleatoire:16,lfi,aleatoire,lfi,21.5,12.6,8.9,4.387,0,0,0,0,0,3,0,true,true
lfi:aleatoire:17,lfi,aleatoire,lfi,21.7,16,5.7,4.794,0,0,0,0,3,3,0,true,true
lfi:aleatoire:18,lfi,aleatoire,lfi,24.8,17.1,7.7,6.071,0,0,0,0,1,0,0,true,true
lfi:aleatoire:19,lfi,aleatoire,lfi,17.4,14.1,3.3,3.307,0,0,0,0,3,1,0,true,true
lfi:aleatoire:20,lfi,aleatoire,lfi,17.7,13.1,4.6,3.681,0,0,0,0,1,1,0,true,true
lfi:aleatoire:21,lfi,aleatoire,lfi,16.2,15.2,1,3.795,0,0,0,0,2,1,0,true,false
lfi:aleatoire:22,lfi,aleatoire,lfi,19.7,15.7,4,5.265,0,0,0,0,0,0,0,true,false
lfi:aleatoire:23,lfi,aleatoire,lfi,25,14.8,10.2,6.141,0,0,0,0,1,0,0,true,true
lfi:aleatoire:24,lfi,aleatoire,lfi,18.9,17,1.9,4.487,0,0,0,0,3,0,0,true,true
lfi:aleatoire:25,lfi,aleatoire,lfi,19.8,14.5,5.3,4.096,0,0,0,0,3,1,0,true,true
lfi:aleatoire:26,lfi,aleatoire,lfi,24.1,15.5,8.6,5.625,0,2,0,0,1,2,0,true,true
lfi:aleatoire:27,lfi,aleatoire,lfi,18.4,14.1,4.3,4.328,0,1,0,0,1,3,0,true,true
lfi:aleatoire:28,lfi,aleatoire,lfi,16.9,16,0.9,3.34,0,0,0,0,3,1,0,true,true
lfi:aleatoire:29,lfi,aleatoire,lfi,20.1,14.1,6,4.507,0,0,0,0,0,1,0,true,true
lfi:aleatoire:30,lfi,aleatoire,lfi,19.3,14.1,5.2,4.765,0,0,0,0,2,1,0,true,true
lfi:aleatoire:31,lfi,aleatoire,lfi,20.8,16.6,4.2,5.086,0,0,0,0,0,0,0,true,false
lfi:aleatoire:32,lfi,aleatoire,ps,20,18.2,1.8,5.376,0,0,0,0,1,2,0,false,false
lfi:aleatoire:33,lfi,aleatoire,lfi,18.3,15.6,2.7,4.393,0,0,0,0,1,2,0,true,false
lfi:aleatoire:34,lfi,aleatoire,nouvelle_energie,15.4,14.3,1.1,3.477,0,0,0,0,1,2,0,false,false
