partyId,initialPolling,observerParty,seedSuffix
lfi,12.7,lfi,a
ps,12.018,lfi,a
ecologistes,9.462,lfi,a
renaissance,12.802,lfi,a
horizons,12.83,lfi,a
lr,10.815,lfi,a
rn,14.184,lfi,a
reconquete,4.016,lfi,a
nouvelle_energie,11.88,lfi,a
lfi,11.682,ps,a
ps,13.9,ps,a
ecologistes,9.461,ps,a
renaissance,12.799,ps,a
horizons,12.828,ps,a
lr,10.813,ps,a
rn,14.182,ps,a
reconquete,4.016,ps,a
nouvelle_energie,11.878,ps,a
lfi,11.687,ecologistes,a
ps,12.022,ecologistes,a
ecologistes,11.8,ecologistes,a
renaissance,12.804,ecologistes,a
horizons,12.833,ecologistes,a
lr,10.817,ecologistes,a
rn,14.188,ecologistes,a
reconquete,4.018,ecologistes,a
nouvelle_energie,11.883,ecologistes,a
lfi,11.679,renaissance,a
ps,12.013,renaissance,a
ecologistes,9.458,renaissance,a
renaissance,11.1,renaissance,a
horizons,12.823,renaissance,a
lr,10.809,renaissance,a
rn,14.177,renaissance,a
reconquete,4.015,renaissance,a
nouvelle_energie,11.874,renaissance,a
lfi,11.682,horizons,a
ps,12.016,horizons,a
ecologistes,9.46,horizons,a
renaissance,12.797,horizons,a
horizons,16.4,horizons,a
lr,10.811,horizons,a
rn,14.18,horizons,a
reconquete,4.016,horizons,a
nouvelle_energie,11.877,horizons,a
lfi,11.686,lr,a
ps,12.021,lr,a
ecologistes,9.464,lr,a
renaissance,12.803,lr,a
horizons,12.831,lr,a
lr,11.1,lr,a
rn,14.185,lr,a
reconquete,4.017,lr,a
nouvelle_energie,11.881,lr,a
lfi,11.678,rn,a
ps,12.012,rn,a
ecologistes,9.457,rn,a
renaissance,12.794,rn,a
horizons,12.823,rn,a
lr,10.808,rn,a
rn,11.5,rn,a
reconquete,4.014,rn,a
nouvelle_energie,11.874,rn,a
lfi,11.7,reconquete,a
ps,12.035,reconquete,a
ecologistes,9.475,reconquete,a
renaissance,12.818,reconquete,a
horizons,12.846,reconquete,a
lr,10.828,reconquete,a
rn,14.201,reconquete,a
reconquete,4.6,reconquete,a
nouvelle_energie,11.895,reconquete,a
lfi,11.684,nouvelle_energie,a
ps,12.018,nouvelle_energie,a
ecologistes,9.462,nouvelle_energie,a
renaissance,12.8,nouvelle_energie,a
horizons,12.829,nouvelle_energie,a
lr,10.813,nouvelle_energie,a
rn,14.183,nouvelle_energie,a
reconquete,4.017,nouvelle_energie,a
nouvelle_energie,12.6,nouvelle_energie,a
lfi,10.2,lfi,b
ps,12.018,lfi,b
ecologistes,9.462,lfi,b
renaissance,12.802,lfi,b
horizons,12.83,lfi,b
lr,10.815,lfi,b
rn,14.184,lfi,b
reconquete,4.016,lfi,b
nouvelle_energie,11.88,lfi,b
lfi,11.682,ps,b
ps,11.1,ps,b
ecologistes,9.461,ps,b
renaissance,12.799,ps,b
horizons,12.828,ps,b
lr,10.813,ps,b
rn,14.182,ps,b
reconquete,4.016,ps,b
nouvelle_energie,11.878,ps,b
lfi,11.687,ecologistes,b
ps,12.022,ecologistes,b
ecologistes,8.4,ecologistes,b
renaissance,12.804,ecologistes,b
horizons,12.833,ecologistes,b
lr,10.817,ecologistes,b
rn,14.188,ecologistes,b
reconquete,4.018,ecologistes,b
nouvelle_energie,11.883,ecologistes,b
lfi,11.679,renaissance,b
ps,12.013,renaissance,b
ecologistes,9.458,renaissance,b
renaissance,12,renaissance,b
horizons,12.823,renaissance,b
lr,10.809,renaissance,b
rn,14.177,renaissance,b
reconquete,4.015,renaissance,b
nouvelle_energie,11.874,renaissance,b
lfi,11.682,horizons,b
ps,12.016,horizons,b
ecologistes,9.46,horizons,b
renaissance,12.797,horizons,b
horizons,12.4,horizons,b
lr,10.811,horizons,b
rn,14.18,horizons,b
reconquete,4.016,horizons,b
nouvelle_energie,11.877,horizons,b
lfi,11.686,lr,b
ps,12.021,lr,b
ecologistes,9.464,lr,b
renaissance,12.803,lr,b
horizons,12.831,lr,b
lr,13.4,lr,b
rn,14.185,lr,b
reconquete,4.017,lr,b
nouvelle_energie,11.881,lr,b
lfi,11.678,rn,b
ps,12.012,rn,b
ecologistes,9.457,rn,b
renaissance,12.794,rn,b
horizons,12.823,rn,b
lr,10.808,rn,b
rn,16.7,rn,b
reconquete,4.014,rn,b
nouvelle_energie,11.874,rn,b
lfi,11.7,reconquete,b
ps,12.035,reconquete,b
ecologistes,9.475,reconquete,b
renaissance,12.818,reconquete,b
horizons,12.846,reconquete,b
lr,10.828,reconquete,b
rn,14.201,reconquete,b
reconquete,6.3,reconquete,b
nouvelle_energie,11.895,reconquete,b
lfi,11.684,nouvelle_energie,b
ps,12.018,nouvelle_energie,b
ecologistes,9.462,nouvelle_energie,b
renaissance,12.8,nouvelle_energie,b
horizons,12.829,nouvelle_energie,b
lr,10.813,nouvelle_energie,b
rn,14.183,nouvelle_energie,b
reconquete,4.017,nouvelle_energie,b
nouvelle_energie,16.1,nouvelle_energie,b
lfi,11.3,lfi,c
ps,12.018,lfi,c
ecologistes,9.462,lfi,c
renaissance,12.802,lfi,c
horizons,12.83,lfi,c
lr,10.815,lfi,c
rn,14.184,lfi,c
reconquete,4.016,lfi,c
nouvelle_energie,11.88,lfi,c
lfi,11.682,ps,c
ps,13.3,ps,c
ecologistes,9.461,ps,c
renaissance,12.799,ps,c
horizons,12.828,ps,c
lr,10.813,ps,c
rn,14.182,ps,c
reconquete,4.016,ps,c
nouvelle_energie,11.878,ps,c
lfi,11.687,ecologistes,c
ps,12.022,ecologistes,c
ecologistes,8.6,ecologistes,c
renaissance,12.804,ecologistes,c
horizons,12.833,ecologistes,c
lr,10.817,ecologistes,c
rn,14.188,ecologistes,c
reconquete,4.018,ecologistes,c
nouvelle_energie,11.883,ecologistes,c
lfi,11.679,renaissance,c
ps,12.013,renaissance,c
ecologistes,9.458,renaissance,c
renaissance,13.6,renaissance,c
horizons,12.823,renaissance,c
lr,10.809,renaissance,c
rn,14.177,renaissance,c
reconquete,4.015,renaissance,c
nouvelle_energie,11.874,renaissance,c
lfi,11.682,horizons,c
ps,12.016,horizons,c
ecologistes,9.46,horizons,c
renaissance,12.797,horizons,c
horizons,14.1,horizons,c
lr,10.811,horizons,c
rn,14.18,horizons,c
reconquete,4.016,horizons,c
nouvelle_energie,11.877,horizons,c
lfi,11.686,lr,c
ps,12.021,lr,c
ecologistes,9.464,lr,c
renaissance,12.803,lr,c
horizons,12.831,lr,c
lr,9.6,lr,c
rn,14.185,lr,c
reconquete,4.017,lr,c
nouvelle_energie,11.881,lr,c
lfi,11.678,rn,c
ps,12.012,rn,c
ecologistes,9.457,rn,c
renaissance,12.794,rn,c
horizons,12.823,rn,c
lr,10.808,rn,c
rn,14.6,rn,c
reconquete,4.014,rn,c
