pairKey,playerPartyId,agent,withdrawnPartyId,withdrawnPartyPollingAtFork,maintainR1Leader,withdrawR1Leader,leaderChanged,maintainQualified,withdrawQualified,qualifiedSetChanged,maintainPlayerR1Score,withdrawPlayerR1Score,playerScoreDelta,maintainPlayerWon,withdrawPlayerWon,playerOutcomeChanged
lfi:aleatoire:1,lfi,aleatoire,reconquete,3.48,lfi,lfi,false,"[""lfi"",""ps""]","[""lfi"",""rn""]",true,16.9,17.9,1,true,true,false
ps:aleatoire:2,ps,aleatoire,reconquete,3.47,horizons,ps,true,"[""horizons"",""ps""]","[""ps"",""horizons""]",false,15.2,19.5,4.3,false,false,false
ecologistes:aleatoire:3,ecologistes,aleatoire,reconquete,3.55,ecologistes,ecologistes,false,"[""ecologistes"",""ps""]","[""ecologistes"",""horizons""]",true,17.5,20.5,3,false,true,true
renaissance:aleatoire:4,renaissance,aleatoire,reconquete,3.94,renaissance,renaissance,false,"[""renaissance"",""horizons""]","[""renaissance"",""horizons""]",false,17.4,18.7,1.3,true,true,false
horizons:aleatoire:5,horizons,aleatoire,reconquete,3.53,horizons,horizons,false,"[""horizons"",""nouvelle_energie""]","[""horizons"",""nouvelle_energie""]",false,20,22.8,2.8,false,true,true
lr:aleatoire:6,lr,aleatoire,ecologistes,8.29,lr,rn,true,"[""lr"",""horizons""]","[""rn"",""lr""]",true,23.6,21.1,-2.5,true,true,false
rn:aleatoire:7,rn,aleatoire,reconquete,3.49,rn,rn,false,"[""rn"",""horizons""]","[""rn"",""ps""]",true,23.6,21.9,-1.7,false,false,false
reconquete:aleatoire:8,reconquete,aleatoire,ecologistes,8,rn,horizons,true,"[""rn"",""reconquete""]","[""horizons"",""ps""]",true,13.8,9.9,-3.9,true,false,true
nouvelle_energie:aleatoire:9,nouvelle_energie,aleatoire,reconquete,3.15,nouvelle_energie,nouvelle_energie,false,"[""nouvelle_energie"",""horizons""]","[""nouvelle_energie"",""rn""]",true,25.1,22.5,-2.6,true,true,false
lfi:prudent:10,lfi,prudent,ecologistes,8.71,lfi,lfi,false,"[""lfi"",""rn""]","[""lfi"",""rn""]",false,22.1,26.4,4.3,true,true,false
ps:prudent:11,ps,prudent,reconquete,3.93,ps,ps,false,"[""ps"",""horizons""]","[""ps"",""horizons""]",false,19,20.4,1.4,true,false,true
ecologistes:prudent:12,ecologistes,prudent,reconquete,3.62,ecologistes,ecologistes,false,"[""ecologistes"",""horizons""]","[""ecologistes"",""rn""]",true,19.5,19,-0.5,true,true,false
renaissance:prudent:13,renaissance,prudent,ecologistes,8.55,renaissance,renaissance,false,"[""renaissance"",""ps""]","[""renaissance"",""rn""]",true,19,20.8,1.8,true,true,false
horizons:prudent:14,horizons,prudent,reconquete,3.72,horizons,horizons,false,"[""horizons"",""ps""]","[""horizons"",""rn""]",true,21.2,22.1,0.9,true,true,false
lr:prudent:15,lr,prudent,reconquete,3.28,lr,lr,false,"[""lr"",""horizons""]","[""lr"",""horizons""]",false,20.8,19.6,-1.2,true,true,false
rn:prudent:16,rn,prudent,reconquete,3.62,rn,rn,false,"[""rn"",""horizons""]","[""rn"",""horizons""]",false,22.9,26.7,3.8,true,true,false
reconquete:prudent:17,reconquete,prudent,ecologistes,7.79,rn,horizons,true,"[""rn"",""horizons""]","[""horizons"",""rn""]",false,8.2,8.1,-0.1,false,false,false
nouvelle_energie:prudent:18,nouvelle_energie,prudent,reconquete,3.32,nouvelle_energie,nouvelle_energie,false,"[""nouvelle_energie"",""rn""]","[""nouvelle_energie"",""horizons""]",true,19,20.1,1.1,true,true,false
lfi:risque:19,lfi,risque,reconquete,4.07,lfi,lfi,false,"[""lfi"",""horizons""]","[""lfi"",""nouvelle_energie""]",true,20.3,21.6,1.3,false,true,true
ps:risque:20,ps,risque,reconquete,3.64,ps,ps,false,"[""ps"",""horizons""]","[""ps"",""rn""]",true,21.1,19.5,-1.6,false,true,true
ecologistes:risque:21,ecologistes,risque,reconquete,3.36,ecologistes,ecologistes,false,"[""ecologistes"",""horizons""]","[""ecologistes"",""horizons""]",false,21,21.2,0.2,true,true,false
renaissance:risque:22,renaissance,risque,reconquete,3.53,renaissance,renaissance,false,"[""renaissance"",""horizons""]","[""renaissance"",""horizons""]",false,24.1,18.2,-5.9,true,true,false
horizons:risque:23,horizons,risque,reconquete,2.89,horizons,horizons,false,"[""horizons"",""rn""]","[""horizons"",""lfi""]",true,28.5,22,-6.5,true,true,false
lr:risque:24,lr,risque,ecologistes,8.82,nouvelle_energie,ps,true,"[""nouvelle_energie"",""lr""]","[""ps"",""horizons""]",true,14.7,14.9,0.2,false,false,false
rn:risque:25,rn,risque,reconquete,3.25,rn,rn,false,"[""rn"",""horizons""]","[""rn"",""horizons""]",false,22.9,20.4,-2.5,true,false,true
reconquete:risque:26,reconquete,risque,ecologistes,7.87,ps,ps,false,"[""ps"",""horizons""]","[""ps"",""rn""]",true,9.5,7.9,-1.6,false,false,false
nouvelle_energie:risque:27,nouvelle_energie,risque,reconquete,3.39,nouvelle_energie,nouvelle_energie,false,"[""nouvelle_energie"",""rn""]","[""nouvelle_energie"",""horizons""]",true,17.1,22,4.9,true,true,false
lfi:ideologiquement_coherent:28,lfi,ideologiquement_coherent,reconquete,3.64,lfi,lfi,false,"[""lfi"",""horizons""]","[""lfi"",""horizons""]",false,19.4,24.4,5,false,true,true
ps:ideologiquement_coherent:29,ps,ideologiquement_coherent,reconquete,3.84,ps,ps,false,"[""ps"",""horizons""]","[""ps"",""rn""]",true,24,19.7,-4.3,true,true,false
ecologistes:ideologiquement_coherent:30,ecologistes,ideologiquement_coherent,reconquete,2.97,ecologistes,ecologistes,false,"[""ecologistes"",""horizons""]","[""ecologistes"",""rn""]",true,26.5,23,-3.5,true,true,false
renaissance:ideologiquement_coherent:31,renaissance,ideologiquement_coherent,reconquete,3.03,renaissance,renaissance,false,"[""renaissance"",""nouvelle_energie""]","[""renaissance"",""ps""]",true,20.9,25.7,4.8,true,true,false
horizons:ideologiquement_coherent:32,horizons,ideologiquement_coherent,reconquete,3.64,horizons,horizons,false,"[""horizons"",""nouvelle_energie""]","[""horizons"",""ps""]",true,27.5,23.7,-3.8,true,true,false
lr:ideologiquement_coherent:33,lr,ideologiquement_coherent,reconquete,3.66,lr,lr,false,"[""lr"",""horizons""]","[""lr"",""ps""]",true,18.7,20.2,1.5,true,true,false
rn:ideologiquement_coherent:34,rn,ideologiquement_coherent,reconquete,3.44,rn,rn,false,"[""rn"",""nouvelle_energie""]","[""rn"",""ps""]",true,25.5,26.2,0.7,true,true,false
reconquete:ideologiquement_coherent:35,reconquete,ideologiquement_coherent,ecologistes,8.74,reconquete,lfi,true,"[""reconquete"",""nouvelle_energie""]","[""lfi"",""ps""]",true,14.4,12.6,-1.8,false,false,false
nouvelle_energie:ideologiquement_coherent:36,nouvelle_energie,ideologiquement_coherent,reconquete,3.23,nouvelle_energie,nouvelle_energie,false,"[""nouvelle_energie"",""rn""]","[""nouvelle_energie"",""ps""]",true,21.2,22.5,1.3,true,true,false
lfi:opportuniste_electoral:37,lfi,opportuniste_electoral,reconquete,3.84,lfi,rn,true,"[""lfi"",""horizons""]","[""rn"",""lfi""]",true,16,14.9,-1.1,false,true,true
ps:opportuniste_electoral:38,ps,opportuniste_electoral,reconquete,3.15,ps,ps,false,"[""ps"",""rn""]","[""ps"",""rn""]",false,20.4,16.7,-3.7,true,true,false
ecologistes:opportuniste_electoral:39,ecologistes,opportuniste_electoral,reconquete,3.82,horizons,ecologistes,true,"[""horizons"",""lr""]","[""ecologistes"",""horizons""]",true,12.2,22.9,10.7,false,true,true
renaissance:opportuniste_electoral:40,renaissance,opportuniste_electoral,reconquete,3.82,horizons,horizons,false,"[""horizons"",""lfi""]","[""horizons"",""renaissance""]",true,14.1,18.1,4,false,false,false
horizons:opportuniste_electoral:41,horizons,opportuniste_electoral,reconquete,3.42,horizons,horizons,false,"[""horizons"",""rn""]","[""horizons"",""rn""]",false,20.8,22.5,1.7,true,true,false
lr:opportuniste_electoral:42,lr,opportuniste_electoral,reconquete,3.39,lr,lr,false,"[""lr"",""horizons""]","[""lr"",""rn""]",true,23,20.4,-2.6,true,true,false
rn:opportuniste_electoral:43,rn,opportuniste_electoral,reconquete,3.44,rn,rn,false,"[""rn"",""horizons""]","[""rn"",""horizons""]",false,18.4,21,2.6,false,true,true
reconquete:opportuniste_electoral:44,reconquete,opportuniste_electoral,ecologistes,8.88,ps,ps,false,"[""ps"",""rn""]","[""ps"",""rn""]",false,6.9,11.1,4.2,false,false,false
nouvelle_energie:opportuniste_electoral:45,nouvelle_energie,opportuniste_electoral,reconquete,3.93,horizons,horizons,false,"[""horizons"",""rn""]","[""horizons"",""nouvelle_energie""]",true,13.9,14.1,0.2,false,true,true
lfi:parti_dabord:46,lfi,parti_dabord,reconquete,3.7,lfi,lfi,false,"[""lfi"",""rn""]","[""lfi"",""rn""]",false,19.8,19.5,-0.3,true,true,false
ps:parti_dabord:47,ps,parti_dabord,reconquete,3.58,ps,ps,false,"[""ps"",""rn""]","[""ps"",""horizons""]",true,21,24.6,3.6,true,true,false
ecologistes:parti_dabord:48,ecologistes,parti_dabord,reconquete,3.61,ecologistes,ecologistes,false,"[""ecologistes"",""horizons""]","[""ecologistes"",""rn""]",true,18.2,19.7,1.5,false,true,true
