runKey,partyId,agent,r1Leader,r1LeaderScore,r1RunnerUpScore,r1Gap,r1StdDev,withdrawals,replacements,primaries,dissidences,alliances,endorsements,rallyings,maxWithdrawalShock,candidateProfileRn,candidateProfilePs,qualified,won
lfi:aleatoire:0,lfi,aleatoire,nouvelle_energie,14.7,14.1,0.6,3.053,0,0,1,0,0,1,0,0,rn_montclar_profile,ps_villedieu_profile,false,false
lfi:aleatoire:1,lfi,aleatoire,lfi,23.1,14.1,9,4.366,1,0,1,0,1,2,1,0,rn_montclar_profile,ps_rassemblement_profile,true,true
lfi:aleatoire:2,lfi,aleatoire,lfi,19.8,15,4.8,4.221,0,0,0,0,2,0,0,0,rn_montclar_profile,ps_villedieu_profile,true,true
lfi:aleatoire:3,lfi,aleatoire,lfi,21.1,15.6,5.5,4.819,0,0,0,0,1,1,0,0,rn_montclar_profile,ps_villedieu_profile,true,true
lfi:aleatoire:4,lfi,aleatoire,lfi,22.5,13.9,8.6,4.461,1,2,0,0,3,1,1,3.1,rn_montclar_profile,ps_villedieu_profile,true,true
lfi:aleatoire:5,lfi,aleatoire,lfi,23.6,18.2,5.4,6.221,0,1,1,0,0,1,0,0,rn_montclar_profile,ps_rassemblement_profile,true,true
lfi:aleatoire:6,lfi,aleatoire,lfi,21.7,15.3,6.4,5.35,0,0,2,0,2,0,0,0,rn_ferran_profile,ps_rassemblement_profile,true,true
lfi:aleatoire:7,lfi,aleatoire,lfi,24.9,14.2,10.7,5.724,0,2,0,0,4,4,0,0,rn_montclar_profile,ps_villedieu_profile,true,true
lfi:aleatoire:8,lfi,aleatoire,lfi,21,17.5,3.5,4.811,1,0,1,0,2,1,1,0,rn_montclar_profile,ps_rassemblement_profile,true,true
lfi:aleatoire:9,lfi,aleatoire,lfi,18.2,15.3,2.9,3.912,0,0,1,0,1,0,0,0,rn_montclar_profile,ps_rassemblement_profile,true,true
lfi:aleatoire:10,lfi,aleatoire,lfi,21.6,14.6,7,4.22,1,0,1,0,1,0,1,0,rn_ferran_profile,ps_villedieu_profile,true,true
lfi:aleatoire:11,lfi,aleatoire,lfi,19,16.7,2.3,5.033,0,0,0,0,1,2,0,0,rn_montclar_profile,ps_villedieu_profile,true,true
lfi:aleatoire:12,lfi,aleatoire,lfi,19.9,13.4,6.5,4.453,0,0,1,0,1,1,0,0,rn_ferran_profile,ps_villedieu_profile,true,true
lfi:aleatoire:13,lfi,aleatoire,horizons,15.5,15.3,0.2,2.072,1,0,0,0,2,2,1,0,rn_montclar_profile,ps_villedieu_profile,true,true
lfi:aleatoire:14,lfi,aleatoire,lfi,19.5,14.4,5.1,3.932,0,0,0,0,2,3,0,0,rn_montclar_profile,ps_villedieu_profile,true,true
lfi:aleatoire:15,lfi,aleatoire,lfi,17.1,16.8,0.3,3.814,1,0,0,0,2,3,1,0,rn_montclar_profile,ps_villedieu_profile,true,true
lfi:aleatoire:16,lfi,aleatoire,horizons,16.4,15,1.4,4.129,0,0,2,0,0,1,0,0,rn_ferran_profile,ps_rassemblement_profile,true,true
lfi:aleatoire:17,lfi,aleatoire,lfi,18.1,17,1.1,4.929,0,0,1,0,1,3,0,0,rn_montclar_profile,ps_rassemblement_profile,true,true
lfi:aleatoire:18,lfi,aleatoire,horizons,16.3,15.3,1,3.746,0,0,2,0,1,1,0,0,rn_ferran_profile,ps_rassemblement_profile,true,false
lfi:aleatoire:19,lfi,aleatoire,lfi,18.2,15.2,3,4.051,0,0,1,0,1,2,0,0,rn_montclar_profile,ps_rassemblement_profile,true,false
lfi:aleatoire:20,lfi,aleatoire,lfi,17,14.5,2.5,3.754,0,0,0,0,2,1,0,0,rn_montclar_profile,ps_villedieu_profile,true,false
lfi:aleatoire:21,lfi,aleatoire,rn,15.3,14.8,0.5,3.032,0,0,2,0,1,2,0,0,rn_ferran_profile,ps_rassemblement_profile,false,false
lfi:aleatoire:22,lfi,aleatoire,lfi,20.6,15.8,4.8,5.154,0,0,2,0,1,2,0,0,rn_ferran_profile,ps_rassemblement_profile,true,false
lfi:aleatoire:23,lfi,aleatoire,horizons,17.5,15.1,2.4,2.902,1,0,0,0,1,3,1,3.71,rn_montclar_profile,ps_villedieu_profile,true,false
lfi:aleatoire:24,lfi,aleatoire,lfi,24.7,15.1,9.6,6.189,0,0,1,0,2,1,0,0,rn_montclar_profile,ps_rassemblement_profile,true,true
lfi:aleatoire:25,lfi,aleatoire,lfi,26.4,17.9,8.5,6.092,1,1,1,0,1,1,1,0,rn_ferran_profile,ps_villedieu_profile,true,true
lfi:aleatoire:26,lfi,aleatoire,horizons,19.8,17.3,2.5,3.913,1,0,1,0,1,1,1,0,rn_ferran_profile,ps_villedieu_profile,true,true
lfi:aleatoire:27,lfi,aleatoire,lfi,19,14.4,4.6,3.122,1,1,0,0,1,0,1,2.14,rn_montclar_profile,ps_villedieu_profile,true,false
