partyId,agent,seedIndex,decisions,repeatedTitlesExact,repeatedTitlesNormalized,repeatedNarrativesExact,repeatedNarrativesNormalized,repeatsWithin5,repeatsWithin10,chainJustifiedRepeats
lfi,aleatoire,0,29,0,0,0,0,0,0,0
lfi,aleatoire,1,31,0,0,0,0,0,0,0
lfi,aleatoire,2,25,0,0,0,0,0,0,0
lfi,aleatoire,3,29,0,0,0,0,0,0,0
lfi,aleatoire,4,31,0,0,0,0,0,0,0
lfi,aleatoire,5,31,0,0,0,0,0,0,0
lfi,aleatoire,6,31,0,0,0,0,0,0,0
lfi,aleatoire,7,29,0,0,0,0,0,0,0
lfi,aleatoire,8,31,0,0,0,0,0,0,0
lfi,aleatoire,9,29,0,0,0,0,0,0,0
lfi,aleatoire,10,31,0,0,0,0,0,0,0
lfi,aleatoire,11,29,0,0,0,0,0,0,0
lfi,aleatoire,12,31,0,0,0,0,0,0,0
lfi,aleatoire,13,31,0,0,0,0,0,0,0
lfi,aleatoire,14,31,0,0,0,0,0,0,0
lfi,aleatoire,15,29,0,0,0,0,0,0,0
lfi,aleatoire,16,31,0,0,0,0,0,0,0
lfi,aleatoire,17,31,0,0,0,0,0,0,0
lfi,aleatoire,18,29,0,0,0,0,0,0,0
lfi,aleatoire,19,31,0,0,0,0,0,0,0
lfi,aleatoire,20,31,0,0,0,0,0,0,0
lfi,aleatoire,21,31,0,0,0,0,0,0,0
lfi,aleatoire,22,31,0,0,0,0,0,0,0
lfi,aleatoire,23,31,0,0,0,0,0,0,0
lfi,aleatoire,24,31,0,0,0,0,0,0,0
lfi,aleatoire,25,29,0,0,0,0,0,0,0
lfi,aleatoire,26,31,0,0,0,0,0,0,0
lfi,aleatoire,27,29,0,0,0,0,0,0,0
lfi,aleatoire,28,31,0,0,0,0,0,0,0
lfi,aleatoire,29,31,0,0,0,0,0,0,0
lfi,aleatoire,30,31,0,0,0,0,0,0,0
lfi,aleatoire,31,31,0,0,0,0,0,0,0
lfi,aleatoire,32,31,0,0,0,0,0,0,0
lfi,aleatoire,33,25,0,0,0,0,0,0,0
lfi,aleatoire,34,31,0,0,0,0,0,0,0
lfi,aleatoire,35,29,0,0,0,0,0,0,0
lfi,aleatoire,36,29,0,0,0,0,0,0,0
lfi,aleatoire,37,31,0,0,0,0,0,0,0
lfi,aleatoire,38,31,0,0,0,0,0,0,0
lfi,aleatoire,39,31,0,0,0,0,0,0,0
lfi,aleatoire,40,31,0,0,0,0,0,0,0
lfi,aleatoire,41,31,0,0,0,0,0,0,0
lfi,aleatoire,42,31,0,0,0,0,0,0,0
lfi,aleatoire,43,31,0,0,0,0,0,0,0
lfi,aleatoire,44,31,0,0,0,0,0,0,0
lfi,aleatoire,45,31,0,0,0,0,0,0,0
lfi,aleatoire,46,31,0,0,0,0,0,0,0
