finalistLeft,finalistRight,r1Margin,r2Margin,r2ScoreLeft,r2ScoreRight,favoriteAtR1,favoriteWonR2
lfi,ps,6.5,0.2,50.1,49.9,lfi,true
lfi,rn,6,0,50,50,lfi,true
lfi,rn,1.9,1.6,49.2,50.8,lfi,false
lfi,ps,5.3,1.2,50.6,49.4,lfi,true
lfi,rn,2.1,1,50.5,49.5,lfi,true
lfi,horizons,2.5,1,50.5,49.5,lfi,true
lfi,ps,7.6,1.8,50.9,49.1,lfi,true
lfi,horizons,8.1,1.6,50.8,49.2,lfi,true
ps,lfi,0.5,0.8,50.4,49.6,ps,true
lfi,ps,4.1,0.8,49.6,50.4,lfi,false
lfi,nouvelle_energie,4.7,1.8,49.1,50.9,lfi,false
lfi,ps,0.7,1.6,49.2,50.8,lfi,false
lfi,ps,4.2,0.8,49.6,50.4,lfi,false
lfi,rn,4,1.6,49.2,50.8,lfi,false
lfi,horizons,5.2,1,50.5,49.5,lfi,true
lfi,rn,3.7,1.8,49.1,50.9,lfi,false
lfi,horizons,4,1.2,50.6,49.4,lfi,true
lfi,rn,7.2,1.8,50.9,49.1,lfi,true
rn,lfi,1.1,0.6,50.3,49.7,rn,true
lfi,horizons,0.6,0.4,50.2,49.8,lfi,true
lfi,horizons,4.9,1,49.5,50.5,lfi,false
lfi,ps,7.4,0.2,49.9,50.1,lfi,false
lfi,horizons,3.7,1.8,50.9,49.1,lfi,true
lfi,ps,4.9,1.6,49.2,50.8,lfi,false
lfi,horizons,1.9,0.6,50.3,49.7,lfi,true
lfi,horizons,1.3,1.4,49.3,50.7,lfi,false
lfi,rn,2.5,0.8,49.6,50.4,lfi,false
lfi,ps,4.8,0.6,49.7,50.3,lfi,false
lfi,ps,0.8,1.6,49.2,50.8,lfi,false
lfi,nouvelle_energie,7,1.6,50.8,49.2,lfi,true
lfi,horizons,9.1,0.8,49.6,50.4,lfi,false
lfi,nouvelle_energie,3.4,1.8,49.1,50.9,lfi,false
lfi,ps,1.1,0.6,49.7,50.3,lfi,false
lfi,ps,5.8,0,50,50,lfi,true
lfi,lr,0.2,1,49.5,50.5,lfi,false
lfi,lr,5.5,1.2,50.6,49.4,lfi,true
rn,lfi,1.8,0.8,49.6,50.4,rn,false
rn,lfi,0.7,0.8,50.4,49.6,rn,true
lfi,renaissance,6,0.6,49.7,50.3,lfi,false
lfi,ps,6.8,0.6,49.7,50.3,lfi,false
lfi,horizons,8,1.6,49.2,50.8,lfi,false
lfi,lr,9.2,0.4,50.2,49.8,lfi,true
lfi,horizons,9.4,0.6,49.7,50.3,lfi,false
lfi,rn,4.7,0.6,50.3,49.7,lfi,true
lfi,ps,8.2,1.8,50.9,49.1,lfi,true
lfi,ps,6.4,0.8,50.4,49.6,lfi,true
lfi,horizons,10.7,0.6,50.3,49.7,lfi,true
lfi,ps,1.2,0.6,50.3,49.7,lfi,true
lfi,ps,2.9,0.4,50.2,49.8,lfi,true
lfi,nouvelle_energie,9.3,0.4,49.8,50.2,lfi,false
lfi,nouvelle_energie,8.1,0.2,49.9,50.1,lfi,false
