forkKey,finalistLeft,finalistRight,r1ScoreLeft,r1ScoreRight,policy,r2ScoreLeft,r2ScoreRight,r2Margin,r2Winner
lfi:1,lfi,ps,16.1,14.4,aleatoire,48.3,51.7,3.4,ps
lfi:1,lfi,ps,16.1,14.4,prudent,48.6,51.4,2.8,ps
lfi:1,lfi,ps,16.1,14.4,risque,47.8,52.2,4.4,ps
lfi:1,lfi,ps,16.1,14.4,opportuniste_electoral,48.3,51.7,3.4,ps
lfi:1,lfi,ps,16.1,14.4,parti_dabord,47.6,52.4,4.8,ps
lfi:1,lfi,ps,16.1,14.4,mediatique,47.6,52.4,4.8,ps
lfi:1,lfi,ps,16.1,14.4,contrarien,47.6,52.4,4.8,ps
ps:2,ps,rn,22.5,13.7,aleatoire,60.2,39.8,20.4,ps
ps:2,ps,rn,22.5,13.7,prudent,59.8,40.2,19.6,ps
ps:2,ps,rn,22.5,13.7,risque,60.1,39.9,20.2,ps
ps:2,ps,rn,22.5,13.7,opportuniste_electoral,60.4,39.6,20.8,ps
ps:2,ps,rn,22.5,13.7,parti_dabord,60.4,39.6,20.8,ps
ps:2,ps,rn,22.5,13.7,mediatique,60.2,39.8,20.4,ps
ps:2,ps,rn,22.5,13.7,contrarien,59.7,40.3,19.4,ps
ecologistes:3,ecologistes,rn,18.6,14.9,aleatoire,61.5,38.5,23,ecologistes
ecologistes:3,ecologistes,rn,18.6,14.9,prudent,61.6,38.4,23.2,ecologistes
ecologistes:3,ecologistes,rn,18.6,14.9,risque,62.1,37.9,24.2,ecologistes
ecologistes:3,ecologistes,rn,18.6,14.9,opportuniste_electoral,62.2,37.8,24.4,ecologistes
ecologistes:3,ecologistes,rn,18.6,14.9,parti_dabord,62.1,37.9,24.2,ecologistes
ecologistes:3,ecologistes,rn,18.6,14.9,mediatique,61.9,38.1,23.8,ecologistes
ecologistes:3,ecologistes,rn,18.6,14.9,contrarien,61.6,38.4,23.2,ecologistes
renaissance:4,renaissance,rn,23.5,13.2,aleatoire,59,41,18,renaissance
renaissance:4,renaissance,rn,23.5,13.2,prudent,59.2,40.8,18.4,renaissance
renaissance:4,renaissance,rn,23.5,13.2,risque,59.1,40.9,18.2,renaissance
renaissance:4,renaissance,rn,23.5,13.2,opportuniste_electoral,59.1,40.9,18.2,renaissance
renaissance:4,renaissance,rn,23.5,13.2,parti_dabord,59.1,40.9,18.2,renaissance
renaissance:4,renaissance,rn,23.5,13.2,mediatique,58.7,41.3,17.4,renaissance
renaissance:4,renaissance,rn,23.5,13.2,contrarien,58.7,41.3,17.4,renaissance
horizons:5,horizons,renaissance,22.2,13,aleatoire,53.1,46.9,6.2,horizons
horizons:5,horizons,renaissance,22.2,13,prudent,53.3,46.7,6.6,horizons
horizons:5,horizons,renaissance,22.2,13,risque,52.8,47.2,5.6,horizons
horizons:5,horizons,renaissance,22.2,13,opportuniste_electoral,53,47,6,horizons
