partyA,partyB,occurrences,aWinRate,bWinRate,meanMargin,medianMargin,p10Margin,p25Margin,p75Margin,p90Margin,below05,below1,below2,above5,above10,exact5050,favoriteWinsRate
ps,rn,1658,65.2,34.8,11.23,10.4,2,4.8,16.8,22,2.9,5.1,9.6,73.3,51,8,82.5
horizons,rn,1211,74.9,25.1,12.02,11.2,2.4,5.8,17.8,22.4,1.7,3.8,8.3,78.1,54.2,6,83
horizons,ps,1111,60.4,39.6,8.92,8.2,1.4,3.8,13.4,17.4,3.9,5.8,12.9,66.2,42.5,9,81.8
nouvelle_energie,rn,975,76.5,23.5,12.41,11.4,2.6,6.2,18,23.8,3,4.4,7.6,79.7,56.4,8,84.3
nouvelle_energie,ps,942,68.6,31.4,8.82,8.2,1.4,3.6,13,17.8,3.7,6.4,13.7,66.6,40.1,7,83.4
renaissance,rn,865,81.2,18.8,12.49,11.8,2.8,6.2,18.4,23,1.6,2.4,6.5,80.2,56.9,3,87.4
ps,renaissance,744,36.6,63.4,8.31,7.2,1.2,3.6,12.2,17.2,3.5,7.9,14.8,65.3,35.3,7,81.5
lfi,rn,731,76.7,23.3,11.05,10.6,2,5.4,16.4,20.6,2.5,4,9,77,52.7,2,88.4
lr,rn,713,85,15,11.77,11.2,2.2,5.6,17.4,21.4,2,3.4,8.7,77.6,55,2,85
lfi,ps,687,55.6,44.4,8.91,7.4,1.6,3.6,13.4,18.6,3.5,6.7,12.7,65.2,36.5,5,76.3
lr,ps,643,68.1,31.9,8.07,7,1.4,3.4,12,16.8,3.6,6.5,14,63.1,34.5,4,77.8
horizons,nouvelle_energie,608,46.5,53.5,8.17,7.4,1.2,3.4,12.2,16,4.4,7.4,14.3,65,35.7,10,81.9
ecologistes,rn,568,91.4,8.6,12.29,12,2.8,6,18.2,22.2,2.1,3.3,6.3,79.8,57.9,2,88.4
ecologistes,ps,556,68.3,31.7,7.8,6.8,1.2,3.4,11.6,15.6,4.9,8.3,14.6,60.3,32.4,6,75
horizons,renaissance,465,42.8,57.2,8.79,8.2,1.2,3.8,13.4,17.4,3.4,7.3,14.8,67.5,40.6,8,81.7
horizons,lfi,455,51.4,48.6,8.65,7.4,1.4,3.6,12.6,17.4,2,6.4,13.8,63.5,37.6,0,74.5
horizons,lr,406,41.4,58.6,7.56,6.8,1.4,3.2,11,14.8,3.9,7.1,15,60.8,30.5,4,75.4
lfi,nouvelle_energie,342,39.8,60.2,9.38,8,1.8,4,13.4,19.2,2.3,4.4,11.1,67.8,40.4,2,71.9
nouvelle_energie,renaissance,322,47.2,52.8,7.81,6.8,1.4,2.8,11.6,16.2,5.3,7.8,16.1,58.7,32.3,4,80.4
ecologistes,horizons,309,69.9,30.1,6.89,5.6,1.2,3.2,9.8,14.2,4.2,8.4,13.6,55.7,24.3,2,72.8
lr,nouvelle_energie,264,53.4,46.6,8.19,7,1.4,3.6,12.8,16,3.4,6.8,12.9,61.4,36.7,2,79.2
ecologistes,nouvelle_energie,195,57.4,42.6,6.26,5.4,1,2.6,9,13,5.6,8.2,15.9,53.8,21.5,1,64.6
lfi,renaissance,189,37.6,62.4,10.9,10.8,2.2,5.6,16.2,20.4,2.6,5.8,9.5,76.2,54,2,82
lfi,lr,160,25.6,74.4,9.63,8.6,1.4,4.4,14.2,18.6,1.3,4.4,11.9,70,43.8,0,88.1
lr,renaissance,140,54.3,45.7,9.13,8.8,2,4.2,13,18.2,1.4,4.3,10,70.7,39.3,0,83.6
ecologistes,renaissance,94,59.6,40.4,8.11,6.5,1.4,2.6,13.2,17.2,3.2,4.3,13.8,59.6,39.4,0,72.3
ecologistes,lfi,86,81.4,18.6,12.01,11.6,2.2,6.6,16.8,21,2.3,3.5,8.1,82.6,58.1,0,89.5
reconquete,rn,77,68.8,31.2,6.8,6.2,1.6,2.8,10.2,12.6,1.3,6.5,14.3,59.7,26,0,57.1
ecologistes,lr,64,68.8,31.3,7.54,6.8,1.4,3.6,11,14.4,3.1,4.7,15.6,68.8,25,1,82.8
ps,reconquete,58,53.4,46.6,7.04,6.1,1.8,3.8,11,13.2,0,5.2,12.1,63.8,31,0,56.9
horizons,reconquete,45,77.8,22.2,7.04,6.4,1.8,4.4,10.4,11.8,2.2,6.7,11.1,62.2,28.9,0,57.8
nouvelle_energie,reconquete,39,69.2,30.8,6.33,5,1,2.8,9.8,13.8,5.1,7.7,10.3,48.7,23.1,1,59
reconquete,renaissance,13,15.4,84.6,5.49,3.8,0.2,1,9.4,11,23.1,23.1,30.8,46.2,23.1,1,61.5
rn,rn_dissidence_16,11,63.6,36.4,9.95,7.6,6.2,7.2,14.4,14.8,0,0,0,90.9,45.5,0,81.8
lr,reconquete,10,80,20,6.1,4.8,0.4,2.2,9.4,15.6,20,20,20,40,20,0,50
lfi,reconquete,10,30,70,5.4,5.3,0.8,1,8.2,14,10,20,40,50,20,0,80
rn,rn_dissidence_20,6,50,50,7.9,7,0.4,4.2,12.6,16.2,16.7,16.7,16.7,66.7,33.3,0,50
rn,rn_dissidence_18,5,40,60,7.84,6,0,3.6,12.8,16.8,20,20,20,60,40,1,60
rn,rn_dissidence_17,4,75,25,8.1,6,0.8,2.8,19.6,19.6,0,25,25,50,25,0,75
rn,rn_dissidence_21,4,75,25,2.25,1.5,1,1.2,5,5,0,0,75,0,0,0,75
rn,rn_dissidence_19,4,75,25,2.55,2.5,1.2,2,4,4,0,0,25,0,0,0,100
rn,rn_dissidence_22,4,50,50,5.1,5.2,0.8,1.8,9.2,9.2,0,25,50,50,0,0,50
ecologistes,reconquete,3,66.7,33.3,4.2,3.8,2.8,2.8,6,6,0,0,0,33.3,0,0,66.7
rn,rn_dissidence_15,2,50,50,8,8,2.4,2.4,13.6,13.6,0,0,0,50,50,0,50
rn,rn_dissidence_23,1,100,0,14.6,14.6,14.6,14.6,14.6,14.6,0,0,0,100,100,0,100
rn,rn_dissidence_13,1,0,100,4.2,4.2,4.2,4.2,4.2,4.2,0,0,0,0,0,0,0
rn,rn_dissidence_14,1,0,100,1.8,1.8,1.8,1.8,1.8,1.8,0,0,100,0,0,0,0
