margin_d0,margin_d0.25,margin_d0.4,margin_d0.5,margin_d0.62,margin_d0.75,margin_d1,runKey,agent,finalistLeft,finalistRight,r1ScoreLeft,r1ScoreRight,r1Margin,r2ScoreLeft,r2ScoreRight,r2Margin,r2Winner,favoriteAtR1,favoriteWonR2,playerIsFinalist,playerWon,turnout,detLeftAt62,detRightAt62,detMarginAt62,detMarginAt100,detMarginAt0,retainedShareLeft,retainedShareRight,transferredShareLeft,transferredShareRight,dampingContributionToMargin
9.66,9.22,8.96,8.78,8.56,8.34,7.9,lfi:aleatoire:0,aleatoire,lfi,nouvelle_energie,21.5,13.5,8,57.1,42.9,14.2,lfi,lfi,true,true,true,72.3,54.28,45.72,8.56,7.9,9.66,61.9,38.1,22.91,23.76,-0.66
1.6,0.66,0.1,0.26,0.72,1.2,2.14,lfi:aleatoire:1,aleatoire,lfi,nouvelle_energie,15.2,14.1,1.1,47.6,52.4,4.8,nouvelle_energie,lfi,false,true,false,71.8,49.64,50.36,0.72,2.14,1.6,52.3,47.7,23.88,25.65,1.42
10.06,11.7,12.68,13.34,14.12,14.98,16.62,lfi:aleatoire:2,aleatoire,lfi,rn,21.1,13.7,7.4,52.8,47.2,5.6,lfi,lfi,true,true,true,71.2,57.06,42.94,14.12,16.62,10.06,61.2,38.8,20.64,17.8,2.5
5.82,4.3,3.38,2.76,2.04,1.24,0.3,lfi:aleatoire:3,aleatoire,lfi,horizons,16.9,12.7,4.2,48,52,4,horizons,lfi,false,true,false,71.6,51.02,48.98,2.04,0.3,5.82,58,42,22.24,25.06,-1.74
1.62,1.82,1.94,2.02,2.1,2.2,2.4,lfi:aleatoire:4,aleatoire,ps,lfi,17.8,15.9,1.9,48,52,4,lfi,ps,false,true,true,70.9,51.05,48.95,2.1,2.4,1.62,51.8,48.2,19.14,18.81,0.3
8.26,11.02,12.66,13.76,15.08,16.5,19.24,lfi:aleatoire:5,aleatoire,lfi,rn,21.1,15.2,5.9,56.3,43.7,12.6,lfi,lfi,true,true,true,71.5,57.54,42.46,15.08,19.24,8.26,58.9,41.1,21.33,16.5,4.16
0.62,0.1,0.56,0.84,1.2,1.58,2.32,lfi:aleatoire:6,aleatoire,lfi,ps,16.6,16.6,0,48.2,51.8,3.6,ps,lfi,false,true,false,70.6,49.4,50.6,1.2,2.32,0.62,50.7,49.3,18.27,19.51,1.12
12.66,12.94,13.1,13.2,13.34,13.48,13.76,lfi:aleatoire:7,aleatoire,lfi,nouvelle_energie,23.1,12.7,10.4,53.6,46.4,7.2,lfi,lfi,true,true,true,72,56.67,43.33,13.34,13.76,12.66,65.1,34.9,22.69,22.16,0.42
10.02,9.36,8.98,8.72,8.4,8.06,7.42,lfi:aleatoire:8,aleatoire,lfi,ps,21.4,14.1,7.3,47.8,52.2,4.4,ps,lfi,false,true,false,71.3,54.2,45.8,8.4,7.42,10.02,61.1,38.9,18.99,20.14,-0.98
9.22,8.22,7.62,7.22,6.74,6.22,5.22,lfi:aleatoire:9,aleatoire,lfi,renaissance,20.3,13.4,6.9,55.3,44.7,10.6,lfi,lfi,true,true,true,71.2,53.37,46.63,6.74,5.22,9.22,61,39,20.22,22.02,-1.52
9.1,8.18,7.64,7.28,6.84,6.36,5.44,lfi:aleatoire:10,aleatoire,lfi,ps,21.7,15.2,6.5,50.1,49.9,0.2,lfi,lfi,true,true,true,71.3,53.42,46.58,6.84,5.44,9.1,59.5,40.5,17.56,19.15,-1.4
3.62,3.18,2.92,2.74,2.52,2.3,1.86,lfi:aleatoire:11,aleatoire,lfi,horizons,17.6,15.1,2.5,53.4,46.6,6.8,lfi,lfi,true,true,true,71.7,51.26,48.74,2.52,1.86,3.62,54.6,45.4,22.21,23.02,-0.66
11.96,13.1,13.78,14.22,14.78,15.36,16.5,lfi:aleatoire:12,aleatoire,lfi,rn,21.9,13,8.9,59.8,40.2,19.6,lfi,lfi,true,true,true,71.4,57.39,42.61,14.78,16.5,11.96,63.3,36.7,20.4,18.42,1.72
9.28,8.4,7.88,7.54,7.12,6.68,5.82,lfi:aleatoire:13,aleatoire,lfi,nouvelle_energie,20.5,13,7.5,48.9,51.1,2.2,nouvelle_energie,lfi,false,true,false,72,53.56,46.44,7.12,5.82,9.28,61.6,38.4,22.27,23.92,-1.3
12.28,12.04,11.92,11.82,11.72,11.6,11.36,lfi:aleatoire:14,aleatoire,lfi,ps,22.7,13.9,8.8,53.1,46.9,6.2,lfi,lfi,true,true,true,71,55.86,44.14,11.72,11.36,12.28,62.8,37.2,17.97,18.36,-0.36
0.08,1.56,2.56,3.22,4.02,4.88,6.54,lfi:aleatoire:15,aleatoire,rn,lfi,16.2,15.7,0.5,51.5,48.5,3,rn,rn,true,true,false,71.1,47.99,52.01,4.02,6.54,0.08,50.1,49.9,18.44,21.26,2.52
2.26,5.02,6.66,7.76,9.08,10.52,13.28,lfi:aleatoire:16,aleatoire,lfi,rn,15.6,14.3,1.3,56.4,43.6,12.8,lfi,lfi,true,true,true,71.1,54.54,45.46,9.08,13.28,2.26,52.9,47.1,22.94,18.28,4.2
1.72,2.08,2.3,2.46,2.64,2.82,3.2,lfi:aleatoire:17,aleatoire,lfi,ps,17.1,16.3,0.8,55.8,44.2,11.6,lfi,lfi,true,true,true,70.8,51.32,48.68,2.64,3.2,1.72,51.9,48.1,19.48,18.85,0.56
4.04,4.38,4.58,4.7,4.86,5.04,5.38,lfi:aleatoire:18,aleatoire,lfi,ps,16.7,13.8,2.9,55.1,44.9,10.2,lfi,lfi,true,true,true,70.5,52.43,47.57,4.86,5.38,4.04,55,45,20.75,20.19,0.52
4.6,6,6.84,7.4,8.08,8.82,10.22,lfi:aleatoire:19,aleatoire,lfi,ps,17.3,14.4,2.9,57.3,42.7,14.6,lfi,lfi,true,true,true,70.8,54.04,45.96,8.08,10.22,4.6,55.4,44.6,20.86,18.49,2.14
7.54,7.18,6.96,6.82,6.64,6.44,6.08,lfi:aleatoire:20,aleatoire,lfi,horizons,19.8,14.1,5.7,53.4,46.6,6.8,lfi,lfi,true,true,true,71.5,53.32,46.68,6.64,6.08,7.54,59.1,40.9,21.48,22.15,-0.56
