finalistLeft,finalistRight,r2ScoreLeft,r2ScoreRight,r2Margin,r2Winner,detMarginAt62
lfi,rn,50,50,0,lfi,11.36
lfi,ps,50,50,0,lfi,6.46
lfi,nouvelle_energie,50,50,0,lfi,8.54
rn,lfi,50,50,0,rn,9.2
lfi,ps,50,50,0,lfi,8.04
lfi,ps,50,50,0,lfi,10.16
lfi,renaissance,50,50,0,lfi,11.78
lfi,ps,50,50,0,lfi,13.36
lfi,nouvelle_energie,50,50,0,lfi,7.02
lfi,ps,50,50,0,lfi,6.46
ps,horizons,50,50,0,ps,10.02
ps,rn,50,50,0,ps,8.96
ps,nouvelle_energie,50,50,0,ps,13.4
ps,horizons,50,50,0,ps,5.06
ps,renaissance,50,50,0,ps,9.08
ps,horizons,50,50,0,ps,5.82
ps,nouvelle_energie,50,50,0,ps,2.68
ps,horizons,50,50,0,ps,10.08
ps,horizons,50,50,0,ps,12.06
ps,lr,50,50,0,ps,14.08
ps,nouvelle_energie,50,50,0,ps,5.22
ps,ecologistes,50,50,0,ps,13.2
ecologistes,rn,50,50,0,ecologistes,11.36
ecologistes,ps,50,50,0,ecologistes,11.98
ecologistes,ps,50,50,0,ecologistes,3.76
ecologistes,rn,50,50,0,ecologistes,6.48
ecologistes,horizons,50,50,0,ecologistes,9.1
ps,ecologistes,50,50,0,ps,0.5
ecologistes,horizons,50,50,0,ecologistes,11.4
ecologistes,ps,50,50,0,ecologistes,10.8
ecologistes,lr,50,50,0,ecologistes,5.1
ps,ecologistes,50,50,0,ps,2.74
nouvelle_energie,ecologistes,50,50,0,nouvelle_energie,1.1
renaissance,horizons,50,50,0,renaissance,9.62
renaissance,nouvelle_energie,50,50,0,renaissance,4.36
renaissance,horizons,50,50,0,renaissance,10.16
renaissance,ps,50,50,0,renaissance,8.4
renaissance,horizons,50,50,0,renaissance,7.76
renaissance,ps,50,50,0,renaissance,13.54
renaissance,nouvelle_energie,50,50,0,renaissance,9.64
renaissance,horizons,50,50,0,renaissance,12.84
renaissance,horizons,50,50,0,renaissance,2.5
renaissance,horizons,50,50,0,renaissance,13.62
renaissance,nouvelle_energie,50,50,0,renaissance,10.46
renaissance,ps,50,50,0,renaissance,6.96
renaissance,ps,50,50,0,renaissance,5.38
renaissance,ps,50,50,0,renaissance,4.52
renaissance,ps,50,50,0,renaissance,3.4
renaissance,horizons,50,50,0,renaissance,0.78
renaissance,horizons,50,50,0,renaissance,0.36
lfi,renaissance,50,50,0,lfi,2.9
horizons,rn,50,50,0,horizons,11.9
horizons,ps,50,50,0,horizons,13.02
horizons,ps,50,50,0,horizons,5.86
horizons,ps,50,50,0,horizons,10.56
horizons,nouvelle_energie,50,50,0,horizons,10.64
horizons,nouvelle_energie,50,50,0,horizons,4.48
horizons,nouvelle_energie,50,50,0,horizons,10.78
rn,horizons,50,50,0,rn,7.92
ps,horizons,50,50,0,ps,2.08
lr,horizons,50,50,0,lr,8.18
lr,horizons,50,50,0,lr,1.7
lr,horizons,50,50,0,lr,9.44
lr,rn,50,50,0,lr,11.86
lr,rn,50,50,0,lr,12.16
ps,lr,50,50,0,ps,0.26
lr,ps,50,50,0,lr,8.36
ps,lr,50,50,0,ps,1.92
lr,horizons,50,50,0,lr,4.26
rn_dissidence_18,rn,50,50,0,rn_dissidence_18,3.18
rn,ps,50,50,0,rn,10.42
rn,ps,50,50,0,rn,3.48
rn,ps,50,50,0,rn,9.28
rn,horizons,50,50,0,rn,10.7
rn,nouvelle_energie,50,50,0,rn,5.94
rn,renaissance,50,50,0,rn,11.44
rn,horizons,50,50,0,rn,9.86
rn,renaissance,50,50,0,rn,14.9
rn,horizons,50,50,0,rn,7.52
rn,ps,50,50,0,rn,11.42
rn,nouvelle_energie,50,50,0,rn,11.22
rn,ps,50,50,0,rn,7.76
rn,nouvelle_energie,50,50,0,rn,6.4
rn,ps,50,50,0,rn,4.68
rn,nouvelle_energie,50,50,0,rn,3.8
rn,ps,50,50,0,rn,7.52
rn,renaissance,50,50,0,rn,4.2
rn,horizons,50,50,0,rn,2.14
reconquete,renaissance,50,50,0,reconquete,2.9
reconquete,nouvelle_energie,50,50,0,reconquete,2.36
ps,nouvelle_energie,50,50,0,ps,4.7
nouvelle_energie,rn,50,50,0,nouvelle_energie,10.92
nouvelle_energie,horizons,50,50,0,nouvelle_energie,11.28
nouvelle_energie,horizons,50,50,0,nouvelle_energie,6.48
nouvelle_energie,lr,50,50,0,nouvelle_energie,8.96
nouvelle_energie,horizons,50,50,0,nouvelle_energie,10.96
nouvelle_energie,horizons,50,50,0,nouvelle_energie,12.58
nouvelle_energie,horizons,50,50,0,nouvelle_energie,7.82
nouvelle_energie,ps,50,50,0,nouvelle_energie,6.84
nouvelle_energie,lr,50,50,0,nouvelle_energie,9.8
nouvelle_energie,horizons,50,50,0,nouvelle_energie,8.08
nouvelle_energie,horizons,50,50,0,nouvelle_energie,5.7
nouvelle_energie,ps,50,50,0,nouvelle_energie,10.26
nouvelle_energie,renaissance,50,50,0,nouvelle_energie,8.4
nouvelle_energie,rn,50,50,0,nouvelle_energie,10.06
nouvelle_energie,ps,50,50,0,nouvelle_energie,4.88
nouvelle_energie,rn,50,50,0,nouvelle_energie,10.3
nouvelle_energie,rn,50,50,0,nouvelle_energie,11.26
