runKey,seedPartyId,agent,withdrawals,ecologistesWithdrew,ecologistesMinViability,ecologistesMinViabilityDecisionIndex,ecologistesMaxPolling,ecologistesFinalPolling
lfi:aleatoire:0,lfi,aleatoire,0,false,0.22,24,8.93,0
lfi:aleatoire:1,lfi,aleatoire,0,false,16.85,24,9.25,0
lfi:aleatoire:2,lfi,aleatoire,0,false,9.77,24,8.97,0
lfi:aleatoire:3,lfi,aleatoire,0,false,9.77,24,9.25,0
lfi:aleatoire:4,lfi,aleatoire,1,false,9.39,24,8.85,0
lfi:aleatoire:5,lfi,aleatoire,0,false,16.06,24,8.94,0
lfi:aleatoire:6,lfi,aleatoire,0,false,10.39,24,9.71,0
lfi:aleatoire:7,lfi,aleatoire,0,false,16.01,24,8.84,0
lfi:aleatoire:8,lfi,aleatoire,0,false,0.41,24,9.97,0
lfi:aleatoire:9,lfi,aleatoire,0,false,16.08,24,9.23,0
lfi:aleatoire:10,lfi,aleatoire,0,false,11.51,25,8.93,0
lfi:aleatoire:11,lfi,aleatoire,0,false,14.84,24,9.86,0
lfi:aleatoire:12,lfi,aleatoire,0,false,10.96,26,10.08,0
lfi:aleatoire:13,lfi,aleatoire,0,false,-0.23,24,9,0
lfi:aleatoire:14,lfi,aleatoire,0,false,9.09,24,9.37,0
lfi:aleatoire:15,lfi,aleatoire,0,false,9.66,26,8.88,0
lfi:aleatoire:16,lfi,aleatoire,0,false,7.09,26,9.39,0
lfi:aleatoire:17,lfi,aleatoire,0,false,9.65,24,8.95,0
lfi:aleatoire:18,lfi,aleatoire,0,false,9.41,24,8.91,0
lfi:aleatoire:19,lfi,aleatoire,0,false,10.2,24,8.98,0
lfi:aleatoire:20,lfi,aleatoire,1,false,9.65,24,8.94,0
lfi:aleatoire:21,lfi,aleatoire,1,false,9.85,24,9.07,0
lfi:aleatoire:22,lfi,aleatoire,0,false,15.36,25,9.03,0
lfi:aleatoire:23,lfi,aleatoire,1,false,0.8,24,10.59,0
lfi:aleatoire:24,lfi,aleatoire,0,false,9.94,24,8.91,0
lfi:aleatoire:25,lfi,aleatoire,0,false,16.57,24,9.17,0
lfi:aleatoire:26,lfi,aleatoire,0,false,10.11,24,9.19,0
lfi:aleatoire:27,lfi,aleatoire,0,false,16.09,24,9.21,0
lfi:aleatoire:28,lfi,aleatoire,0,false,9.46,24,9.09,0
lfi:aleatoire:29,lfi,aleatoire,1,false,14.15,24,9.72,0
lfi:aleatoire:30,lfi,aleatoire,0,false,8.78,24,9.3,0
lfi:aleatoire:31,lfi,aleatoire,1,false,15.15,25,8.99,0
lfi:aleatoire:32,lfi,aleatoire,0,false,8.46,24,8.91,0
lfi:aleatoire:33,lfi,aleatoire,0,false,10.11,24,10.36,0
lfi:aleatoire:34,lfi,aleatoire,0,false,8.33,24,9,0
lfi:aleatoire:35,lfi,aleatoire,1,false,15.9,24,9.12,0
lfi:aleatoire:36,lfi,aleatoire,0,false,10.51,27,8.98,0
lfi:aleatoire:37,lfi,aleatoire,0,false,10.89,24,9.6,0
lfi:aleatoire:38,lfi,aleatoire,0,false,11.52,24,8.91,0
lfi:aleatoire:39,lfi,aleatoire,0,false,10.01,25,9.16,0
lfi:aleatoire:40,lfi,aleatoire,1,false,10.1,24,8.85,0
lfi:aleatoire:41,lfi,aleatoire,1,false,14.91,24,8.96,0
lfi:aleatoire:42,lfi,aleatoire,1,false,10.83,24,9.03,0
lfi:aleatoire:43,lfi,aleatoire,0,false,9.23,24,8.97,0
lfi:aleatoire:44,lfi,aleatoire,1,false,9.13,24,8.92,0
lfi:aleatoire:45,lfi,aleatoire,0,false,9.45,24,9.05,0
lfi:aleatoire:46,lfi,aleatoire,1,false,15.73,25,8.95,0
lfi:aleatoire:47,lfi,aleatoire,1,false,15.58,24,9.1,0
lfi:aleatoire:48,lfi,aleatoire,0,false,15.11,24,9.13,0
lfi:aleatoire:49,lfi,aleatoire,1,false,15.51,24,8.88,0
lfi:aleatoire:50,lfi,aleatoire,0,false,15.12,25,9.16,0
lfi:aleatoire:51,lfi,aleatoire,0,false,15.49,24,8.93,0
lfi:aleatoire:52,lfi,aleatoire,0,false,10.32,26,9.03,0
lfi:aleatoire:53,lfi,aleatoire,0,false,-0.09,24,9.16,0
lfi:aleatoire:54,lfi,aleatoire,0,false,15.07,24,9.03,0
lfi:aleatoire:55,lfi,aleatoire,0,false,9.73,25,8.94,0
lfi:aleatoire:56,lfi,aleatoire,0,false,8.95,24,8.99,0
lfi:aleatoire:57,lfi,aleatoire,0,false,8.86,26,9.64,0
lfi:aleatoire:58,lfi,aleatoire,1,false,9.07,24,10.88,0
lfi:aleatoire:59,lfi,aleatoire,0,false,9.85,24,9.27,0
lfi:aleatoire:60,lfi,aleatoire,0,false,15.51,26,8.95,0
lfi:aleatoire:61,lfi,aleatoire,0,false,10.46,25,8.89,0
lfi:aleatoire:62,lfi,aleatoire,0,false,14.88,24,9.01,0
lfi:aleatoire:63,lfi,aleatoire,0,false,10.34,24,8.91,0
lfi:aleatoire:64,lfi,aleatoire,0,false,16.22,25,8.94,0
lfi:aleatoire:65,lfi,aleatoire,0,false,9.99,24,9.04,0
lfi:aleatoire:66,lfi,aleatoire,0,false,11.22,24,9.04,0
lfi:aleatoire:67,lfi,aleatoire,0,false,9.72,24,8.88,0
lfi:aleatoire:68,lfi,aleatoire,1,false,9.8,24,8.93,0
lfi:aleatoire:69,lfi,aleatoire,1,false,14.91,26,9.03,0
lfi:aleatoire:70,lfi,aleatoire,0,false,11.49,24,9.08,0
lfi:aleatoire:71,lfi,aleatoire,1,false,10.47,24,9.03,0
lfi:aleatoire:72,lfi,aleatoire,0,false,9.63,24,9.03,0
lfi:aleatoire:73,lfi,aleatoire,0,false,9.27,24,9.15,0
lfi:aleatoire:74,lfi,aleatoire,0,false,15.05,29,9.08,0
lfi:aleatoire:75,lfi,aleatoire,0,false,16.32,24,8.98,0
lfi:aleatoire:76,lfi,aleatoire,0,false,5.62,24,9,0
lfi:aleatoire:77,lfi,aleatoire,0,false,17.58,26,9.06,0
