seedPartyId,targetPartyId,partyId,score,rank,gapToTop2,momentum,credibility,rejection,cohesion,hasAlliance,bestNaturalAllyId,bestNaturalAllyScore,viability,directCompetitorsInRace,combinedWithBestCompetitorReachesTop2,spoilerPressure
lfi,lfi,lfi,11.7,5,-2.27,57,47,59,58,false,ps,11.78,29.35,2,true,1.84
lfi,ps,ps,11.78,3,-2.2,54,64,70,53,false,lfi,11.7,32.29,2,true,1.99
lfi,ecologistes,ecologistes,9.01,8,-4.96,46,46,37,55,false,ps,11.78,20.92,2,true,1.63
lfi,renaissance,renaissance,11.77,4,-2.2,42,72,61,49,false,horizons,15.81,31.67,3,true,2.66
lfi,horizons,horizons,15.81,1,1.84,46,71,46,62,false,renaissance,11.77,43.96,3,false,2.1
lfi,lr,lr,10.79,7,-3.19,48,68,60,42,false,horizons,15.81,26.59,3,true,2.39
lfi,rn,rn,13.98,2,0,67,57,85,76,false,reconquete,3.85,37.73,3,false,1.96
lfi,reconquete,reconquete,3.85,9,-10.13,41,39,72,47,false,rn,13.98,7.32,2,true,0.86
lfi,nouvelle_energie,nouvelle_energie,11.31,6,-2.67,47,59,28,72,false,horizons,15.81,29.85,2,true,1.67
ps,lfi,lfi,11.24,5,-3.64,57,47,59,58,false,ps,11.96,27.98,2,true,1.71
ps,ps,ps,11.96,3,-2.92,54,64,70,53,false,lfi,11.24,32.11,2,true,1.91
ps,ecologistes,ecologistes,8.94,8,-5.93,46,46,37,55,false,ps,11.96,20.27,2,true,1.64
ps,renaissance,renaissance,11.28,4,-3.6,42,72,61,49,false,horizons,16.06,30.24,3,true,2.6
ps,horizons,horizons,16.06,1,1.19,46,71,46,62,false,renaissance,11.28,43.92,3,false,2
ps,lr,lr,10.73,7,-4.15,48,68,60,42,false,horizons,16.06,25.97,3,true,2.33
ps,rn,rn,14.87,2,0,67,58,85,74,false,reconquete,3.76,39.06,3,false,1.74
ps,reconquete,reconquete,3.76,9,-11.11,41,39,72,47,false,rn,14.87,6.77,2,false,0.8
ps,nouvelle_energie,nouvelle_energie,11.17,6,-3.71,47,59,28,72,false,horizons,16.06,29.08,2,true,1.64
ecologistes,lfi,lfi,11.2,5,-3.48,57,47,59,58,false,ps,12.51,28.11,2,true,1.68
ecologistes,ps,ps,12.51,3,-2.17,54,67,70,49,false,lfi,11.2,33.57,2,true,1.83
ecologistes,ecologistes,ecologistes,9.22,8,-5.46,46,46,37,55,false,ps,12.51,20.99,2,true,1.64
ecologistes,renaissance,renaissance,11.3,4,-3.38,42,72,61,49,false,horizons,15.54,30.32,3,true,2.59
ecologistes,horizons,horizons,15.54,1,0.86,46,71,46,62,false,renaissance,11.3,43,3,false,2.09
ecologistes,lr,lr,10.61,7,-4.07,48,68,60,42,false,horizons,15.54,25.8,3,true,2.35
ecologistes,rn,rn,14.68,2,0,67,58,85,74,false,reconquete,3.78,38.8,3,false,1.77
ecologistes,reconquete,reconquete,3.78,9,-10.9,41,39,72,47,false,rn,14.68,6.89,2,false,0.82
ecologistes,nouvelle_energie,nouvelle_energie,11.14,6,-3.54,47,59,28,72,false,horizons,15.54,29.07,2,true,1.67
renaissance,lfi,lfi,11.27,5,-2.61,57,47,59,58,false,ps,12.55,28.73,2,true,1.74
renaissance,ps,ps,12.55,3,-1.33,54,67,70,49,false,lfi,11.27,34.13,2,true,1.86
renaissance,ecologistes,ecologistes,8.99,8,-4.89,46,46,37,55,false,ps,12.55,21.04,2,true,1.58
renaissance,renaissance,renaissance,11.74,4,-2.14,42,72,61,49,false,horizons,15.91,31.69,3,true,2.6
renaissance,horizons,horizons,15.91,1,2.03,46,71,46,62,false,renaissance,11.74,44.22,3,false,2.06
renaissance,lr,lr,10.65,7,-3.23,48,68,60,42,false,horizons,15.91,26.4,3,true,2.36
renaissance,rn,rn,13.88,2,0,67,57,85,76,false,reconquete,3.81,37.59,3,false,1.94
renaissance,reconquete,reconquete,3.81,9,-10.07,41,39,72,47,false,rn,13.88,7.3,2,true,0.87
renaissance,nouvelle_energie,nouvelle_energie,11.19,6,-2.7,47,59,28,72,false,horizons,15.91,29.69,2,true,1.65
horizons,lfi,lfi,11.39,5,-2.86,57,47,59,58,false,ps,11.72,28.6,2,true,1.79
horizons,ps,ps,11.72,3,-2.53,54,64,70,53,false,lfi,11.39,32,2,true,1.96
horizons,ecologistes,ecologistes,9.03,8,-5.21,46,46,37,55,false,ps,11.72,20.78,2,true,1.66
horizons,renaissance,renaissance,11.47,4,-2.77,42,72,61,49,false,horizons,16.25,31.01,3,true,2.62
horizons,horizons,horizons,16.25,1,2.01,46,71,46,62,false,renaissance,11.47,44.68,3,false,1.99
horizons,lr,lr,10.76,7,-3.49,48,68,60,42,false,horizons,16.25,26.43,3,true,2.35
horizons,rn,rn,14.24,2,0,67,57,85,76,false,reconquete,3.83,38.1,3,false,1.88
horizons,reconquete,reconquete,3.83,9,-10.42,41,39,72,47,false,rn,14.24,7.17,2,true,0.84
horizons,nouvelle_energie,nouvelle_energie,11.31,6,-2.94,47,59,28,72,false,horizons,16.25,29.75,2,true,1.63
