pairId,withdrawnPartyId,partnerId,withdrawScore,maintainScore,scoreDelta,withdrawQualified,maintainQualified,qualificationChanged,withdrawWon,maintainWon,victoryChanged,finalistsChanged
cfA-lfi-aleatoire-0,reconquete,rn,77,87,-10,true,true,false,true,true,false,true
cfA-ps-aleatoire-1,reconquete,rn,96,88,8,true,true,false,true,false,true,false
cfA-rn-aleatoire-6,ecologistes,ps,89,70,19,true,true,false,true,false,true,true
cfA-nouvelle_energie-aleatoire-8,reconquete,rn,87,98,-11,true,true,false,false,true,true,false
cfA-lfi-prudent-9,reconquete,rn,93,89,4,true,true,false,true,true,false,true
cfA-nouvelle_energie-prudent-17,reconquete,rn,96,95,1,true,true,false,true,true,false,true
cfA-renaissance-risque-21,reconquete,rn,94,83,11,true,true,false,true,true,false,true
cfA-rn-risque-24,ecologistes,ps,94,94,0,true,true,false,true,true,false,false
cfA-nouvelle_energie-risque-26,reconquete,rn,94,79,15,true,true,false,true,false,true,true
cfA-lr-ideologiquement_coherent-32,ecologistes,ps,88,76,12,true,true,false,true,false,true,true
cfA-nouvelle_energie-ideologiquement_coherent-35,reconquete,rn,99,94,5,true,true,false,true,true,false,true
cfA-ps-opportuniste_electoral-37,reconquete,rn,92,86,6,true,true,false,true,true,false,false
cfA-renaissance-opportuniste_electoral-39,reconquete,rn,57,77,-20,false,true,true,false,false,false,true
cfA-lfi-parti_dabord-45,reconquete,rn,75,82,-7,true,true,false,false,false,false,true
cfA-lr-parti_dabord-50,reconquete,rn,85,85,0,true,true,false,true,false,true,true
cfA-horizons-mediatique-58,ecologistes,ps,83,81,2,true,true,false,true,true,false,false
cfA-nouvelle_energie-mediatique-62,ecologistes,ps,48,84,-36,false,true,true,false,true,true,true
cfA-rn-contrarien-69,ecologistes,ps,64,46,18,true,false,true,false,false,false,true
cfA-ps-aleatoire-73,reconquete,rn,95,81,14,true,true,false,true,true,false,false
cfA-lr-aleatoire-77,reconquete,rn,52,59,-7,false,false,false,false,false,false,true
cfA-lfi-prudent-81,reconquete,rn,79,79,0,true,true,false,false,true,true,true
cfA-renaissance-prudent-84,ecologistes,ps,81,91,-10,true,true,false,false,true,true,false
cfA-lfi-risque-90,reconquete,rn,88,87,1,true,true,false,true,true,false,false
cfA-ps-risque-91,reconquete,rn,96,98,-2,true,true,false,true,true,false,true
cfA-lr-ideologiquement_coherent-104,reconquete,rn,91,90,1,true,true,false,true,true,false,true
