pairId,relationLfi,psFinalistScore,lfiFinalistScore,psFinalistsSet,lfiFinalistsSet,reportDeltaVsNeutralRelation
cfB-ecologistes-0,-70,15.473,14.52,,,0
cfB-ecologistes-1,0,15.297,15.168,,,0
cfB-ecologistes-2,70,15.078,16.435,,,0
cfB-ecologistes-3,-70,15.513,14.547,,,0
cfB-ecologistes-4,0,15.343,15.203,,,0
cfB-ecologistes-5,70,15.226,16.452,,,0
cfB-ecologistes-6,-70,15.457,14.51,,,0
cfB-ecologistes-7,0,15.434,15.17,,,0
cfB-ecologistes-8,70,15.076,16.437,,,0
cfB-ecologistes-9,-70,15.601,14.513,,,0
cfB-ecologistes-10,0,15.292,15.172,,,0
cfB-ecologistes-11,70,15.219,16.457,,,0
cfB-ecologistes-12,-70,15.499,14.535,,,0
cfB-ecologistes-13,0,15.32,15.183,,,0
cfB-ecologistes-14,70,15.245,16.467,,,0
cfB-ecologistes-15,-70,15.611,14.518,,,0
cfB-ecologistes-16,0,15.277,15.157,,,0
cfB-ecologistes-17,70,15.147,16.489,,,0
cfB-ecologistes-18,-70,15.646,14.538,,,0
cfB-ecologistes-19,0,15.42,15.164,,,0
cfB-ecologistes-20,70,15.223,16.457,,,0
cfB-ecologistes-21,-70,15.578,14.503,,,0
cfB-ecologistes-22,0,15.481,15.212,,,0
cfB-ecologistes-23,70,15.226,16.462,,,0
cfB-ecologistes-24,-70,15.437,14.496,,,0
cfB-ecologistes-25,0,15.329,15.189,,,0
cfB-ecologistes-26,70,15.083,16.438,,,0
cfB-ecologistes-27,-70,15.657,14.544,,,0
cfB-ecologistes-28,0,15.309,15.178,,,0
cfB-ecologistes-29,70,15.051,16.41,,,0
cfB-ecologistes-30,-70,15.605,14.518,,,0
cfB-ecologistes-31,0,15.424,15.166,,,0
cfB-ecologistes-32,70,15.23,16.454,,,0
cfB-ecologistes-33,-70,15.645,14.539,,,0
cfB-ecologistes-34,0,15.288,15.166,,,0
cfB-ecologistes-35,70,15.112,16.46,,,0
cfB-ecologistes-36,-70,15.455,14.504,,,0
cfB-ecologistes-37,0,15.447,15.18,,,0
cfB-ecologistes-38,70,15.11,16.464,,,0
cfB-ecologistes-39,-70,15.595,14.506,,,0
cfB-ecologistes-40,0,15.293,15.171,,,0
cfB-ecologistes-41,70,15.214,16.438,,,0
cfB-ecologistes-42,-70,15.5,14.535,,,0
cfB-ecologistes-43,0,15.475,15.202,,,0
cfB-ecologistes-44,70,15.224,16.459,,,0
cfB-ecologistes-45,-70,15.511,14.541,,,0
cfB-ecologistes-46,0,15.292,15.172,,,0
cfB-ecologistes-47,70,15.142,16.487,,,0
cfB-ecologistes-48,-70,15.459,14.511,,,0
cfB-ecologistes-49,0,15.452,15.178,,,0
cfB-ecologistes-50,70,15.109,16.461,,,0
cfB-ecologistes-51,-70,15.475,14.52,,,0
cfB-ecologistes-52,0,15.491,15.22,,,0
cfB-ecologistes-53,70,15.208,16.441,,,0
cfB-ecologistes-54,-70,15.63,14.525,,,0
cfB-ecologistes-55,0,15.314,15.181,,,0
cfB-ecologistes-56,70,15.23,16.447,,,0
cfB-ecologistes-57,-70,15.631,14.523,,,0
cfB-ecologistes-58,0,15.452,15.194,,,0
cfB-ecologistes-59,70,15.115,16.465,,,0
cfB-ecologistes-60,-70,15.427,14.488,,,0
cfB-ecologistes-61,0,15.408,15.156,,,0
cfB-ecologistes-62,70,15.255,16.47,,,0
cfB-ecologistes-63,-70,15.602,14.522,,,0
cfB-ecologistes-64,0,15.343,15.2,,,0
cfB-ecologistes-65,70,15.101,16.45,,,0
cfB-ecologistes-66,-70,15.461,14.512,,,0
cfB-ecologistes-67,0,15.494,15.217,,,0
cfB-ecologistes-68,70,15.097,16.443,,,0
cfB-ecologistes-69,-70,15.638,14.539,,,0
cfB-ecologistes-70,0,15.412,15.164,,,0
cfB-ecologistes-71,70,15.094,16.449,,,0
cfB-ecologistes-72,-70,15.585,14.509,,,0
cfB-ecologistes-73,0,15.441,15.181,,,0
cfB-ecologistes-74,70,15.072,16.435,,,0
cfB-ecologistes-75,-70,15.472,14.514,,,0
cfB-ecologistes-76,0,15.451,15.192,,,0
cfB-ecologistes-77,70,15.141,16.483,,,0
cfB-ecologistes-78,-70,15.589,14.501,,,0
cfB-ecologistes-79,0,15.282,15.16,,,0
cfB-ecologistes-80,70,15.102,16.452,,,0
cfB-ecologistes-81,-70,15.61,14.526,,,0
cfB-ecologistes-82,0,15.351,15.213,,,0
cfB-ecologistes-83,70,15.096,16.445,,,0
cfB-ecologistes-84,-70,15.466,14.513,,,0
cfB-ecologistes-85,0,15.286,15.164,,,0
cfB-ecologistes-86,70,15.063,16.426,,,0
cfB-ecologistes-87,-70,15.621,14.52,,,0
cfB-ecologistes-88,0,15.276,15.155,,,0
cfB-ecologistes-89,70,15.049,16.411,,,0
cfB-ecologistes-90,-70,15.44,14.496,,,0
cfB-ecologistes-91,0,15.279,15.16,,,0
cfB-ecologistes-92,70,15.121,16.472,,,0
cfB-ecologistes-93,-70,15.46,14.514,,,0
cfB-ecologistes-94,0,15.279,15.154,,,0
cfB-ecologistes-95,70,15.201,16.432,,,0
cfB-ecologistes-96,-70,15.506,14.542,,,0
cfB-ecologistes-97,0,15.302,15.176,,,0
cfB-ecologistes-98,70,15.226,16.46,,,0
cfB-ecologistes-99,-70,15.606,14.511,,,0
cfB-ecologistes-100,0,15.311,15.18,,,0
cfB-ecologistes-101,70,15.232,16.457,,,0
cfB-ecologistes-102,-70,15.494,14.53,,,0
cfB-ecologistes-103,0,15.427,15.176,,,0
cfB-ecologistes-104,70,15.098,16.45,,,0
cfB-ecologistes-105,-70,15.441,14.497,,,0
cfB-ecologistes-106,0,15.302,15.174,,,0
cfB-ecologistes-107,70,15.234,16.457,,,0
cfB-ecologistes-108,-70,15.487,14.528,,,0
cfB-ecologistes-109,0,15.281,15.165,,,0
cfB-ecologistes-110,70,15.106,16.456,,,0
cfB-ecologistes-111,-70,15.457,14.511,,,0
cfB-ecologistes-112,0,15.342,15.201,,,0
cfB-ecologistes-113,70,15.2,16.444,,,0
cfB-ecologistes-114,-70,15.447,14.506,,,0
cfB-ecologistes-115,0,15.298,15.171,,,0
cfB-ecologistes-116,70,15.108,16.457,,,0
cfB-ecologistes-117,-70,15.637,14.53,,,0
cfB-ecologistes-118,0,15.432,15.182,,,0
cfB-ecologistes-119,70,15.059,16.417,,,0
cfB-ecologistes-120,-70,15.598,14.509,,,0
cfB-ecologistes-121,0,15.299,15.173,,,0
cfB-ecologistes-122,70,15.089,16.445,,,0
cfB-ecologistes-123,-70,15.529,14.554,,,0
cfB-ecologistes-124,0,15.323,15.19,,,0
cfB-ecologistes-125,70,15.098,16.448,,,0
cfB-ecologistes-126,-70,15.48,14.524,,,0
cfB-ecologistes-127,0,15.313,15.184,,,0
cfB-ecologistes-128,70,15.249,16.463,,,0
cfB-ecologistes-129,-70,15.615,14.515,,,0
cfB-ecologistes-130,0,15.316,15.181,,,0
cfB-ecologistes-131,70,15.045,16.409,,,0
cfB-ecologistes-132,-70,15.498,14.536,,,0
cfB-ecologistes-133,0,15.466,15.194,,,0
cfB-ecologistes-134,70,15.23,16.453,,,0
cfB-ecologistes-135,-70,15.455,14.509,,,0
cfB-ecologistes-136,0,15.261,15.147,,,0
cfB-ecologistes-137,70,15.229,16.462,,,0
cfB-ecologistes-138,-70,15.619,14.531,,,0
cfB-ecologistes-139,0,15.289,15.163,,,0
cfB-ecologistes-140,70,15.041,16.41,,,0
cfB-ecologistes-141,-70,15.614,14.514,,,0
cfB-ecologistes-142,0,15.333,15.198,,,0
cfB-ecologistes-143,70,15.254,16.467,,,0
cfB-ecologistes-144,-70,15.606,14.522,,,0
cfB-ecologistes-145,0,15.436,15.178,,,0
cfB-ecologistes-146,70,15.199,16.425,,,0
cfB-ecologistes-147,-70,15.496,14.534,,,0
cfB-ecologistes-148,0,15.289,15.162,,,0
cfB-ecologistes-149,70,15.211,16.443,,,0
cfB-ecologistes-150,-70,15.483,14.526,,,0
cfB-ecologistes-151,0,15.464,15.193,,,0
cfB-ecologistes-152,70,15.104,16.459,,,0
cfB-ecologistes-153,-70,15.595,14.505,,,0
cfB-ecologistes-154,0,15.427,15.17,,,0
cfB-ecologistes-155,70,15.106,16.454,,,0
cfB-ecologistes-156,-70,15.591,14.508,,,0
cfB-ecologistes-157,0,15.47,15.193,,,0
cfB-ecologistes-158,70,15.079,16.438,,,0
cfB-ecologistes-159,-70,15.575,14.495,,,0
cfB-ecologistes-160,0,15.291,15.171,,,0
cfB-ecologistes-161,70,15.183,16.421,,,0
cfB-ecologistes-162,-70,15.621,14.534,,,0
cfB-ecologistes-163,0,15.405,15.157,,,0
cfB-ecologistes-164,70,15.218,16.447,,,0
cfB-ecologistes-165,-70,15.573,14.498,,,0
cfB-ecologistes-166,0,15.436,15.177,,,0
cfB-ecologistes-167,70,15.117,16.468,,,0
cfB-ecologistes-168,-70,15.614,14.528,,,0
cfB-ecologistes-169,0,15.318,15.182,,,0
cfB-ecologistes-170,70,15.26,16.485,,,0
cfB-ecologistes-171,-70,15.438,14.494,,,0
cfB-ecologistes-172,0,15.473,15.206,,,0
cfB-ecologistes-173,70,15.097,16.453,,,0
cfB-ecologistes-174,-70,15.655,14.542,,,0
cfB-ecologistes-175,0,15.464,15.193,,,0
cfB-ecologistes-176,70,15.076,16.431,,,0
cfB-ecologistes-177,-70,15.492,14.529,,,0
cfB-ecologistes-178,0,15.293,15.172,,,0
cfB-ecologistes-179,70,15.11,16.454,,,0
cfB-ecologistes-180,-70,15.624,14.52,,,0
cfB-ecologistes-181,0,15.271,15.154,,,0
cfB-ecologistes-182,70,15.246,16.464,,,0
cfB-ecologistes-183,-70,15.491,14.526,,,0
cfB-ecologistes-184,0,15.268,15.149,,,0
cfB-ecologistes-185,70,15.202,16.437,,,0
cfB-ecologistes-186,-70,15.579,14.49,,,0
cfB-ecologistes-187,0,15.325,15.193,,,0
cfB-ecologistes-188,70,15.245,16.466,,,0
cfB-ecologistes-189,-70,15.524,14.551,,,0
cfB-ecologistes-190,0,15.311,15.182,,,0
cfB-ecologistes-191,70,15.2,16.429,,,0
cfB-ecologistes-192,-70,15.461,14.507,,,0
cfB-ecologistes-193,0,15.439,15.183,,,0
cfB-ecologistes-194,70,15.202,16.44,,,0
cfB-ecologistes-195,-70,15.603,14.516,,,0
cfB-ecologistes-196,0,15.249,15.14,,,0
cfB-ecologistes-197,70,15.137,16.485,,,0
cfB-ecologistes-198,-70,15.634,14.528,,,0
cfB-ecologistes-199,0,15.313,15.183,,,0
cfB-ecologistes-200,70,15.101,16.45,,,0
cfB-ecologistes-201,-70,15.625,14.533,,,0
cfB-ecologistes-202,0,15.339,15.201,,,0
cfB-ecologistes-203,70,15.069,16.431,,,0
cfB-ecologistes-204,-70,15.619,14.531,,,0
cfB-ecologistes-205,0,15.423,15.175,,,0
cfB-ecologistes-206,70,15.242,16.463,,,0
cfB-ecologistes-207,-70,15.457,14.513,,,0
cfB-ecologistes-208,0,15.298,15.172,,,0
cfB-ecologistes-209,70,15.093,16.446,,,0
cfB-ecologistes-210,-70,15.45,14.5,,,0
cfB-ecologistes-211,0,15.472,15.194,,,0
cfB-ecologistes-212,70,15.064,16.426,,,0
cfB-ecologistes-213,-70,15.508,14.541,,,0
cfB-ecologistes-214,0,15.288,15.168,,,0
cfB-ecologistes-215,70,15.2,16.443,,,0
cfB-ecologistes-216,-70,15.581,14.507,,,0
cfB-ecologistes-217,0,15.481,15.199,,,0
cfB-ecologistes-218,70,15.093,16.447,,,0
cfB-ecologistes-219,-70,15.505,14.542,,,0
cfB-ecologistes-220,0,15.475,15.209,,,0
cfB-ecologistes-221,70,15.226,16.446,,,0
cfB-ecologistes-222,-70,15.483,14.523,,,0
cfB-ecologistes-223,0,15.351,15.206,,,0
cfB-ecologistes-224,70,15.109,16.459,,,0
cfB-ecologistes-225,-70,15.603,14.515,,,0
cfB-ecologistes-226,0,15.34,15.202,,,0
cfB-ecologistes-227,70,15.236,16.468,,,0
cfB-ecologistes-228,-70,15.477,14.521,,,0
cfB-ecologistes-229,0,15.27,15.151,,,0
cfB-ecologistes-230,70,15.107,16.46,,,0
cfB-ecologistes-231,-70,15.592,14.503,,,0
cfB-ecologistes-232,0,15.424,15.171,,,0
cfB-ecologistes-233,70,15.219,16.441,,,0
cfB-ecologistes-234,-70,15.596,14.505,,,0
cfB-ecologistes-235,0,15.322,15.194,,,0
cfB-ecologistes-236,70,15.084,16.442,,,0
cfB-ecologistes-237,-70,15.485,14.525,,,0
cfB-ecologistes-238,0,15.297,15.167,,,0
cfB-ecologistes-239,70,15.121,16.47,,,0
cfB-ecologistes-240,-70,15.47,14.514,,,0
cfB-ecologistes-241,0,15.281,15.162,,,0
cfB-ecologistes-242,70,15.237,16.461,,,0
cfB-ecologistes-243,-70,15.575,14.502,,,0
cfB-ecologistes-244,0,15.428,15.178,,,0
cfB-ecologistes-245,70,15.109,16.457,,,0
cfB-ecologistes-246,-70,15.607,14.526,,,0
cfB-ecologistes-247,0,15.313,15.185,,,0
cfB-ecologistes-248,70,15.089,16.439,,,0
cfB-ecologistes-249,-70,15.474,14.521,,,0
cfB-ecologistes-250,0,15.297,15.174,,,0
cfB-ecologistes-251,70,15.21,16.441,,,0
cfB-ecologistes-252,-70,15.608,14.522,,,0
cfB-ecologistes-253,0,15.353,15.206,,,0
cfB-ecologistes-254,70,15.252,16.469,,,0
cfB-ecologistes-255,-70,15.481,14.524,,,0
cfB-ecologistes-256,0,15.31,15.18,,,0
cfB-ecologistes-257,70,15.222,16.457,,,0
cfB-ecologistes-258,-70,15.582,14.504,,,0
cfB-ecologistes-259,0,15.308,15.18,,,0
cfB-ecologistes-260,70,15.077,16.433,,,0
cfB-ecologistes-261,-70,15.606,14.523,,,0
cfB-ecologistes-262,0,15.429,15.175,,,0
cfB-ecologistes-263,70,15.244,16.477,,,0
cfB-ecologistes-264,-70,15.49,14.529,,,0
cfB-ecologistes-265,0,15.446,15.178,,,0
cfB-ecologistes-266,70,15.103,16.454,,,0
cfB-ecologistes-267,-70,15.483,14.529,,,0
cfB-ecologistes-268,0,15.311,15.183,,,0
cfB-ecologistes-269,70,15.093,16.449,,,0
cfB-ecologistes-270,-70,15.635,14.528,,,0
cfB-ecologistes-271,0,15.464,15.189,,,0
cfB-ecologistes-272,70,15.212,16.447,,,0
cfB-ecologistes-273,-70,15.644,14.539,,,0
cfB-ecologistes-274,0,15.302,15.178,,,0
cfB-ecologistes-275,70,15.186,16.425,,,0
cfB-ecologistes-276,-70,15.442,14.5,,,0
cfB-ecologistes-277,0,15.464,15.197,,,0
cfB-ecologistes-278,70,15.236,16.46,,,0
cfB-ecologistes-279,-70,15.5,14.538,,,0
cfB-ecologistes-280,0,15.265,15.147,,,0
cfB-ecologistes-281,70,15.214,16.449,,,0
cfB-ecologistes-282,-70,15.638,14.535,,,0
cfB-ecologistes-283,0,15.475,15.2,,,0
cfB-ecologistes-284,70,15.136,16.481,,,0
cfB-ecologistes-285,-70,15.442,14.501,,,0
cfB-ecologistes-286,0,15.324,15.189,,,0
cfB-ecologistes-287,70,15.236,16.462,,,0
cfB-ecologistes-288,-70,15.473,14.515,,,0
cfB-ecologistes-289,0,15.417,15.165,,,0
cfB-ecologistes-290,70,15.203,16.444,,,0
cfB-ecologistes-291,-70,15.482,14.525,,,0
