scenario,blocId,withdrawingPartyId,releasedShareBefore,undecidedBefore,undecidedAfter,undecidedDelta,predictedAbstentionProbability,predictedToUndecided,undecidedClampHit,sumLatentSupportAfter,anyNegative,anyNaN
no_relation_no_alliance,young_urban_graduates,ecologistes,13.199,19.1,23.239,4.139,0.3136,4.139,false,100,false,false
no_relation_no_alliance,young_precarious,ecologistes,10.624,21.66,24.992,3.332,0.3136,3.332,false,100,false,false
no_relation_no_alliance,rural_working_class,ecologistes,8.427,17.34,19.983,2.643,0.3136,2.643,false,100,false,false
no_relation_no_alliance,urban_working_class,ecologistes,10.168,19.74,22.929,3.189,0.3136,3.189,false,100,false,false
no_relation_no_alliance,middle_class_workers,ecologistes,9.76,16.7,19.761,3.061,0.3136,3.061,false,100,false,false
no_relation_no_alliance,executives,ecologistes,10.602,14.46,17.785,3.325,0.3136,3.325,false,100,false,false
no_relation_no_alliance,entrepreneurs,ecologistes,8.007,15.9,18.411,2.511,0.3136,2.511,false,100,false,false
no_relation_no_alliance,public_services,ecologistes,11.496,15.42,19.025,3.605,0.3136,3.605,false,100,false,false
no_relation_no_alliance,moderate_retirees,ecologistes,8.606,12.54,15.239,2.699,0.3136,2.699,false,100,false,false
no_relation_no_alliance,conservative_retirees,ecologistes,7.518,11.9,14.258,2.358,0.3136,2.358,false,100,false,false
no_relation_no_alliance,green_progressives,ecologistes,14.466,17.02,21.557,4.537,0.3136,4.537,false,100,false,false
no_relation_no_alliance,mobilisable_abstainers,ecologistes,9.979,22.94,26.07,3.13,0.3136,3.13,false,100,false,false
strong_positive_relation,young_urban_graduates,ecologistes,13.226,19.1,23.248,4.148,0.3136,4.148,false,100,false,false
strong_positive_relation,young_precarious,ecologistes,10.651,21.66,25,3.34,0.3136,3.34,false,100,false,false
strong_positive_relation,rural_working_class,ecologistes,8.454,17.34,19.991,2.651,0.3136,2.651,false,100,false,false
strong_positive_relation,urban_working_class,ecologistes,10.197,19.74,22.938,3.198,0.3136,3.198,false,100,false,false
strong_positive_relation,middle_class_workers,ecologistes,9.795,16.7,19.772,3.072,0.3136,3.072,false,100,false,false
strong_positive_relation,executives,ecologistes,10.634,14.46,17.795,3.335,0.3136,3.335,false,100,false,false
