runKey,seedPartyId,agent,collapseWithdrawals,strategicWithdrawals,negotiationsOpened,negotiationsFailed,negotiationsMaintained,nationalEndorsements,ecologistesStrategicWithdrawal,ecologistesBeneficiary,ecologistesCollapseWithdrawal,ecologistesMaintainedToEnd,qualified,won
lfi:aleatoire:0,lfi,aleatoire,0,1,1,0,0,0,false,,false,true,true,false
lfi:aleatoire:1,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,false
lfi:aleatoire:2,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:3,lfi,aleatoire,0,0,1,1,0,0,false,,false,true,true,false
lfi:aleatoire:4,lfi,aleatoire,1,0,0,0,0,0,false,,false,true,true,false
lfi:aleatoire:5,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,false
lfi:aleatoire:6,lfi,aleatoire,1,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:7,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,false,false
lfi:aleatoire:8,lfi,aleatoire,0,1,1,0,0,0,false,,false,true,true,true
lfi:aleatoire:9,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:10,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,false
lfi:aleatoire:11,lfi,aleatoire,0,0,1,1,0,0,false,,false,true,true,false
lfi:aleatoire:12,lfi,aleatoire,0,1,1,0,0,0,false,,false,true,true,true
lfi:aleatoire:13,lfi,aleatoire,1,0,0,0,0,0,false,,false,true,true,false
lfi:aleatoire:14,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,false
lfi:aleatoire:15,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,false
lfi:aleatoire:16,lfi,aleatoire,0,1,1,0,0,0,false,,false,true,true,true
lfi:aleatoire:17,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:18,lfi,aleatoire,0,0,1,1,0,0,false,,false,true,true,true
lfi:aleatoire:19,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:20,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:21,lfi,aleatoire,0,0,0,0,0,1,false,,false,true,true,false
lfi:aleatoire:22,lfi,aleatoire,1,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:23,lfi,aleatoire,1,0,0,0,0,0,false,,false,true,true,false
lfi:aleatoire:24,lfi,aleatoire,0,1,1,0,0,0,false,,false,true,true,true
lfi:aleatoire:25,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,false
lfi:aleatoire:26,lfi,aleatoire,0,1,1,0,0,1,false,,false,true,true,true
lfi:aleatoire:27,lfi,aleatoire,0,0,1,1,0,0,false,,false,true,true,true
lfi:aleatoire:28,lfi,aleatoire,0,0,1,1,0,0,false,,false,true,true,true
lfi:aleatoire:29,lfi,aleatoire,0,1,1,0,0,1,false,,false,true,true,true
lfi:aleatoire:30,lfi,aleatoire,0,1,1,0,0,0,false,,false,true,true,true
lfi:aleatoire:31,lfi,aleatoire,0,0,1,1,0,0,false,,false,true,true,true
lfi:aleatoire:32,lfi,aleatoire,1,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:33,lfi,aleatoire,1,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:34,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:35,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:36,lfi,aleatoire,1,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:37,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:38,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,false
lfi:aleatoire:39,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:40,lfi,aleatoire,0,0,1,1,0,0,false,,false,true,true,true
lfi:aleatoire:41,lfi,aleatoire,1,0,0,0,0,0,false,,false,true,true,false
lfi:aleatoire:42,lfi,aleatoire,1,0,1,1,0,0,false,,false,true,true,false
lfi:aleatoire:43,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:44,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,false
lfi:aleatoire:45,lfi,aleatoire,0,0,0,0,0,1,false,,false,true,true,false
lfi:aleatoire:46,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,false,false
lfi:aleatoire:47,lfi,aleatoire,1,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:48,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:49,lfi,aleatoire,1,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:50,lfi,aleatoire,0,0,1,1,0,0,false,,false,true,false,false
lfi:aleatoire:51,lfi,aleatoire,0,1,1,0,0,0,false,,false,true,true,true
lfi:aleatoire:52,lfi,aleatoire,1,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:53,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:54,lfi,aleatoire,1,0,0,0,0,1,false,,false,true,true,true
lfi:aleatoire:55,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,false
lfi:aleatoire:56,lfi,aleatoire,1,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:57,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:58,lfi,aleatoire,0,0,0,0,0,1,false,,false,true,true,true
lfi:aleatoire:59,lfi,aleatoire,0,0,1,1,0,1,false,,false,true,true,false
lfi:aleatoire:60,lfi,aleatoire,0,0,0,0,0,0,false,,false,true,true,true
lfi:aleatoire:61,lfi,aleatoire,0,0,0,0,0,1,false,,false,true,true,false
lfi:aleatoire:62,lfi,aleatoire,1,0,0,0,0,0,false,,false,true,true,false
lfi:aleatoire:63,lfi,aleatoire,0,0,0,0,0,1,false,,false,true,true,false
