runKey,decisionIndex,kind,partyId,releasedShare
lfi:aleatoire:0,16,strategic_withdrawal,reconquete,3.871
lfi:aleatoire:4,20,withdrawal,reconquete,2.455
lfi:aleatoire:6,20,withdrawal,reconquete,2.987
lfi:aleatoire:8,18,strategic_withdrawal,reconquete,3.945
lfi:aleatoire:12,17,strategic_withdrawal,reconquete,3.683
lfi:aleatoire:13,14,withdrawal,reconquete,3.771
lfi:aleatoire:16,19,strategic_withdrawal,reconquete,3.626
lfi:aleatoire:22,17,withdrawal,reconquete,2.93
lfi:aleatoire:23,21,withdrawal,reconquete,3.491
lfi:aleatoire:24,20,strategic_withdrawal,reconquete,3.169
lfi:aleatoire:26,13,strategic_withdrawal,reconquete,3.66
lfi:aleatoire:29,18,strategic_withdrawal,reconquete,3.724
lfi:aleatoire:30,18,strategic_withdrawal,reconquete,3.763
lfi:aleatoire:32,15,withdrawal,reconquete,3.522
lfi:aleatoire:33,17,withdrawal,reconquete,3.757
lfi:aleatoire:36,17,withdrawal,reconquete,3.391
lfi:aleatoire:41,23,withdrawal,reconquete,2.538
lfi:aleatoire:42,19,withdrawal,reconquete,3.42
lfi:aleatoire:47,14,withdrawal,reconquete,3.514
lfi:aleatoire:49,17,withdrawal,reconquete,3.585
lfi:aleatoire:51,21,strategic_withdrawal,reconquete,3.211
lfi:aleatoire:52,19,withdrawal,rn,12.772
lfi:aleatoire:54,17,withdrawal,reconquete,3.925
lfi:aleatoire:56,14,withdrawal,reconquete,3.809
lfi:aleatoire:62,16,withdrawal,reconquete,3.789
lfi:aleatoire:67,21,strategic_withdrawal,reconquete,3.366
lfi:aleatoire:68,14,withdrawal,reconquete,3.938
lfi:aleatoire:71,19,withdrawal,reconquete,3.051
lfi:aleatoire:79,13,strategic_withdrawal,reconquete,3.554
lfi:aleatoire:80,15,strategic_withdrawal,reconquete,3.601
lfi:aleatoire:86,14,strategic_withdrawal,reconquete,3.681
lfi:aleatoire:90,19,withdrawal,reconquete,3.138
lfi:aleatoire:93,22,withdrawal,reconquete,3.499
lfi:aleatoire:98,11,strategic_withdrawal,reconquete,3.592
lfi:aleatoire:102,19,withdrawal,reconquete,3.184
lfi:aleatoire:110,13,withdrawal,reconquete,3.355
lfi:aleatoire:112,14,strategic_withdrawal,reconquete,3.403
lfi:aleatoire:118,12,strategic_withdrawal,reconquete,3.638
lfi:aleatoire:124,14,withdrawal,ps,12.514
lfi:aleatoire:128,15,strategic_withdrawal,reconquete,3.725
lfi:aleatoire:135,19,withdrawal,reconquete,3.346
lfi:aleatoire:137,16,withdrawal,reconquete,3.308
lfi:aleatoire:139,16,strategic_withdrawal,reconquete,3.683
lfi:aleatoire:142,20,strategic_withdrawal,reconquete,3.45
lfi:aleatoire:145,16,withdrawal,reconquete,3.417
lfi:aleatoire:147,17,withdrawal,reconquete,3.59
lfi:prudent:2,20,strategic_withdrawal,reconquete,3.4
lfi:prudent:3,15,withdrawal,reconquete,3.44
lfi:prudent:4,19,strategic_withdrawal,reconquete,3.311
lfi:prudent:8,16,withdrawal,reconquete,3.569
lfi:prudent:9,14,withdrawal,reconquete,3.582
lfi:prudent:10,13,withdrawal,reconquete,3.242
