runKey,decisionIndex,kind,partyId,maxShockPoints,crossesActiveSetBoundary
lfi:aleatoire:0,16,strategic_withdrawal,reconquete,3.871,false
lfi:aleatoire:4,20,withdrawal,reconquete,2.455,false
lfi:aleatoire:6,20,withdrawal,reconquete,2.987,false
lfi:aleatoire:8,18,strategic_withdrawal,reconquete,3.945,false
lfi:aleatoire:12,17,strategic_withdrawal,reconquete,3.683,false
lfi:aleatoire:13,14,withdrawal,reconquete,3.771,false
lfi:aleatoire:16,19,strategic_withdrawal,reconquete,3.626,false
lfi:aleatoire:22,17,withdrawal,reconquete,2.93,false
lfi:aleatoire:23,21,withdrawal,reconquete,3.491,false
lfi:aleatoire:24,20,strategic_withdrawal,reconquete,3.169,false
lfi:aleatoire:26,13,strategic_withdrawal,reconquete,3.66,false
lfi:aleatoire:29,18,strategic_withdrawal,reconquete,3.724,false
lfi:aleatoire:30,18,strategic_withdrawal,reconquete,3.763,false
lfi:aleatoire:32,15,withdrawal,reconquete,3.522,true
lfi:aleatoire:33,17,withdrawal,reconquete,3.757,false
lfi:aleatoire:36,17,withdrawal,reconquete,3.391,false
lfi:aleatoire:41,23,withdrawal,reconquete,37.053,true
lfi:aleatoire:42,19,withdrawal,reconquete,3.42,false
lfi:aleatoire:47,14,withdrawal,reconquete,3.514,false
lfi:aleatoire:49,17,withdrawal,reconquete,3.585,false
lfi:aleatoire:51,21,strategic_withdrawal,reconquete,3.211,false
lfi:aleatoire:52,19,withdrawal,rn,12.772,false
lfi:aleatoire:54,17,withdrawal,reconquete,3.925,false
lfi:aleatoire:56,14,withdrawal,reconquete,3.809,false
lfi:aleatoire:62,16,withdrawal,reconquete,3.789,false
lfi:aleatoire:67,21,strategic_withdrawal,reconquete,3.366,false
lfi:aleatoire:68,14,withdrawal,reconquete,3.938,false
lfi:aleatoire:71,19,withdrawal,reconquete,3.051,false
lfi:aleatoire:79,13,strategic_withdrawal,reconquete,3.554,false
lfi:aleatoire:80,15,strategic_withdrawal,reconquete,3.601,true
lfi:aleatoire:86,14,strategic_withdrawal,reconquete,3.681,false
lfi:aleatoire:90,19,withdrawal,reconquete,3.138,false
lfi:aleatoire:93,22,withdrawal,reconquete,3.499,false
lfi:aleatoire:98,11,strategic_withdrawal,reconquete,3.592,false
lfi:aleatoire:102,19,withdrawal,reconquete,3.184,false
lfi:aleatoire:110,13,withdrawal,reconquete,3.355,false
