runKey,seedPartyId,agent,withdrawnPartyId,decisionIndex,pollingAtWithdrawal,legitimacyAtWithdrawal,cohesionAtWithdrawal,rankAtWithdrawal,triggerLowPolling,triggerLowLegitimacy,viabilityAtWithdrawal,gapToTop2AtWithdrawal,spoilerPressureAtWithdrawal,hasNaturalAllyBetterPlaced,bestNaturalAllyId,nationalShockPoints,rankFlipped
lfi:aleatoire:4,lfi,aleatoire,reconquete,18,3.22,72,48.1,9,true,false,5.38,-11.86,1.05,true,rn,3.22,false
lfi:aleatoire:20,lfi,aleatoire,reconquete,18,3.37,72,46.81,9,true,false,6.22,-12.02,0.9,true,rn,3.37,false
lfi:aleatoire:21,lfi,aleatoire,reconquete,23,3.11,61.87,44.09,9,true,false,4.97,-12.39,0.91,true,rn,39.6,false
lfi:aleatoire:23,lfi,aleatoire,reconquete,17,3.54,72,46.26,9,true,false,7.23,-10.11,0.82,true,rn,3.54,false
lfi:aleatoire:29,lfi,aleatoire,reconquete,19,3.64,72,47.3,9,true,false,6.67,-11.83,0.91,true,rn,3.64,false
lfi:aleatoire:31,lfi,aleatoire,reconquete,21,3.02,72,36.09,9,true,false,5.51,-11.65,0.91,true,rn,3.02,false
lfi:aleatoire:35,lfi,aleatoire,reconquete,23,3.27,54.56,40.91,9,true,false,6.03,-11.65,0.91,true,rn,37.14,false
lfi:aleatoire:40,lfi,aleatoire,reconquete,17,3.55,72,48.1,9,true,false,6.04,-12.27,0.97,true,rn,3.55,false
lfi:aleatoire:41,lfi,aleatoire,reconquete,14,3.81,72,47.3,9,true,false,7.84,-10.52,0.89,true,rn,3.81,false
lfi:aleatoire:42,lfi,aleatoire,reconquete,16,3.79,72,48.46,9,true,false,7.4,-10.64,0.96,true,rn,3.79,false
lfi:aleatoire:44,lfi,aleatoire,reconquete,21,3.48,72,50.35,9,true,false,5.83,-12.15,0.9,true,rn,3.48,false
lfi:aleatoire:46,lfi,aleatoire,reconquete,13,3.62,72,47.3,9,true,false,6.64,-11.32,0.94,true,rn,3.62,false
lfi:aleatoire:47,lfi,aleatoire,reconquete,22,3.64,72,48.7,9,true,false,6.87,-11.18,0.95,true,rn,3.64,false
lfi:aleatoire:49,lfi,aleatoire,reconquete,22,3.03,55.76,40.55,9,true,false,5.54,-11.96,0.88,true,rn,3.03,false
lfi:aleatoire:58,lfi,aleatoire,reconquete,22,3.49,72,49.5,9,true,false,6.98,-10.49,0.91,true,rn,3.49,false
lfi:aleatoire:68,lfi,aleatoire,reconquete,15,3.39,72,47.05,9,true,false,6.37,-10.56,0.85,true,rn,3.39,false
lfi:aleatoire:69,lfi,aleatoire,reconquete,14,3.06,55.36,39.38,9,true,false,5.02,-12.21,0.84,true,rn,3.06,false
