runKey,partyId,partyProfile,partyKind,profile,agent,seedIndex,seed,methodId,decisions,qualified,won,endingId,finalScore,firstRoundScore,secondRoundScore,progressionNormalized,startingPolling,playerRank,rivalPartyId,minPolling,maxPolling,minRank,maxRank,qualificationZoneCrossings,marginToNextCandidateFirstRound,achievementsCount,alliancesFormed,candidateReplacementsObserved,actorMemoryEntries,statementCount,contradictionCount,abruptReversalCount,narrativeThreadsStarted,narrativeThreadsResolved,narrativeThreadsFailed,ideologyMoveEconomy,ideologyMoveSociety,ideologyMoveEurope,ideologyMoveEcology,ideologyMoveAuthority,ideologyMoveImmigration,ideologyMoveTotal,rareEventEncountered,rareEventCount,chainEventCount,secondRoundReached,ownRejectionAtSecondRound,opponentRejectionAtSecondRound,hasOpponentConflict,isComeback,isCollapse,resultCategory,weakCardCount,maxWeakCardStreak,memorableSignalCount,opponentActionsTotal,opponentActionsStrategy,opponentActionsCrisis,opponentActionsAlliance,opponentActionsEndorsement,opponentActionsReplacement,opponentActionsOther,totalNarrativeChars,bestDecisionIndex,costliestDecisionIndex
lfi:strategist:0,lfi,lfi,existing,strategist,parti_dabord,0,fun-audit-0,field_first,25,false,false,kingmaker,55,12.6,,-0.031,13.9,3,rn,9.1,15.1,1,8,6,0.9,12,0,0,1,8,0,0,3,1,0,3.51,1.68,0,0,3.01,4.3,12.5,false,0,3,false,,,true,false,false,elimination_precoce,1,1,3,63,54,5,1,3,0,0,12325,16,14
lfi:strategist:1,lfi,lfi,existing,strategist,parti_dabord,1,fun-audit-1,presidential,25,false,false,kingmaker,54,13.1,,0.007,8,3,nouvelle_energie,8,14.45,1,8,5,0.6,12,0,0,3,8,1,0,1,0,0,2.98,2.4,0.35,0,0.7,4.3,10.73,false,0,2,false,,,true,false,false,elimination_precoce,2,1,3,58,49,4,2,3,0,0,12832,18,
lfi:strategist:2,lfi,lfi,existing,strategist,parti_dabord,2,fun-audit-2,rupture,31,true,true,president,85,18.5,54.1,0.367,14.2,1,horizons,10.2,16.36,1,7,8,5.4,19,0,0,3,8,0,0,1,1,0,1.91,2.55,3.4,0,1.99,8.25,18.1,true,1,2,true,76,47.1,true,false,false,victoire_serree,2,1,4,73,63,6,2,2,0,0,15736,22,
lfi:strategist:3,lfi,lfi,existing,strategist,parti_dabord,3,fun-audit-3,digital,29,true,false,runoff_defeat,69,15,42.9,0.133,9.9,1,horizons,9.2,15.8,1,8,5,3.2,14,0,0,2,9,0,0,0,0,0,3.18,2.55,3.83,2.13,2.2,5.01,18.9,true,1,0,true,79.60189059188419,47.4,true,false,false,defaite_lourde,2,1,3,71,66,4,0,1,0,0,14345,5,22
lfi:strategist:4,lfi,lfi,existing,strategist,parti_dabord,4,fun-audit-4,union,31,true,true,president,77,16,53.8,0.2,11.9,1,rn,9,16.6,1,8,5,2.6,18,0,0,0,10,0,0,0,0,0,0.4,2.02,3.4,4.41,5.23,3.6,19.06,true,1,0,true,72,86.80000000000003,true,false,false,victoire_serree,1,1,3,76,69,4,1,2,0,0,15728,17,28
lfi:strategist:5,lfi,lfi,existing,strategist,parti_dabord,5,fun-audit-5,field_first,29,true,false,runoff_defeat,72,17.9,46.3,0.327,7.6,1,horizons,7.6,18,1,8,3,3.8,11,0,0,3,6,0,0,1,1,0,0.58,1.68,3.05,0,0.35,6.29,11.95,false,0,2,true,73,48.699999999999996,true,true,false,remontee_spectaculaire,3,1,5,76,67,6,0,2,0,1,14512,23,8
lfi:strategist:6,lfi,lfi,existing,strategist,parti_dabord,6,fun-audit-6,presidential,31,true,true,president,78,15.4,54.9,0.16,7.7,1,ps,7.6,15.8,1,8,5,3.3,16,0,0,2,8,0,0,1,1,0,2.03,1.68,0.35,4.41,2.84,4.3,15.61,false,0,2,true,74,71.20000000000002,true,false,false,victoire_serree,2,2,4,80,73,5,2,0,0,0,15584,18,23
lfi:strategist:7,lfi,lfi,existing,strategist,parti_dabord,7,fun-audit-7,rupture,29,true,false,runoff_defeat,73,16.5,48.7,0.233,9.6,1,nouvelle_energie,9.6,17.5,1,8,3,4.5,15,0,1,2,11,0,0,0,0,0,5.8,1.68,0.35,4.41,0.35,6.29,18.88,true,1,0,true,78.74810342963193,28.599999999999998,true,false,false,defaite_serree,3,1,5,67,57,5,1,3,1,0,14405,17,26
lfi:strategist:8,lfi,lfi,existing,strategist,parti_dabord,8,fun-audit-8,digital,31,true,true,president,77,15.3,55.7,0.153,14.7,1,rn,9,14.75,1,8,8,3,17,0,0,0,6,0,0,1,1,0,1.16,2.55,0,2.13,5.26,3.6,14.7,true,1,2,true,66,86.60000000000002,true,false,false,victoire_serree,0,0,3,68,60,6,1,1,0,0,15753,17,27
lfi:strategist:9,lfi,lfi,existing,strategist,parti_dabord,9,fun-audit-9,union,31,true,true,president,74,15.4,55.3,0.16,7.9,1,rn,7.9,16.6,1,8,7,3.8,17,0,0,2,8,1,0,0,0,0,0.76,0.27,0,2.48,2.66,7.48,13.65,false,0,0,true,78.74869748763318,87.3,true,false,false,victoire_serree,3,1,4,80,71,7,2,0,0,0,15455,13,23
lfi:strategist:10,lfi,lfi,existing,strategist,parti_dabord,10,fun-audit-10,field_first,31,true,true,president,77,15.9,54,0.193,12,1,rn,11.66,14.13,1,4,6,3,15,0,0,3,5,0,0,1,1,0,1.3,1.44,3.4,0,2.84,0,8.98,false,0,2,true,76.94831496260039,88.29999999999998,true,false,false,victoire_serree,4,1,4,80,73,3,3,1,0,0,15726,22,29
lfi:strategist:11,lfi,lfi,existing,strategist,parti_dabord,11,fun-audit-11,presidential,29,true,false,runoff_defeat,69,15.3,49.3,0.153,14.8,2,rn,10.4,16.3,1,6,6,1.1,14,0,0,3,6,0,0,2,1,0,1.97,2.55,0,2.48,2.13,5.01,14.14,false,0,2,true,75,85,true,false,false,defaite_serree,2,1,4,63,59,3,1,0,0,0,14948,20,14
lfi:strategist:12,lfi,lfi,existing,strategist,parti_dabord,12,fun-audit-12,rupture,29,true,false,runoff_defeat,71,15.4,44.9,0.16,11.5,1,nouvelle_energie,11.5,19.2,1,6,1,2.5,14,0,0,1,6,0,0,0,0,0,2.76,0,0.35,2.13,0,8.18,13.42,false,0,0,true,75,28.8,true,false,false,defaite_lourde,3,1,2,70,66,3,1,0,0,0,14580,9,
lfi:strategist:13,lfi,lfi,existing,strategist,parti_dabord,13,fun-audit-13,digital,31,true,true,president,78,16,56.1,0.2,12.1,1,rn,11.64,18.2,1,5,6,3.5,16,0,0,1,10,0,0,0,0,0,1.1,6.35,0,2.13,2.2,0,11.78,false,0,0,true,69,85,true,false,false,victoire_confortable,3,1,2,74,69,3,2,0,0,0,15698,19,21
lfi:strategist:14,lfi,lfi,existing,strategist,parti_dabord,14,fun-audit-14,union,29,true,false,runoff_defeat,71,16.1,47.2,0.207,13,1,horizons,9.3,14.62,1,8,8,3,11,0,0,3,7,0,0,1,0,0,4.61,3.78,2.34,0,1.75,2.2,14.68,false,0,2,true,67,47.300000000000004,true,false,false,defaite_serree,1,1,3,67,61,1,3,2,0,0,14696,23,11
