seed,trajectory,valid,firstRoundScore,firstRoundRank,qualified,secondRoundOpponent,won,finalScore,transferability,alliedWithCount,alliedWith,bestRelation,worstRelation,narrativeThreadCount,trajectoryEventsSeen
horizons-cf-0,continuity,true,17.1,1,true,lfi,true,93,67,2,"nouvelle_energie|renaissance",100,-14.294677070390826,1,0
horizons-cf-0,rupture,true,17.1,1,true,lfi,true,93,67,2,"nouvelle_energie|renaissance",100,-14.294677070390826,1,0
horizons-cf-0,coalition,true,17.1,1,true,lfi,true,93,67,2,"nouvelle_energie|renaissance",100,-14.294677070390826,1,0
horizons-cf-1,continuity,true,15.3,1,true,lfi,true,88,66,1,"lr",100,-14.294677070390826,1,1
horizons-cf-1,rupture,true,14.8,1,true,lfi,true,87,70,2,"lr|renaissance",100,-14.294677070390826,1,1
horizons-cf-1,coalition,true,15.8,1,true,lfi,true,90,65,2,"lr|renaissance",100,-14.294677070390826,2,1
horizons-cf-2,continuity,true,15.3,1,true,rn,true,90,52,2,"lr|renaissance",100,-14.294677070390826,0,0
horizons-cf-2,rupture,true,15.3,1,true,rn,true,90,52,2,"lr|renaissance",100,-14.294677070390826,0,0
horizons-cf-2,coalition,true,15.3,1,true,rn,true,90,52,2,"lr|renaissance",100,-14.294677070390826,0,0
horizons-cf-3,continuity,true,15.2,1,true,rn,true,90,68,2,"nouvelle_energie|renaissance",100,-14.294677070390826,1,0
horizons-cf-3,rupture,true,15.2,1,true,rn,true,90,68,2,"nouvelle_energie|renaissance",100,-14.294677070390826,1,0
horizons-cf-3,coalition,true,15.2,1,true,rn,true,90,68,2,"nouvelle_energie|renaissance",100,-14.294677070390826,1,0
horizons-cf-4,continuity,true,17.4,1,true,renaissance,true,92,69,2,"nouvelle_energie|lr",100,-17.634681351726023,5,1
horizons-cf-4,rupture,true,18.1,1,true,renaissance,true,91,66,1,"nouvelle_energie",100,-17.634681351726023,5,1
horizons-cf-4,coalition,true,15.1,1,true,rn,true,90,72,2,"lr|renaissance",100,-18.294677070390826,2,1
horizons-cf-5,continuity,true,13.9,2,true,rn,true,85,61,2,"renaissance|lr",100,-14.294677070390826,0,0
horizons-cf-5,rupture,true,13.9,2,true,rn,true,85,61,2,"renaissance|lr",100,-14.294677070390826,0,0
horizons-cf-5,coalition,true,13.9,2,true,rn,true,85,61,2,"renaissance|lr",100,-14.294677070390826,0,0
horizons-cf-6,continuity,true,18.6,1,true,rn,true,94,70,1,"renaissance",100,-17.634681351726023,2,0
horizons-cf-6,rupture,true,18.6,1,true,rn,true,94,70,1,"renaissance",100,-17.634681351726023,2,0
horizons-cf-6,coalition,true,18.6,1,true,rn,true,94,70,1,"renaissance",100,-17.634681351726023,2,0
horizons-cf-7,continuity,true,12.8,2,true,ps,true,84,59,1,"renaissance",100,-14.294677070390826,2,0
horizons-cf-7,rupture,true,12.8,2,true,ps,true,84,59,1,"renaissance",100,-14.294677070390826,2,0
