seed,trajectory,valid,firstRoundScore,firstRoundRank,qualified,secondRoundOpponent,won,finalScore,transferability,alliedWithCount,alliedWith,bestRelation,worstRelation,narrativeThreadCount,trajectoryEventsSeen
horizons-cf-0,continuity,true,15.5,1,true,nouvelle_energie,true,90,64,1,"renaissance",100,-17.634681351726023,3,0
horizons-cf-0,rupture,true,15.5,1,true,nouvelle_energie,true,90,64,1,"renaissance",100,-17.634681351726023,3,0
horizons-cf-0,coalition,true,15.5,1,true,nouvelle_energie,true,90,64,1,"renaissance",100,-17.634681351726023,3,0
horizons-cf-1,continuity,true,15.5,1,true,lfi,true,88,61,1,"lr",100,-14.294677070390826,1,1
horizons-cf-1,rupture,true,15.1,1,true,lfi,true,87,53,1,"lr",100,-14.294677070390826,1,1
horizons-cf-1,coalition,true,15.8,1,true,lfi,true,89,63,2,"lr|renaissance",100,-14.294677070390826,2,1
horizons-cf-2,continuity,true,14.2,2,true,ps,false,82,65,2,"lr|nouvelle_energie",100,-14.294677070390826,1,0
horizons-cf-2,rupture,true,13.7,3,false,ps,false,69,43,2,"lr|nouvelle_energie",100,-14.294677070390826,2,0
horizons-cf-2,coalition,true,14.9,1,true,rn,true,88,54,2,"lr|renaissance",100,-14.294677070390826,2,1
horizons-cf-3,continuity,true,14,1,true,rn,true,88,67,1,"lr",100,-18.294677070390826,3,1
horizons-cf-3,rupture,true,13.8,1,true,rn,true,88,56,0,"",100,-18.294677070390826,3,1
horizons-cf-3,coalition,true,14.5,1,true,ps,true,90,69,2,"lr|renaissance",100,-17.634681351726023,2,1
horizons-cf-4,continuity,true,13.9,2,true,rn,true,84,60,1,"lr",100,-17.634681351726023,2,1
horizons-cf-4,rupture,true,13.8,2,true,rn,true,82,58,0,"",100,-17.634681351726023,2,1
horizons-cf-4,coalition,true,13.9,2,true,rn,true,86,73,2,"lr|renaissance",100,-14.294677070390826,1,2
horizons-cf-5,continuity,true,12.8,3,false,rn,false,64,56,1,"renaissance",100,-14.294677070390826,1,0
horizons-cf-5,rupture,true,12.8,3,false,rn,false,64,56,1,"renaissance",100,-14.294677070390826,1,0
